start	end	text
0	5660	Hello, everyone. I'm gonna change it up today, and make a video that isn't absurdly long.
6260	10500	Now, if you've seen the title of this video, you might be thinking, ah, here we go.
10900	14700	Sean and Jen have finally hoisted the all-feminism flag.
15000	21560	They've come out of the feminism closet, and they're about to start spouting feminism all over the place.
21900	23700	And, well, yes and no.
24000	29900	This is a response to Chris Raygun's video, Feminism, Why You Don't Need It.
30300	36100	But before we get into that, I'd like to briefly talk about some of the trouble I have with arguing feminism on the internet.
36400	40300	And I'm gonna describe a scenario that I imagine we've all seen before.
40600	45300	Two people are arguing about feminism online, both using the term feminist.
45600	50100	However, one person is talking about women fighting for equality and equal rights.
50400	56400	You know, from the suffragette movement for voting rights, all the way to the various issues of the modern day.
56800	63400	And the other person is using feminist to mean modern women who are critics and anti-free speech,
63400	68600	and wanna censor media that they don't like, and force everyone to think like they do.
68800	71600	And as a result, the two people talk past one another.
71800	76400	Now, I certainly have my own opinion as to which of those two definitions is closer to reality,
76400	83500	but, you know, that largely doesn't matter when I'm talking to someone who is rather strongly attached to another definition.
83700	90800	Language just isn't good enough for conveying meaning in a lot of cases, but, you know, that's a topic for a smarter person.
91100	96200	And this is why I often open my videos with a bunch of waffle, you know, like now.
96600	101900	Defining terms and trying to make sure everyone's on the same page before we move forward.
102200	104100	So where does Chris Raygun come in?
104100	108300	Well, I picked his video to respond to here because, to his credit,
108300	113000	he seems to have had something close to this in his mind when he was writing his video.
113200	117500	His main argument is that feminism used to be necessary and purposeful,
117500	120700	but having achieved its goal of equal rights for women,
121100	125800	it's now useless and is just aimlessly inventing new reasons to carry on.
126000	129100	And I'd encourage you all here to go and watch his video.
129200	134100	It's not very long, and again, to his credit, it's much less bombastic and insulting
134100	139600	than your average video by a first-person shooter-playing dude talking about feminism on YouTube.
139800	145700	So from now on, I'm gonna assume that everyone watching this video has watched all of Chris Raygun's video.
145900	151700	Okay, so again, in short, feminism was a worthwhile cause before women had equal rights,
151700	155900	but that goal has now been achieved, and now feminism's just an ideology
155900	158600	inventing new reasons to perpetuate itself,
158600	162000	and modern feminists focus on menial things that don't matter,
162000	166200	like the gender pay gap and women's representation in media,
166200	172100	you know, old feminist activism good, new feminist ideology bad.
172300	177900	And so here's my solution to the problem of arguing over differing definitions of the word feminism.
178100	184600	I'm gonna argue against Chris Raygun's position, but using his definition of the word feminism.
184700	190500	I'm gonna play devil's advocate and accept that everything that Chris Raygun said is true.
190600	195600	So okay, the gender pay gap doesn't matter. It's not a valid issue.
195700	201600	Women's representation in media, in films, computer games, and so on, that's pointless.
201600	204400	It doesn't matter. They're not feminist issues.
204600	209500	Now again, I don't really believe these things, but just for the purpose of this video,
209500	211800	we're gonna argue on Chris's terms.
212000	219000	So I'll agree with all of Chris's points, with one exception, and that's that feminism is no longer needed.
219200	222000	Because even using his definitions,
222000	227100	I think there's several ways to argue that feminism is still relevant and necessary.
227200	228400	And here's the first.
228600	236000	At no point in his video does Chris Raygun specify that he is exclusively talking about any one location.
236300	241000	You know, where is feminism no longer necessary, and who no longer needs it?
241500	246700	There are plenty of countries in which women still do not have equal rights and legal protections,
246700	251500	and in which the oppression of women's much more, shall we say, obvious.
