start	end	text
0	6700	Hello, everyone. Now then, what would you say if I told you that I knew of a very generous Nigerian prince
6700	11000	who needed your help to move his fast riches out of his country?
11000	15500	Or what if I told you I could sell you a magic brain pill that will make you smarter?
15500	17500	Or, how about this one?
17500	23000	What if I told you that I could teach you an entire college course in just five minutes?
23500	28000	How would you like to learn a lot in a short amount of time?
28000	31500	A major infusion of knowledge in, say, five minutes?
31500	37500	And what if those five minutes distilled the best ideas from some of the best minds in the world?
37500	44000	Just as a shot of espresso boosts your energy, a shot of Prager University boosts your brain.
44000	47500	Because not only will you have more knowledge, you will have more wisdom.
47500	52500	If you think I'm exaggerating, there's an easy way to find out. Just watch a course.
53000	58500	That is Dennis Prager there, in a video titled, Welcome Prager University.
58500	63000	That's right, Prager University is an online university.
63000	69500	Now, I know it looks like just a YouTube channel and not a university, but it is. It is a university.
69500	75000	And I know the quote, courses, look like YouTube videos, but they're not.
75000	81500	They're real university courses taught by some of the quote, best minds in the world.
81500	84000	You can tell this because they come with study guides.
84000	88000	For example, here's the study guide for the video, Feminism 2.0,
88000	92000	which has sections to be filled in during and after watching the video,
92000	96500	discussion and review questions, and a quiz with questions like,
96500	102000	It is easy for feminists to forget that men A. Gave women the right to vote,
102000	110000	B. Gave up their monopoly on political power, C. Invented birth control, and D. All of the above.
110000	113500	Their answer, of course, being all of the above.
113500	118500	Now, the horrible reality suggested by these study guides is that there is someone somewhere in the world
118500	123500	homeschooling their children using these videos and, like, quizzing them on them afterwards,
123500	127500	which, you know, doesn't even bear thinking about, really, does it?
127500	135500	So, okay, Prager University is not a university. It's not an academic institution of any kind, actually.
135500	141000	It is a YouTube channel created by conservative talk show host, Dennis Prager,
141000	144500	and funded by the billionaire businessman, the Wilkes Brothers,
144500	150500	who got rich by creating a hydraulic fracking company called FracTech. Seriously.
150500	153500	So when you see PragerU videos with titles like,
153500	157500	Why You Should Love Fossil Fuel, well, that's why.
157500	162000	Now, the Wilkes Brothers also donate huge amounts of money to conservative politicians,
162000	167500	such as when they gave $15 million to a super PAC backing Ted Cruz in 2015.
167500	170500	So when you see PragerU videos with titles like,
170500	175000	Money in Politics, What's the Problem?, well, that's why.
175000	178000	Now, I feel like I've came out a little harshly here.
178000	185000	It'd be unfair, at this point, to just dismiss the whole channel as a biased conservative fantasy project
185000	189000	funded by two oil billionaires. So, let's back up a bit.
189000	191500	Why am I talking about PragerU today?
191500	197000	Well, you, like me, may have noticed PragerU's videos being promoted all over YouTube,
197000	201000	including sometimes on videos of mine and my lefty pals.
201000	205000	Now, that's because PragerU has an enormous annual budget
205000	208500	and spends a large proportion of that on advertising itself.
