start	end	text
0	7500	Hello, everyone. Today, I'd like to talk about a narrative, the narrative of the snowflake generation,
7500	11000	which actually has a Wikipedia page, I was surprised to learn,
11000	17500	a term used to characterize the young adults of the 2010s as being more prone to taking offense
17500	22500	and less resilient than previous generations, or as being too emotionally vulnerable
22500	25500	to cope with views that challenge their own.
25500	29500	Now, in this video, I'll explain why this characterization is not true.
29500	32500	Sort of almost completely made up, actually,
32500	37500	and assisting me today by providing a textbook example of this argument is 42,
37500	42500	a YouTube talky man with 2.4 million subscribers.
42500	45500	I'll be taking a look at his video entitled,
45500	51500	Why Is Everyone Getting So Offended, currently with close to 650,000 views.
51500	55500	Now, as always, I'd encourage you to watch his video first,
55500	58500	so you can be sure I don't misrepresent his argument,
58500	61500	which I understand goes as follows.
61500	66500	So 42's video starts off with him identifying the Snowflake Generation,
66500	67500	a group of, quote,
73500	78500	He then gives an example of a time when he says political correctness had fatal consequences
78500	82500	by talking about the 2009 Fort Hood shooting,
82500	84500	arguing that the attack could have been prevented,
84500	88500	but that political correctness stopped the US Army from taking action.
88500	92500	He then moves on to talk censorship of comedians and comedy shows,
92500	95500	such as Monty Python and Faulty Towers.
95500	97500	He then argues that comedy should have no bounds,
97500	102500	and that criticizing offensive comedians amounts to censoring their freedom of speech.
102500	107500	42 then talks about how, due to the Snowflake Generation's social media use,
107500	112500	advertisers don't want to advertise on shows that are deemed too offensive,
112500	114500	citing YouTube as an example,
114500	120500	and mentioning his own channel as one that's had videos demonetized for not being advertiser-friendly.
120500	123500	He then moves on to say that being offended is natural,
123500	125500	and people have always been offended by things,
125500	130500	but the difference today is that the Snowflake Generation millennials are acting entitled.
130500	136500	You see, they've apparently grown up in a time free of violent war, oppression, and poverty,
136500	140500	and as a result, they don't know what it's like to not get everything they want.
140500	144500	He then moves on to talk about how he's offended by instant coffee,
144500	149500	but it would be ridiculous of him to campaign against it or try to get it banned.
149500	153500	Then 42 spends a while talking about the recent court case in Scotland,
153500	156500	where Internet personality Count Dankula
156500	158500	– I will never get tired of saying that –
158500	162500	was fined for making an offensive YouTube video.
162500	168500	Then he closes out with a rousing speech about standing up for yourself against the evils of political correctness,
168500	173500	set to footage of a man running on a beach and punching the air triumphantly.
173500	176500	Like, what's with that? What's he doing?
176500	179500	He just hates political correctness so much.
179500	181500	That's 42's video.
181500	185500	Anyway, sorry, I don't know his name, so I'm just gonna have to call him 42.
185500	187500	So what do we think?
187500	190500	Well, I have two points to make in response, essentially,
190500	192500	and I can just tell you them both right now.
192500	196500	So firstly, as 42 points out, people have always been offended,
197500	202500	but his point about the millennial snowflake left being more entitled than previous generations?
202500	205500	That doesn't hold any water, I'm afraid.
205500	209500	The previous generations were just as prone to acting entitled as millennials,
209500	212500	sometimes more so, I'd argue.
212500	218500	Secondly, 42 attributing this offended, entitled behaviour to people on the quote
218500	224500	far left is at best totally arbitrary and at worst betrays a severe bias.
224500	228500	As we'll see, it's incredibly easy to find a counterexample on the right wing
228500	231500	for every behaviour that he attributes to the left.
231500	235500	So, spoiler alert, that's my counterargument there.
235500	239500	It isn't just people on the left, and it isn't just the current generation.
239500	243500	But don't take my word for it, of course, let's go back through 42's video now
243500	248500	and make those same two counterarguments repeatedly and slower.
248500	251500	So we'll start with a minor point, admittedly here.
252500	256500	42 leads out by saying he doesn't usually make this kind of opinion-based video
256500	259500	being more used to making fact-based videos like
259500	262500	what Facebook really does with your data,
262500	265500	the strange habits that will make you a billionaire,
265500	268500	how one man sold the Eiffel Tower twice,
268500	271500	the ugly truth about tipping, and so on.
