start	end	text
0	5040	Hello, everyone. This is a video responding to a Prager University video titled
5040	8000	If You Live in Freedom, Thank the British Empire,
8000	12640	hosted on the PragerU YouTube channel, currently with about one million views.
12640	16160	The video is narrated by H. W. Crocker III,
16160	21040	described by PragerU as a military historian and best-selling author.
21040	26320	So a few months ago, I made a video about PragerU titled How PragerU Lies to You,
26320	32560	where I put forward the radical, shocking idea that Prager University isn't actually a university,
32560	36640	but is instead a YouTube channel funded by fossil fuel billionaires
36640	41520	with the aim of promoting a biased and factually incorrect far-right worldview.
42160	46800	All of which, I think you'll find, is undeniably true and beyond dispute.
47440	52080	Now, in that video, I mentioned that there were a few PragerU courses,
52080	57600	and remember, by courses, I mean YouTube videos, that were worthy of a more in-depth look.
57600	62480	And so I've decided to take a peek at what is probably the worst of the bunch today.
62480	67680	In fact, it is to me the most blatant propaganda PragerU have ever published.
67680	71760	Before we get to it, though, I should mention that there are several other YouTube channels
71760	74320	who have produced their own responses to this video,
74320	79280	which you'll find if you do a YouTube search for PragerU British Empire Response.
79280	84080	Now, usually, seeing this sort of thing dissuades me from making my own video on the subject,
84080	86720	as I consider the topic covered ground.
86720	90640	But with this video, I just couldn't help getting in on the action myself.
90640	92320	It is just that bad.
92320	95600	As always, I'd recommend that you watch PragerU's video first,
95600	98400	so you can be sure I'm not misrepresenting them,
98400	101360	although I will be showing short clips here as I go.
102080	103920	Right then, let's get to it.
103920	109360	Freedom was an Englishman's right, and wherever he went, he took that right with him.
109360	112400	Whether he was an English colonist in America,
112400	115360	governing himself through a locally elected assembly...
115360	117840	Okay, so I'll have to stop it there.
117840	120640	That was quick. Doesn't bode well, does it?
120640	127680	Now, I have to ask if this guy, H. W. Crocker, knows about the American Revolutionary War.
127680	132320	And I ask this not just because of that brief clip describing the American colonists
132320	136960	enjoying all that freedom they had, but also because of this later clip.
136960	163600	So the United States should thank the great,
163600	168720	liberty-loving empire that gave it its sense of inalienable rights.
168720	173760	Now, nowhere in this video has it ever mentioned how the United States came to be,
173760	178480	or that they fought a war against that great, liberty-loving empire
178480	181280	in order to be free of its control.
181280	184000	I mean, that doesn't really make any sense, does it?
184000	189040	If your only information about the United States or the British Empire came from this video,
189120	194720	you would conclude that the British Empire peacefully passed the freedom baton to the United States,
194720	199040	appointing them the new defenders of justice and freedom and liberty,
199040	203360	and all the other words that are used completely meaninglessly.
203360	208400	The British always thought of themselves as liberators, as bringers of freedom.
209360	215440	The British believed the final and necessary justification of their empire was a moral one.
215440	220400	Now, here I'm afraid Mr. Crocker has fallen, perhaps deliberately,
220400	223520	for some very out-of-date propaganda there.
223520	227840	Claiming not to be conquerors or invaders, but actually liberators,
227840	231920	has been a tactic of aggressors all through human history.
231920	237920	The Roman Empire, for instance, disguised various aggressive campaigns as merely acts of defense.
237920	242960	They exaggerated minor threats to justify overwhelming force, and so on.
242960	247520	Even Nazi Germany claimed to be acting in self-defense when they invaded Poland,
