start	end	text
0	5000	Hello, everyone. Today, we're going to be talking about the death penalty, or capital punishment.
5000	6600	And we all know what that is, right?
6600	10900	When someone is killed by the state as punishment for a criminal act.
10900	13500	And I want to talk about this for a few reasons.
13500	18300	Firstly, while most countries around the world have either abolished capital punishment outright,
18300	22000	or only use it in very specific and rare circumstances,
22000	26400	much of the world's population still lives in countries that retain the death penalty.
26400	30500	Also, in countries that have abolished the death penalty, it can remain popular,
30500	33000	and its reintroduction is often argued for.
33000	39400	A 2017 YouGov survey found that more than half of Brexit Leave voters in the UK, for instance,
39400	42100	think that the death penalty should be brought back.
42100	46800	Another reason I want to talk about the death penalty today is because I've noticed that frequently,
46800	52100	when discussing the pros and cons of the death penalty, people tend to have the wrong argument.
52100	56700	And for an example of this, we're going to take a look at a typical pro-death penalty argument,
56700	61100	such as the one offered by Dennis Prager of PragerU in his video,
61100	65900	Is the Death Penalty Ever Moral, which I will link below in the video description.
65900	72300	In this video, Dennis Prager argues that criminals who do sufficiently horrible things should be put to death.
72300	77900	And he uses as an example the 2007 Cheshire, Connecticut home invasion murders,
77900	84400	during which two criminals broke into a family's house and murdered three people in a particularly brutal manner.
84400	89000	Dennis Prager's argument in favor of executing these men is an emotional argument,
89000	95100	and he appeals directly to the feelings of his audience, talking about things like a sense of justice,
95100	98400	the pain inflicted on the loved ones of those murdered,
98400	105200	and asks whether torturers, rapists, murderers, and evil men like them deserve to keep their lives.
105200	111000	And this sort of appeal to emotion is the main thrust of many pro-death penalty arguments.
111000	117200	Now, whether someone can forfeit the right to life with a sufficiently horrible action or series of actions
117200	124600	is a moral question, it's a philosophical question, and it's not a question that I'm going to be answering today.
124600	129300	If you believe that people who commit terrible crimes, such as Dennis Prager describes,
129300	134700	deserve in turn to lose their lives, I am not going to argue with you here.
134700	138700	In fact, we can proceed as if that is definitely true, if you like,
138700	145700	because regardless of how you feel about that question, it doesn't actually have anything to do with what we'll be talking about today,
145700	151200	which is whether the death penalty, as a practical process, should actually be carried out.
151200	159500	Is it possible for someone to lose the right to life is a different question to should society have the death penalty.
159500	163500	And I'm going to be arguing that no matter how you feel about the former question,
163500	166600	the answer to the latter question is no.
166600	173200	And if you disagree with that right now, all I ask is that you stick around for the rest of the video and hear me out.
173200	179200	Now, before we start, it is worth pointing out that many anti-death penalty arguments also appeal to emotion,
179200	182700	and I'm going to be trying to avoid those arguments going forward.
182700	187400	Reading or watching anti-death penalty arguments, you will often hear about, for example,
187400	193300	how the difficulty of securing the chemicals for lethal injections means that inferior chemicals can be used,
193300	197900	which can lead to drawn-out and painful or botched executions and so on.
197900	200800	Now, regardless of how any individual feels about that,
200800	206600	I don't see it being all that much of a convincing argument to someone who is currently in favor of the death penalty.
206600	210500	Since if you think a criminal did something so bad that they should be killed,
210500	214900	you probably don't care too much if they get hurt on the way out, right?
214900	221300	So as much as possible today, I'm going to be trying to avoid the emotional arguments and stick to the facts.
221300	225300	And to begin with here, let's stay with Dennis Prager's video for a while.
225300	231300	He opens his video by asserting that he just doesn't understand people who oppose the death penalty.
231300	237400	The gulf is unbridgeable, he says, between those of us who believe that some murderers should be put to death,
237400	240900	and those who believe that no murderer should ever be put to death.
240900	245500	Later, at the end of the video, he calls back to this opening paragraph, stating,
245500	251300	But if you really do believe these people deserve to keep their lives, well, as I said at the outset,
251300	253100	I don't understand you.
253100	258500	Now, these two quotes illustrate perfectly the disconnect I talked about a minute ago.
258500	263100	In the opening, Dennis Prager is talking about the process of people being put to death,
263100	269500	but at the end, he's talking about the philosophical question of whether those people deserve to keep their lives.
269500	273300	Two different questions, which he's treating as if they're the same.
273300	279100	In doing this, what Dennis Prager is missing is the possibility that someone could believe that criminals
279100	283900	who do the sorts of evil things he describes do deserve to lose their lives,
283900	288700	but that the death penalty is, separately to that, still a bad idea.
289300	294700	Oh! Well, the first thing is, there's crimes that the proper penalty is obviously death.
295100	298900	Obviously. Like, and I've read a lot about serial killers, for example.
298900	301300	I've read a lot of brutal material, you know.
301300	306100	I was very interested in criminology and antisocial behaviour, as well as political pathology.
306100	311100	It's like, there are guys like, I think it was John Wayne Gacy, who, yeah, you don't want to know about him.
311700	314500	I think he begged the judge for the death penalty.
314500	317500	He knew himself as like, there was no coming back from where he went.
317500	318100	Hmm.
318100	320700	So, but that's not the issue for me.
320700	324900	The issue is, do you give the state that much power?
324900	328100	And I would say, practically, no.
328100	330300	I think this is a very callous way of looking.
330300	333500	I think, in the United States, it costs $20 million to put someone to death.
333500	334900	It's like, why?
334900	338500	Well, because the state shouldn't just be able to do that easily.
338500	341300	And they make mistakes. Like, a lot of mistakes.
341900	345300	And so, maybe you just never want the state to have that much power.
345300	347100	And I think that's a reasonable argument.
347100	348100	Yeah, that's where...
348100	348900	I'm not comfortable with that.
348900	352100	That's where I'm at with it. I just don't want to give the state that power.
352100	358500	That was Jordan Peterson there, expressing to Dave Rubin his opinion that people can deserve to be killed,
358700	362500	but that he just doesn't trust the state to wield that much power.
362500	368100	And this is a common anti-death penalty argument made by anti-big government folks.
368100	373900	I picked a clip of Jordan Peterson there because he has been the narrator of multiple PragerU videos.
373900	378300	So if Dennis Prager would like to understand an anti-death penalty argument,
378300	381100	I suppose he could just ask Jordan Peterson.
381100	385700	Peterson's argument also reveals a contradiction in Prager's position,
385700	389100	and it's to do with the size and role of the government.
389100	392900	We all know how PragerU feels about the government, right?
392900	397500	And by the way, when does the government do a good job at fixing anything?
397500	400900	The bigger the government, the smaller the citizen.
400900	403300	Why is the government so bad at healthcare?
403300	405700	The government is killing small businesses.
405700	410300	Killing them with excessive taxes, over-regulation, and complicated compliance.
410300	415500	The worst environmental offenders have been big, repressive, socialist governments.
415700	420300	People in government will sell government influence for personal and political gain.
420300	423300	It's mired in bureaucracy, and it's fraught with waste.
423300	427300	The more a government tightens its grip, the less an economy grows.
427300	429300	So what's the solution?
429300	431300	Less government, not more.
431300	437700	Yes, the government is big, bloated, slow, corrupt, mired in red tape and regulations.
437700	442300	It's not fit to run the DMV, let alone a healthcare system.
442300	448500	And this is the government that Dennis Prager trusts to competently decide who deserves to live and die?
449100	450300	Why?
450300	455300	The same state bureaucracy that his other videos describe as inefficient and corrupt
455300	459700	is suddenly perfectly competent when it comes to sentencing the death penalty.
459700	466100	Is having the power to end the lives of its citizens not the ultimate example of big government?
466100	468100	Not to wonder off-topic too much here,
468100	473500	but this is an example of how most of the time, when people complain about the size of the government,
473500	478700	their arguments usually have very little to do with the actual size of the government.
478700	483100	In a less silly world, if someone claimed to be against big government,
483100	487700	we might assume that they support things like decreasing military spending,
487700	493300	ending wars, demilitarizing the police, reducing the number of people in prison,
493300	497100	and relevant for us here, being against the death penalty.
497100	500300	If you don't trust the government and want it to be smaller,
500300	503900	you probably shouldn't also want it to have an enormous army,
503900	508500	an armed police force, and power of life and death over its citizens.
508500	513300	Too often, though, people who complain about big government love all that stuff,
513300	520100	and what they actually mean when they say big government is solely government healthcare and welfare programs.
520100	521900	Anyway, to get back on track,
521900	525300	Dennis Prager has decided to break with PragerU tradition
