start	end	text
0	1520	Hello, everyone.
1520	6280	On the 29th of July, the PragerU Twitter account posted this tweet,
6280	6840	which says,
10840	12800	And it quotes said activist as saying,
16440	23800	And if we click through, we see a video of a supposed civil rights activist participating in some sort of staged use of force training
23800	26720	intended to prove that the police just have to kill people.
26720	28240	They can't help it.
28240	34960	Never mind all those other countries with different police tactics where the police don't kill a fraction of the people as in the United States.
34960	39600	Anyway, that aside, PragerU comments on this video about police tactics by saying,
42600	44080	It's that simple.
44080	49760	Comply with the police or they can kill you is the message, of course. Simple enough.
49760	56080	And I'd like to compare that quote to this other tweet from PragerU posted on the 16th of July.
58240	71120	There is a point at which law-abiding follows neither logic nor morality.
71120	79680	From the 1930s Germany dissenters to Rosa Parks, history is full of noble examples of civil disobedience.
79680	84880	Dennis Prager reflects on the difficult question of when it's time to take a stand.
84880	96560	And the video posted with the tweet is of Dennis PragerU doing one of his fireside chats in which he states that he would disobey a law requiring him to use a mask outdoors.
114880	140480	Yes, Dennis Prager is the next Rosa Parks, I guess.
140480	148080	And, watching this clip, I was reminded of the following bit of advice given in the PragerU video, Cops are the Good Guys.
170480	185760	Now, PragerU's position here, you've probably already noticed, seems a little contradictory, doesn't it?
185760	192880	On the one hand, they're saying that you have a duty to follow the law and obey commands from the police even if you disagree.
192880	200720	And on the other, they're saying that actually, disobeying laws you disagree with can be very noble and awesome and it's a good thing to break them.
200720	204720	Now, this seeming hypocrisy should prompt a question.
204720	211680	If a police officer came up to Dennis PragerU outside and ordered him to put on a mask, would he do it?
211680	218000	I mean, he says that he wouldn't do it because he disagrees with the policy. He thinks it's absurd.
218000	225840	But his website and YouTube channel are plastered in messages saying that you should always obey the police even if you disagree with their commands.
225840	228800	So how do we explain this discrepancy?
228800	235840	Now, we could just say that Dennis Prager is a hypocrite who thinks that laws are for other people but he should get to do whatever he likes, right?
235840	239120	Which, to be fair, is probably at least partially true.
239120	241440	But we'd be missing something there, I think.
241440	245680	Because this isn't just an individual level Dennis Prager problem.
245680	251840	There's a deeper point to be made here about how conservatives across the board view the concept of the law.
251840	257600	And to explore this a little more, I want to take a look at a couple of points from a few different PragerU videos now.
257600	260880	And we'll stick with cops are the good guys for a minute.
260880	268560	So, just before the narrator starts talking about how you should always obey the police even if you disagree, he says the following.
268560	281040	It is this lack of respect for authority, fostered over decades by the progressive left and its Fear the Police narrative, that has led to the needless deaths of so many young black men.
281040	287920	When Officer Darren Wilson told Michael Brown to get out of the middle of the street in Ferguson, Missouri, did Brown comply?
287920	288880	No.
288880	294640	When officers in Baltimore told Freddie Gray to stop resisting arrest, did he comply?
294640	295600	No.
295600	300960	When officers in New York City told Eric Garner to stop resisting arrest, did he comply?
301680	302180	No.
302560	307120	So when he then goes on to talk about obeying the police being a matter of life and death,
307120	312160	it's explicitly in the context of the deaths of these black men who were killed by the police.
