start	end	text
0	7160	Hello everyone. Um, so I hit 10,000 subscribers on YouTube yesterday, which, um,
7160	12420	it's just another number really, isn't it? But, uh, whatever, it's a nice round milestone.
12420	16380	So I've decided to do a little question and answer video just as a little extra
16380	20080	before I get back to, uh, whatever else it is I do.
20080	24140	Um, an anonymous user asks,
24140	30280	Do you think with the growing popularity of yourself, Hbomber, Contra, and Tomavella, and others,
30280	34840	you might be able to rival the skeptic community in popularity?
34840	41540	Uh, well, yes. Yeah. In a lot of cases, we already do.
41540	46880	I mean, there are bigger channels than any of those names there that put out similar content to us,
46880	50680	and there are a lot of skeptic channels that aren't doing so well recently.
50840	58440	Um, but even the biggest skeptic channels, remember, their sub-numbers are a bit of a- a bit of a con.
58440	63040	Like, if you look at, um, the AmazenAtheist, say, he's got a million subscribers,
63040	66360	but he doesn't get a million views on his videos, does he? It's just,
66360	70760	their channels have been around for a lot longer than us, so they- they've accrued a lot of, uh,
70760	77000	a lot of dead subscribers. Not literally dead. Although I guess a few of them are probably dead.
77160	80480	One of- at least one of my subscribers has probably died.
81040	82040	Bit morbid.
82040	88200	Um, but yeah, if you just- if you look on view counts, like, we're gettin' there.
88200	92800	Uh, plus we're gonna benefit from the political swing over the course of, uh,
92800	98600	Trump's, uh, term in office. Or terms in office, if we live in the dark timeline.
98600	106600	You know, broadly, there's always a- a swing of the moderates away from whatever the politics of the American president are over the course of his term.
106680	109640	Uh, so, in short, yes.
109640	111640	Bandit asks,
111640	115160	What do you think led to a rise in subs so fast?
115160	121160	I remember finding you completely by fluke after the Leafy video, and seeing this change is bizarre.
121160	126360	Uh, well, thank you, Bandit, for the, uh, possibly insulting question there.
126360	128360	Um, I don't really know either.
128360	134120	Uh, my channel's been growing a lot faster than some other channels that are similar to mine, but better.
134200	137560	Uh, so I don't really know what's going on, to be perfectly honest.
137560	143400	I've got a lot of very helpful, uh, shout-outs by said people who are better than me.
143400	149240	Uh, so, thanks a lot for those. It's probably just all of those, and not anything that I've actually done.
149240	151480	An anonymous user asks,
151480	155160	What steps do you do to ensure your videos are quality?
155160	157800	Well, I would never call my videos quality.
157800	163400	Uh, but I put this question in here, uh, because I wanna mention something about my last video I put out.
163400	172600	So, uh, that video about, uh, Sargon's This Week in Stupid series, um, in the writing process of that one,
172600	174600	I made a really big error.
174600	182200	Uh, I, uh, misheard something that Sargon said, and then accused him of something that wasn't true, and didn't notice.
182200	189080	And I listened to the audio through, didn't notice it, and it was at the end of the editing process that I actually noticed,
189080	191240	Oh, wait, hang on, I've made a mistake there.
191240	197800	But it's only because I did so many checks, four mistakes like that, that I caught it and could cut it out.
197800	202680	You can't do that if you're just pumping out one of those videos every day.
202680	208280	Because, of course, Sargon can make four of those videos in the time it takes me to fact-check one of them,
208280	212440	and, of course, we all make mistakes, so that's how mistakes get through.
212440	218040	If you just get content out as quickly as possible, then you are gonna make mistakes.
218040	224840	Uh, so, I guess I'd say, even though I don't think my videos are very good anyway, uh, taking my time with them.
224840	230120	How do you define your political views? asks someone else who's anonymous.
230120	232120	No one's sent in names with these.
232120	238200	Um, I don't want you to label yourself as anything, I just want to understand your ideology.
238200	240200	Sorry if this is a bad, boring question.
240200	245080	It's not a bad or boring question. In fact, I got this question more than anything else.
245160	245960	So, I should-
245960	250040	Heh, heh, heh. I got, like, ten people asking me this.
250040	255880	Um, so, broadly, I don't use, uh, political labels for things.
255880	259000	Uh, just because I personally find them a bit unhelpful.
259000	264120	Uh, when pushed, I'll call myself, uh, an anti-capitalist.
264120	270520	Uh, but even that's a bit of a dodge, really, and then if you push me even further than that, I'll probably say I'm a socialist.
270520	271800	But I should explain.
271880	283000	When you say socialist to two different people, one of them will think of a, you know, wonderful egalitarian Star Trek utopia.
283000	287080	And the other one will think of Stalin putting them in a gulag.
287080	291880	So, this is why I sort of find these- these labels sort of unhelpful.
291880	297000	The reason I go to anti-capitalist first is because I think there's a lot of problems with capitalism,
297000	301960	and I think it's not getting a proper critique.
301960	305080	Or it's never questioned by anyone who's in power in the West.
305720	307400	Um, and it needs to be.
307400	312040	You know, if you have only two political parties in the country that can ever get into power,
312040	318040	and the only way they can get into power is by never ever saying anything questioning of capitalism,
318040	320920	then that leads to a lot of problems.
321000	327240	Especially considering there are sort of systemic, inherent problems with capitalism.
327800	335240	And they never get dealt with just because there's nobody on the political stage who's, you know, allowed to deal with them.
335880	342920	And to people who automatically, uh, jump to the defense of capitalism, which I understand, you know,
