start	end	text
0	6240	Hello, everyone. So, today I'm gonna talk about the killing of Trayvon Martin by George Zimmerman.
6240	11440	But I feel like I need to explain myself and justify this a little before we get going here.
11440	17120	It'd be fair to ask, why now, five years later, do you wanna talk about this?
17120	20480	And the answer there is that I still believe it to be relevant.
20480	25360	The generalities of the incident, a black person, in this case Trayvon Martin,
25360	29120	is killed by a white person, in this case George Zimmerman,
29360	32720	in unclear or ambiguous circumstances.
32720	38160	And then later, the killer receives either no or relatively little legal punishment.
38160	42800	The names and the locations change, but the general outline remains the same.
43600	48640	And the feeling held by a lot of black people and more racially conscious people of other races
48640	53120	is that these people probably would not have been killed had they been white,
53120	55200	or if they had still been killed,
55200	58880	the justice system would have treated the killers much less leniently.
59200	61280	And this can be a hard thing to prove.
61280	64560	We're talking about certain likelihoods and probabilities,
65280	68000	subconscious or otherwise hidden biases,
68000	72800	and we don't have another America in which Trayvon Martin was a white teenager
72800	77280	walking home from the store to see what would have happened differently were that the case.
77840	83120	It's also easy to examine only the particulars of each incident in isolation,
83120	85840	and therefore avoid considering the overall trends.
86560	90240	Each case is easy to excuse if you're looking for excuses.
90800	95920	Trayvon Martin hit George Zimmerman, so Zimmerman was justified in defending himself.
95920	100880	Tamir Rice had a toy gun, and you know, that could have been mistaken for a real gun,
100880	103600	so, you know, therefore, etc.
104240	108000	There's always an excuse, however valid that excuse is,
108000	111200	with the cases that receive a lot of media attention.
111200	115040	A useful comparison here is the shooting of Levar Edward Jones.
115120	118480	Now, this shooting was not a particularly high-profile case.
118480	122720	A Google search for Levar Edward Jones only gives 1300 results,
122720	127200	compared to the 1.6 million for Trayvon Martin, for instance,
127200	130880	and I wouldn't be surprised if a lot of people hadn't heard of this shooting.
130880	133040	So, a very brief overview then.
133040	136000	On September the 4th of 2014,
136000	140880	South Carolina State Trooper Sean Grubert pulled up behind Levar Edward Jones
140880	143120	as he accessed his vehicle at a gas station.
143840	146880	Grubert asked Jones to get his license and registration,
146880	148480	and when Jones reached for them,
148480	152320	Grubert panicked and pulled his gun and fired several times,
152320	154000	hitting Jones in the hip.
154000	157600	Now, I'll link the video in the description and avoid showing it here,
157600	159600	but it's pretty much as I described.
160160	163920	So why didn't this case get as much media attention as some others?
163920	165760	Well, there's a few factors,
165760	168960	and they're all rather depressing to think about, to be honest.
