start	end	text
0	8600	Hello, everyone. This is a video about T-L-semi-colon-D-R, or Teal-dear.
9200	12200	You see, because it's a teal-dear. Yeah.
12800	16800	And in particular, this video is a response to his video,
16800	20800	Anita Sarkeesian Doesn't Understand How To Be A Feminist,
20800	28000	concerning Anita Sarkeesian's speech at the How To Be A Feminist panel at All About Women, 2015.
28200	32600	But before we get to that, well, you know the drill by now.
33000	37000	So, the videos I'm asked to respond to broadly fall into two categories.
37000	41600	There's the, for want of a better word, intellectual videos.
41600	45600	You know, they cite studies and news stories and sources,
45600	49400	and at least attempt some sort of academic defense of their positions.
50000	54000	And on the other hand, we've got the peanut gallery, the hecklers.
54200	58200	And what they do is watch someone, usually a feminist,
58800	63800	and usually Anita Sarkeesian, to be honest, say a sentence,
63800	70000	and then they cut away to a cartoon animal doing the DreamWorks face, and they say a naughty word.
70000	74000	And I've honestly struggled to come up with a response to this sort of video.
74000	77600	You know, quite a few people have suggested that I look at bearing.
77600	80400	And well, let's briefly look at bearing.
80600	86000	And here's one of his responses from his video, the Young Turks have finally lost the plot.
86000	90600	"...and listen to you, or be near you, or whatever. Okay, fine, try to make that case.
90600	95000	It's stupid, but you can make that case. They're claiming that day that they're a man or a woman or whatever."
95000	98600	You know, your face just pisses me right off, cunt. Fuck you.
98600	104800	You know, how do you respond there? What could I possibly say back to that? Or this?
104800	108800	"...you are- they're trying to pretend that it's only so that guys can go into women's bathroom- bathrooms.
108800	111200	No, that's not the way that being transgender works."
111200	115400	Suck a bucket of dicks, you fuckhead. I'm not even gonna argue with you.
115400	119600	You know, there's no argument here. It's just mindless preaching to the choir.
119600	122400	It's not substantive enough to get a grasp on.
122400	127400	And well, I'll be honest, I've not watched all of bearing's videos, so maybe I'm being unfair.
127400	132600	If he has ever made anything better than that, someone please let me know.
133000	137400	Absent an argument, I guess one way to respond to these heckling videos
137400	143000	is to turn the particular shtick of whichever heckler it is back on themselves.
143000	148600	But I don't want to do that with bearing, because it'd just be me calling him a dickhead for 20 minutes,
148600	151200	and I don't think anyone really wants to watch that.
151200	155200	And I don't want to make that either. It'd be entirely too negative.
155200	158600	But with Teal Deer, I think I've found my man.
