start	end	text
0	4000	Hello, everyone. Today, I'd like to talk about immigration.
4000	6000	Again, yes.
6000	11000	Specifically, immigration's capacity to destroy civilizations.
11000	16000	And we're going to be talking about one particular civilization that was destroyed by immigration,
16000	19000	and that is Nazi Germany.
19000	21000	How's that for a plot twist?
21000	24000	And so early in the video as well.
24000	29000	So let's talk about how immigration caused the downfall of Nazi Germany.
29000	33000	At the end of the 1930s, Germany was resurgent.
33000	38000	After struggling for many years with an economy in recession and a worthless currency,
38000	43000	the government initiated numerous public building projects to stabilize the economy
43000	45000	and put its citizens back to work.
45000	50000	The military was greatly expanded, and a combination of diplomacy and military action
50000	56000	secured many of the adjacent provinces to Germany and put them under direct German rule.
56000	64000	By the early 1940s, the vast majority of Europe was controlled either directly by Nazi Germany or by an ally.
64000	67000	Eventually, though, they ran into a problem,
67000	71000	and that problem is one that has felled many great civilizations throughout history.
71000	73000	Immigration.
73000	77000	Immigrants were attracted to Nazi Germany from all over.
77000	82000	In the East, great swarms of Russian immigrants crossed the border into German territory.
82000	87000	And from the UK, immigrants from a great many nations made the dangerous channel crossing,
87000	94000	often in small, unsafe boats, and their sheer number overwhelmed the German border forces.
94000	96000	And who were these immigrants?
96000	100000	Well, they certainly weren't a representative cross-section of wider society.
100000	104000	There were hardly any women, children, or elderly.
104000	107000	No, they were mainly young, military-aged males
107000	113000	who made absolutely no attempt to integrate into the culture of Nazi Germany.
113000	118000	In fact, they were frequently involved in violent clashes with German security forces,
118000	120000	which put a great strain on the state,
120000	128000	as well as carrying out various terrorist bombing campaigns to frighten the populace and destroy vital German infrastructure.
128000	134000	Germany proved completely unable to handle the sheer scale of the migrant crisis,
134000	141000	and eventually, they were overwhelmed completely, and their civilization was destroyed.
141000	145000	Now then, what was all that rubbish I just said?
145000	147000	Well, I want to make two points about it.
147000	150000	The first is, it was all nonsense.
150000	155000	Obviously, sort of a pointless, misleading bunch of gibberish.
155000	160000	The second thing I want to say about it, though, is that technically, actually,
160000	163000	nothing that I just said was untrue,
163000	168000	as long as we don't mind stretching certain definitions of words to the breaking point, anyway,
168000	171000	because that was the problem with what I just said.
171000	173000	The actual events did happen as stated,
173000	180000	but the terminology that I used to describe them happening was obviously incorrect and misleading.
180000	186000	The immigrants were actually foreign soldiers loyal to governments that were at war with Nazi Germany.
186000	190000	They were only migrants in the sense that they went from one place to another.
190000	197000	The point of my Nazi Germany example there is to show how misleading contemporary political terminology,
197000	202000	with all its associated implications, can be if we apply it to events from the distant past.
202000	207000	You see, we're all, of course, familiar on some level with the events of the Second World War,
207000	212000	it being relatively recent, so my deceptive language there really stood out.
212000	217000	Modern audiences will be less familiar with events from ancient history, though.
217000	221000	The fall of Rome, for instance, which is what this video is actually about.
221000	224000	So we'll try and keep that in mind going forward.
224000	228000	When someone points to the ancient world to make a point about the modern one,
228000	231000	don't take what they say at face value,
231000	235000	because it might be just as misleading as my little history of World War II right there.
235000	241000	So then, with that in mind, did immigration cause the fall of Rome?
241000	245000	This video is sort of a companion piece to my previous video about Rome,
245000	249000	which was a response to Stefan Molyneux's claims that loose morality,
249000	255000	women's rights, taxation, and various other things were the cause of the fall of Rome.
255000	260000	And starting out here, I'll repeat a few things to be considered from that video.
260000	264000	Firstly, when people say the fall of the Roman Empire,
264000	267000	they usually mean the fall of the Western Roman Empire,
267000	270000	because the Eastern half kept on going for another thousand years.
270000	275000	Until someone invented a cannon strong enough to bring down the walls of Constantinople,
275000	280000	which in itself highlights the more practical and tangible reasons that empires often fall.
280000	284000	Not due to some degradation of morality or national spirit,
284000	289000	but instead because someone invented a really big gun and shot them with it.
289000	295000	Virtue and spirit are all well and good, but they're not going to stop a 600 pound cannonball.
295000	299000	So anyway, we're going to be talking about the fall of the Western Roman Empire,
299000	302000	which most historians date to 476 AD,
302000	306000	when a chieftain called Odoacer revolted against the Empire
306000	311000	and deposed Romulus Augustus, the last emperor of the West.
311000	316000	And I see two approaches online when someone's attempting to pin the fall of the Roman Empire
316000	322000	onto one singular event or concept, with the aim of making a modern political point.
322000	325000	The first is one of direct comparison.
325000	330000	The Roman Empire is the EU, and the Germanic tribes who fought against Rome
330000	335000	are directly analogous to modern migrants and asylum seekers, for instance.
335000	341000	Now this approach is easily foiled by simply pointing out the many differences in the two situations.
341000	347000	Ravenna fell because it was captured by a military loyal to a rebellious enemy king.
347000	351000	For an actual direct historical comparison to be legitimate,
351000	355000	we'd need to see something like an army of former Syrian, say, allies,
355000	361000	revolting against the EU and then invading Europe and occupying Brussels or something.
361000	366000	This reclassification of an enemy armed force to simply immigrants
366000	369000	is every bit as misleading as my Nazi Germany example.
369000	372000	Now the other approach you see is the more interesting one,
372000	378000	the one that acknowledges the differences between given historical and contemporary situations,
378000	382000	but makes the case that there are enough similarities to justify the comparison.
382000	385000	And that's a little more interesting to talk about.
385000	390000	For instance, in 376 AD, 100 years before the fall of Ravenna,
390000	396000	Rome did have to deal with a migrant crisis which led to a costly war, the Gothic War,
396000	402000	during a precarious time in Roman history when the Empire could ill afford costly wars.
402000	406000	And it is this crisis that various clever clogs who know their Roman history
406000	410000	often cite when making the argument that immigration led to the fall of Rome.
410000	414000	And so we'll also be talking about that migrant crisis today.
414000	417000	But before we get to that specifically, however,
417000	421000	I'd like to talk about a few relevant events from throughout Roman history,
421000	426000	which I think are key to understanding exactly how and why the Gothic War started.
426000	430000	And I'd like to kick off by asking a question, and it's quite a big one.
430000	434000	What actually did cause the fall of the Roman Empire?
434000	438000	And the interesting thing about the various singular reasons we could cite here
438000	441000	is that since Roman history covers such a huge amount of time,
441000	446000	and Rome itself existed under so many varying forms of organization and government,
446000	453000	there's invariably an alternate example from Roman history that counters any one reason by itself.
453000	457000	Now, for instance, we could look at the fall of Rome strictly militarily.
457000	462000	Rome fell because it was defeated in battle in a very practical sense.
462000	466000	But then we can look through Rome's history to all the other times it was defeated in battle.
466000	469000	The Carthaginian general Hannibal, for example,
469000	474000	inflicted a string of costly defeats upon the Romans during the Second Punic War.
474000	478000	He defeated Rome in the Battle of Trebia, the Battle of Lake Trasimene,
478000	482000	and the Battle of Cannae, which was one of the costliest defeats Rome ever suffered,
482000	485000	and one of the bloodiest battles in human history,
485000	489000	with up to 70,000 Romans killed or captured in a single day,
489000	494000	including a sitting consul for that year and up to 80 senators.
494000	499000	Rome was also no stranger to losing battles against the various Germanic peoples.
499000	503000	In one of the other great losses in Roman history, the Battle of the Teutoburg Forest,
503000	509000	three entire Roman legions were ambushed and destroyed by an alliance of Germanic tribes.
509000	512000	Now, Rome did not fall after these defeats.
512000	518000	Rome's great military strength was not necessarily that they were invincible on the battlefield,
518000	520000	although, of course, they were very strong.
520000	524000	It was their ability to absorb and recover from defeats.
524000	529000	The sheer size of the empire, as well as its organization and logistics,
529000	532000	meant that Rome could handle the occasional military loss,
532000	535000	which was a rare thing in the ancient world.
535000	538000	Look at the rebellion of Boudica, for instance.
538000	542000	Boudica's rebellion defeated the Romans at Camulodonum,
542000	545000	they sacked the city, they destroyed the 9th Legion,
545000	548000	they sacked Londinium, they sacked Verulamium,
548000	551000	and then they lost one battle to the Romans,
551000	555000	and the rebellion was broken and Boudica committed suicide.
555000	559000	For most ancient military forces, this was how it went.
559000	563000	Being defeated meant just that you were defeated.
563000	568000	For the Romans, though, if a legion was defeated, they just sent another legion.
568000	572000	Rome's enemies usually had to win every single time,
572000	575000	whereas Rome often only had to win once.
575000	578000	So Rome was clearly no stranger to military losses
578000	581000	and was always previously able to recover.
581000	584000	And so, at the end of the empire, we have to ask,
584000	587000	what happened to that ability?
587000	591000	Why didn't Rome recover the final time? What was different?
591000	595000	And this is where we have to look beyond strictly singular reasons that Rome fell,
595000	599000	because any one reason can't tell us the whole story, clearly.
599000	605000	So by the time it fell, Rome had lost its ability to recover from military defeats the way it had in the past,
605000	608000	but it had lost other important abilities too.
608000	612000	For instance, the ability to make and maintain allies.
612000	614000	So let's talk about that for a while.
614000	619000	And to introduce this concept, we're gonna read a little of the Annals of Tacitus.
619000	623000	This section chronicling a debate in 48 AD in the Roman Senate
623000	627000	during the reign of Emperor Claudius, who is my favorite emperor,
627000	632000	being a very interesting character and a historian himself, so he knew his stuff.
