start	end	text
0	4200	Hello, everyone. Today's video is going to be about chess.
5880	12380	Okay, so for the five of you who are still here, welcome. Let's get on with it. So, chess.
13020	17560	Chess is a strategy game and one of the oldest games in existence.
18420	23740	Historians have determined that the first game of chess was played sometime in the early...
24420	29780	Okay, I'm just kidding, of course. So why do I want to talk about chess today?
30060	34140	Well, I was watching Black Pigeon Speaks. Do you remember him?
34540	38360	He's the little fascist bird that hates women. You know the guy.
38720	43440	By allowing women to fuck freely, the West has de facto entered a matriarchy.
43840	44840	Yeah, him.
45040	48580	Oh, I'm sorry. Is this what they call poisoning the well?
48800	52980	Poisoning the well by directly quoting things he said? Well, no.
53240	58200	I'm not doing that because it is, in fact, completely relevant to the topic of today's video,
58200	60860	which is about women chess players.
61340	65860	Now, I'm sorry that this is necessary, but we do have to watch a short clip from his video.
66160	71100	Although this is the only clip of his I'm going to show today, so just muddle through as best you can.
71260	75600	And moving down to Canada's Southern Neighbour, which has so many stories every week, it's hard to narrow them down,
75600	79580	but these are the ones that I found most interesting, and here they are.
79740	87160	As of publication of this video, the US Men's Chess Championship is currently underway with Grandmaster Wesley So,
87160	94260	who's 23, of Minnetonka, Minnesota, in a tie for first place with Daniel Narodiski.
94460	99660	But wait, something's not right here. Men's chess? Why are there no women competing in this tournament?
100000	104360	Which is a game solely reliant upon one's faculty, not body strength.
104640	107280	Why are chess tournaments separated by gender?
107560	109600	Women should play chess alongside men.
109960	114700	Chess isn't football or boxing. I've been told since childhood that women are every bit as smart as men,
114700	116860	and chess shouldn't be segregated like this.
117060	122320	But upon further investigation, it's not that women aren't allowed in the men's tournament,
122680	130220	but they don't have the skill to get into high-level competitions, and if it wasn't separate, no woman would ever win.
130380	134280	Like in sports, women aren't actually segregated by the rules.
134580	143520	It's just that women cannot compete against men and win in the mental game of chess, when it is the best of both genders facing off.
143980	147120	So that clip there was from the Black Pigeon Speaks video,
147120	153020	Merkling Mayhem, slash, Women Do Chess, and Sweden, Yes.
153420	156820	Sort of a random collection of letters there.
156820	161120	And that video is a bit like a poor man's version of a Sargon of Akkad,
161120	167420	this Week in Stupid type thing, where Black Pigeon Speaks features a bunch of seemingly random news stories,
167420	169420	and then says something horrible about them.
169720	178720	So what's the relevance of this particular news story about Grandmaster Wesley So having to play a tie-breaking match at the end of the US Chess Championship?
178720	180720	Well, nothing really.
181020	188620	Black Pigeon Speaks is just using the story to go off on a tangent about the fact that the US Chess Championship has a women's division,
188620	195020	and he uses that as proof that women can't compete with men at chess, and are therefore less intelligent.
195320	201820	And the logic goes that if women could compete with men, there would be no need to divide men and women into separate leagues.
202120	208820	So is Black Pigeon Speaks onto something here? Is it true that women can't compete with men at chess?
209020	215020	Well, I'd like to skip ahead at this point and share a news story from the 17th of this month from chess.com.
215020	221920	Hou Yi Fan, I think I'm saying that right, pressures Carlson, maintains lead at Grengke.
221920	229520	That's China's Hou Yi Fan, a woman pressuring Magnus Carlson, who, in addition to being a man,
229520	235020	is the world number one, the world chess champion, and the highest-rated player in history,
235020	239720	into a draw to maintain her lead at the Grengke chess classic.
239720	247820	Now, she was leading because she had previously defeated, in the first round of that tournament, Fabiano Caruana,
248120	254420	who is the third highest-rated player in history, behind only Magnus Carlson and Garry Kasparov.
254820	261520	And the interesting thing about Caruana here is that he was born in Miami, which means he's American, if you follow,
261520	268820	so he's eligible to play in the US Chess Championship, the very tournament that Black Pigeon Speaks was talking about,
