start	end	text
0	3680	Hello, everyone. Today, I'd like to talk about Cuphead,
3680	10880	and more specifically, a few completely real controversies related to Cuphead that definitely happened and matter.
10880	13680	But first of all, what is Cuphead?
13680	17920	Well, it's a video game. A rather good video game, in my opinion.
17920	25600	It's a side-scrolling run-and-gun game in which players control the titular Cuphead with his pal Mugman in co-op mode.
25760	30560	Now, Cuphead and Mugman are both in trouble after finding themselves on the wrong side of the tracks
30560	33680	and losing a dice in the Devil's Casino.
33680	40160	Indebted to the Devil, the duo have to track down the Devil's runaway debtors and collect their soul contracts for him.
40160	43760	It's a pretty neat game, and I'd recommend playing it if you haven't.
43760	49440	It has a reputation for difficulty, apparently, but I beat it fairly easily, to be honest,
49440	51680	and it didn't even take me that long, either.
51680	57600	But then again, I am brilliant at the computer games, and thus have earned the right to talk about them.
57600	61600	So, given that I'm not a game review channel, you might be wondering,
61600	63840	why am I talking about Cuphead?
63840	70960	And that's because Cuphead is racist, ableist, and out-of-touch elitist games journalists all hate it,
70960	72560	because it's too difficult.
72560	88560	You know, Cuphead is racist! That game is, it's animation styled, it's based around those racist cartoons from the 1930s and 40s,
88560	92320	so clearly the game is the embodiment of racism!
92320	96160	Oh, I can one-up that! It's actually ableist!
96160	103280	That's right, it's ableism, and it's just in its most concentrated form, in a form of interactive entertainment!
103280	109120	And then I had to go and just shut the shit off, and take a couple steps away from my social media feed,
109120	117040	because no matter where I went, every single fucking corner of the internet was caked with shit sticking to a wall,
117040	121520	so fucking bad that even the flies decided, you know what, I can go elsewhere.
121520	125600	This is the kind of stuff that I was seeing all the time, based around Cuphead.
125600	134960	That's a ranty chap called Alpha Omega Sin, telling his half a million subscribers about the hatred Cuphead is apparently receiving all the time,
134960	137840	in every single corner of the internet.
137840	142320	And he certainly seems rather worked up about it, so I'm sure it is actually happening,
142320	148800	but I have to ask, for the sake of argument, who is it who is actually attacking Cuphead?
148800	150800	Who are these scoundrels?
150800	154960	And this is a game that I got to play, and I enjoyed the living fuck out of,
154960	162240	yet now due to the game's difficulty, because it's actually a challenging game, not fucking impossible,
162240	168400	an actual challenging game, they think that, huh, that's ableist!
168400	172080	And they think because of the art style that it is racist,
172080	177280	literally just haphazardly applying fucking labels wherever they see fit,
177280	184720	and this is gamers and journalists that are saying this kind of shit.
184720	190240	You've got to be fucking kidding me that this is what's happening.
190240	196480	A game does not deserve this kind of bullshit, yet it's happening anyway.
196480	199040	It's happening anyway, apparently.
199040	205200	So it's fake gamers and air quotes journalists who've been attacking Cuphead then.
205200	210240	Now, Mr. Alpha Omega-Sen rants for a solid 16 minutes in much the same vein as what you've seen,
210240	215600	but at no point actually identifies who it is specifically he's shouting about.
215600	219600	He does a lot of impressions of imaginary silly people calling Cuphead racist,
219600	225840	and refers to a nebulous they a lot of times, but never actually calls out anyone in particular,
225840	229360	and that makes the comments under his video rather confusing.
229360	231040	Here's a few examples.
231040	232720	Alex Barranco says,
261280	265200	...back into the Dark Ages, and we could just start over.
265200	268880	SJW would not last long in that kind of world.
268880	270480	Fucking Christ.
270480	273280	And Lilith, aka the Firehawk, says,
285840	290320	These people. And this is something you see over and over again in these comments.
290320	294000	These people. These people. These people.
294000	297920	Dude, I didn't know until I saw this video that people were saying this shit.
297920	302000	I totally agree with you, Alpha. These people are dumb.
302000	304800	And, like, who?
304800	308720	Who are they all talking about? You know, who are these people?
308720	310640	How did this happen?
310640	314640	How is it that this guy can whip up his audience into such a rage
314640	320000	that they're wishing for every sort of violence up to and including nuclear annihilation?
320000	323920	Directed at a completely undefined enemy.
323920	326560	Is it me, or is that rather odd?
326560	331520	So what we're gonna do today is try to figure out how Cuphead became the latest battlefield
331520	334880	for capital-G gamers on one side, and quote,
334880	337120	...these people on the other.
337120	340880	And along the way, we'll see if we can find any examples of these people
340880	344160	and see what, if anything, they've actually said about Cuphead.
344720	346480	So to start off here,
346480	349520	back in August at the Gamescom event in Germany,
349520	354080	a VentureBeat writer named Dean Takahashi played a preview version of Cuphead
354080	356160	in order to write an article about it.
356160	359840	The footage of his attempt was uploaded to VentureBeat's YouTube channel,
359840	362880	and his below-average gameplay garnered some...
363920	365920	...attention, shall we say.
365920	369040	Now, Takahashi's article acknowledges his poor performance,
369040	369760	starting out,
369760	372560	"...I suck at Cuphead, let's get this out of the way,"
372560	373600	and later saying,
373600	376800	"...go ahead, laugh your heart out at my expense.
376800	380000	While my performance on the captured video below is quite shameful,
380000	381760	as I never finished the level,
381760	384160	I think it shows quite well why Cuphead is fun,
384160	388240	and why making hard games that depend on skill is like a lost art."
388240	390240	So, you know, what happened here?
390800	393840	A dude was bad at a video game for half an hour.
393840	396480	He blames his own poor play, not the game.
396480	397920	He calls it fun.
397920	400960	He's self-deprecatingly good-natured about it,
400960	402560	you know, posting the video online,
402560	405200	because it's funny that he sucks at the game.
405200	408080	And he's also not reviewing the game, by the way.
408080	411040	He just previewed it for a bit at a games expo.
411040	415600	A different journalist at VentureBeat wrote the actual review of Cuphead on the site,
415600	418000	giving it a score of 85 out of 100,
418000	418480	and saying,
418480	422320	"...these days, beating a game sometimes doesn't feel like much of an actual achievement,
422320	425920	but I was happy and proud when I killed the last boss in Cuphead.
425920	429440	The fact that it was so hard made it so rewarding."
429440	433280	And Dean Takahashi later posted a short video of him playing
433280	436240	and beating the level that he had earlier struggled with,
436240	439360	so well done to Dean for improving, I guess.
440240	442880	So why is this all a thing?
443520	446480	Well, about that attention I mentioned earlier,
446480	452560	lots of folks reacted rather poorly to some guy being bad at a video game.
452560	456720	For example, air quotes journalist Ian Miles Prower Chong
456720	459200	got some ads in his pants about the situation,
459200	459700	saying,
460160	463520	"...games journalists are incredibly bad at video games.
463520	465520	It's painful to watch this.
465520	468480	How do they think they're qualified to write about games?
468480	472560	How can a paid professional games journalist be this bad at video games?
472560	475520	Dean Takahashi spent 26 minutes playing the first level
475520	477680	and never got past the starting area.
477680	481360	I don't know how it's possible to rely on the recommendations of game journalists
481360	484160	when they don't even have basic reflexes needed to play."
484160	487920	It explains why they're all enamored with walking simulators,
487920	491680	no skill necessary, just press W and the game will take care of itself,
491680	493760	and so on and so forth.
493760	496000	So that's quite the extrapolation there.
496000	501440	Dean Takahashi, the singular person being bad at Cuphead for a bit at a games expo,
501440	506240	is now all games journalists being terrible at all games all the time
506240	510160	and engaging in some conspiracy to promote walking simulators or something.
510720	513520	All this despite Takahashi's preview of the game
513520	518400	and the later actual review on the site, both praising Cuphead's difficulty.
518400	520400	Chong's take was popular though,
520400	524720	with more than 12,000 people sharing his tweet mocking Takahashi's gameplay
524720	528080	and detached theorizing about walking simulators.
528080	531120	And so begins the curse of the numbers.
531120	534320	The VentureBeat video received over a million views.
534320	538640	PewDiePie put out a video where he reacts rather obnoxiously to that video,
538640	541760	which has over six million views at the time of writing this
541760	544320	and another one that has over four million.
544320	548000	Some channel called Rags put out the Cuphead Chronicles,
548000	553920	gamers versus journalists mocking Takahashi's gameplay to a couple of hundred thousand viewers.
553920	556800	So Cuphead is the hot topic to argue about,
556800	561120	so we keep talking about it until it doesn't get us attention anymore.
561120	563920	That's how YouTube works, folks.
563920	565360	And not to skip ahead too much,
565360	570080	but if nobody is actually saying anything worthwhile creating a ranty response to,
570080	573520	for example, if nobody is calling Cuphead racist,
573520	577920	you can just pretend they are and your audience will believe you anyway.
577920	579840	But let's get back on track.
579840	581680	So on October 29th,
581680	585760	Ian Miles Chong shared an article on a site called Super Nerd Land
585760	588320	written by Twitter user Cheeky Scrump,
588320	592800	and that's called Postmortem, the Dark Souls of Games Reviews.
592800	596160	And when Cheeky Scrump posted this article to Twitter, they added,
596240	600080	Why are games journalists so dead set on attacking difficult games?
600640	602320	Because it benefits them.
602320	608320	But is it true that games journalists are dead set on attacking difficult games like Cuphead?
608320	610640	Well, I don't know about that, to be honest.
610640	613920	Cuphead has an 88 on Metacritic for a start.
613920	616560	It got five stars on Giant Bomb,
616560	618640	8.5 on Polygon,
618640	620560	8 out of 10 on GameSpot,
620560	621520	and so on.
621520	624480	And all these reviews praise the difficulty level.
625040	628400	Games journalists love Cuphead and its difficulty,
629040	633680	going by what they actually, you know, say about it.
633680	638640	So who are the games journalists who are apparently dead set on attacking difficult games?
638640	640880	You know, who are they?
640880	643440	Are they more of these people?
643440	647680	Well, let's read this article by Cheeky Scrump and see if we can find out.
647680	648320	And I quote,
649040	652480	Most recently, Cuphead, the much-hyped run-and-gun platformer
652480	654800	with a Golden Age-era cartoon aesthetic,
654800	658160	was described as somewhere between Mario and Dark Souls
658160	662080	by now-infamous games journalist Dean Takahashi.
662080	665360	Cuphead and its like have created unexpected controversies
665360	670560	about whether or not games journalists should have basic ability when it comes to playing games.
670560	674000	The long and short of it is that Cuphead has become a jumping-off point
674000	679280	for a full-scale attack on difficult and exclusionary games by the gaming press.
679280	680720	As the argument goes,
680720	685440	games that are difficult rob lesser skilled players of the chance to complete them,
685440	687760	therefore making them exclusionary.
687760	689280	Now, if we click on that link there,
689280	693120	we're taken to a Polygon article written by Ben Kuchira entitled
693120	695680	When is Exclusion a Valid Design Choice?
695680	697440	So, is this it?
697440	698960	Have we found it, finally?
698960	704400	Is this the full-scale attack by games journalists dead set on attacking difficult games?
705040	705540	Well...
706320	706820	No.
707200	711520	Cheeky Scrump is being rather misleading about the content of this Polygon article
711520	713680	in a way that, in my opinion,
713680	719440	perfectly illustrates how a lot of people online simply don't know how to read properly.
