start	end	text
0	1440	Hello, everyone.
1440	9160	Today, I'm going to talk about a truly disgusting article that was posted on the BBC News website on the 26th of October.
9160	9960	That being,
9960	15240	We're Being Pressured Into Sex by Some Trans Women, written by Carolyn Lowbridge.
15240	21040	Now, hateful transphobic bigotry is very much the norm throughout most of the British news media,
21040	25680	but for various reasons, this article stands out as especially repulsive.
25920	32000	This article attempts to make the case that cis lesbians are being sexually assaulted by predatory trans women
32000	35480	on a level that goes beyond the actions of individuals.
35480	42080	Cis lesbians, as a group, are in danger from trans women, is the point this article is trying to make.
42080	46160	Now, of course, a member of any group of people can pressure or coerce someone into sex,
46160	50400	but we cannot use that fact to tar the whole group with the same brush.
50400	55160	Using the actions of an individual to discriminate against an entire group is...
55160	57200	Well, it's discrimination, isn't it?
57200	59240	The BBC could just as well print,
59240	62680	We're Being Pressured Into Sex by Some Cis Lesbians,
62680	67600	and use isolated incidents of people being sexually assaulted by cis lesbians
67600	71600	to make the case that the lesbian community is inherently dangerous.
71600	78120	Now, that would be ridiculous, homophobic discrimination, and exactly as valid as this article.
78120	80360	The BBC would not write the articles,
80360	83360	We're Being Pressured Into Sex by Some Black Men,
83400	86680	or We're Being Pressured Into Sex by Some Jews,
86680	90240	but it can get away with writing the exact same thing about trans women
90240	93400	because of the media environment into which it's being released,
93400	96040	which is an openly transphobic one.
96040	98760	So I disagree with this article in conception.
98760	102120	I think it is a textbook case of bigoted discrimination,
102120	104840	but it gets much worse, trust me.
104840	107120	Now, for an article with this title,
107120	112720	you might expect it would mainly be concerned with people being pressured into sex by trans women,
112720	118160	but the article contains only two reported instances of trans women pressuring someone into sex.
118160	121600	It's actually much more concerned with hypothetical scenarios,
121600	125000	or with differences of opinion within the LGBT community
125000	129640	that have nothing whatsoever to do with trans women pressuring people into sex.
129640	132240	For instance, it tells the story of a cis lesbian
132240	135640	whose girlfriend wanted them to have a threesome with a trans woman,
135640	138920	but she didn't want to, and they had an argument about that.
138920	142240	Now, no trans woman is pressuring anyone here.
142240	144920	They're not even involved in the story directly.
144920	147920	This is something going on between two cis women.
147920	151200	This story has no business being alongside someone saying
151200	155760	I was actually pressured into sex as if those two things were equivalent.
155760	160880	Now, in an attempt to prove that trans women pressuring people into sex is an actual phenomenon
160880	163760	and not just a number of isolated incidents,
163760	166000	the same as we would expect of any group,
166000	172000	the article cites a questionnaire distributed by the fringe transphobic hate group Get The L Out,
172000	175360	which reported that of the 80 women who did respond,
175360	181760	56% reported being pressured or coerced to accept a trans woman as a sexual partner.
181760	184720	Now, there are lots of problems with this questionnaire.
184720	191440	Firstly, it specifically refuses to gender trans women correctly using he and him throughout.
191440	196480	Given that, and the fact that Get The L Out distributed this study via social media,
196480	199280	gives rise to obvious bias issues,
199280	205840	specifically in terms of who would respond to this clearly biased hateful propaganda in the first place.
205840	210480	But a bigger issue is what the questionnaire considers to be pressure or coercion.
210480	214320	In the section of the findings, which reports the 56% figure,
214320	220720	it states most respondents reported being subjected to such rhetoric directly or indirectly
220720	224960	with the general feeling that it's online everywhere and relentless.
225600	229680	Now, this is not trans women pressuring people into sex.
229680	235680	This is some transphobes seeing trans acceptance on the internet and not liking that.
236240	238720	They don't think that trans women are women,
238720	242240	so when they see people online treating trans women as women,
242240	246000	they take that as a personal attack, but it isn't.
246000	250080	And we see a similar attitude in the section titled Deception.
250080	253840	Several respondents discussed their experiences of deception
253840	257280	while being approached by trans women they assumed to be women.
257280	260320	They reported feeling betrayed and violated.
260320	264800	So just trans women passing is being classed as deception here.
264800	266640	They're taking it personally.
266640	271680	They're acting like, by itself, a trans woman passing is an attack upon them.
271680	277680	What is being included as pressure or coercion here is simply trans women existing.
277680	282240	And we see a very clear indication of this when the questionnaire shares that awful quote
282240	287760	by Janice Raymond comparing trans people's existence at all to the act of rape.
288320	292560	And it is incredibly unfair to actual survivors of sexual assault
292560	296240	to have their experiences categorized alongside things like
296240	298640	I didn't realize someone was trans,
298640	302160	or not enough people are being transphobic on the internet,
302160	305360	or simply just trans people exist.
305360	309360	This is just hate speech very shoddily dressed up as a study,
309360	314800	and it is utterly embarrassing that the BBC shared this as if it was legitimate.
314800	316080	But to be clear here,
316080	321200	even though this rubbish is clearly discriminatory and put out by an obviously biased group
321200	326240	and pads what we can mockingly call its findings with utter irrelevancies,
326240	329520	I am absolutely not casting doubt on any of the respondents
329520	332320	who reported actual sexual harassment or coercion.
332880	336880	All I will say is that, firstly, we cannot use their individual experiences
336880	339360	to discriminate against an entire group of people.
339360	344240	And secondly, nobody at the BBC responsible for sharing the findings of this study
344240	347600	cares at all about women being sexually assaulted.
347600	351760	Carolyn Lowbridge does not care about women being sexually assaulted,
351760	354880	except for how she can use that to attack trans people.
354880	357440	And this is not something I say lightly.
357440	359440	There is absolute proof here.
359440	363120	You see, this article featured prominently as a source Lily Cade,
363120	365200	an adult film performer who, quote,
