start	end	text
0	3440	Hello, everyone. Now, before we get started with the video today,
3440	7920	I'm gonna have to include a brief note about the concept of guilt by association.
7920	10800	Now, let's say, for instance, I work in an office,
10800	14320	and a colleague of mine is photographed kicking a cat.
14320	18320	Say, now it would be unfair to also declare me guilty of that crime
18320	22720	simply for being associated in an unrelated way with the perpetrator.
22720	26720	However, let's say an associate of mine is photographed kicking a cat,
26800	31360	only this time we're associated because he attends my cat kicking course,
31360	34560	where I teach the most effective ways to kick cats.
34560	37520	That wouldn't merely be guilt by association, then,
37520	42800	because the way in which I was associated with him would have a direct link to his actions.
42800	46480	That's just something I think it's important to make clear at the start here,
46480	49360	and you'll hopefully see why this was needed as we go on.
50000	52640	Anyway, hello, everyone, again.
52640	57760	This is a video about terms like white supremacist, white nationalist, and racist,
57760	61040	and it's also a response to a video posted by Steven Crowder
61040	63840	on the 30th of April this year entitled,
63840	65920	What Is White Supremacy?
65920	69360	In that video, Steven is worried about an apparent uncertainty
69360	73440	over who counts as a white nationalist or white supremacist or racist,
73440	77120	and he's furthermore worried that this confusion will lead to people being banned
77120	82400	from various social media sites merely by being accused of belonging to those groups.
82400	85280	As always, I'd suggest you watch his video first,
85280	88480	so you can be sure I'm not misrepresenting his views.
88480	91280	But we'll also briefly talk through Steven's argument here
91280	94320	before we get into responding to specific sections of it.
94320	97920	So, okay, Steven opens his video with a flash-forward plea
97920	102160	to various social media tech CEOs asking them to define the terms
102160	104640	white supremacy and white nationalism,
104640	108720	and asks what should count as a bannable offense on social media.
108720	112800	Steven then says he's against various recent white nationalist terror attacks.
113600	114720	That's good.
114720	118080	But then starts complaining about people politicizing the murders,
118080	120640	quote, before the bodies are even cold.
120640	122400	Which is always a silly thing to say,
122400	126000	because terror attacks are explicitly political by nature.
126000	129760	You can't politicize them. They're already political.
129760	130480	Anyway.
130480	134080	Steven then complains about various news shows in the United States
134080	135920	calling President Trump a racist,
135920	138720	and then moves on to complain about journalists in the media
138720	141520	apparently calling all manner of people who disagree with them
141520	143600	white supremacists or white nationalists,
143600	146640	including media figures like himself and Ben Shapiro.
146640	149120	He says that by the time we get to this, quote,
149120	153520	actual white supremacist, the term has lost all meaning.
153520	158080	Now, you might note here that corporate news journalists calling the president racist
158080	161280	have nothing at all to do with suspected white supremacists
161280	163840	being banned from social media websites.
163840	168000	To the uninitiated, this leap of logic will seem rather confusing.
168000	170480	But the actual reason for why Steven can do this
170480	174640	is that the point of his show is to argue against what he calls the left.
174640	179760	Which, for him, includes not just actual leftists, but also liberals.
179760	183280	Now, he's not able to distinguish between those two groups, obviously.
183280	186640	The Democratic Party establishments are also called the left,
186640	189840	despite being rather strongly disliked by the left.
189840	196080	And also, tech CEOs who run huge private corporations are also apparently the left.
196080	200240	It's a ridiculous us-versus-them oversimplification, basically.
200240	204960	If you can convince your audience that all these disparate groups count as the left,
204960	208000	then manufacturing leftist hypocrisy is easy.
208000	210720	The vast majority of the content on Steven's channel
210720	214400	is centered around criticizing these air quotes leftists,
214400	218560	even if the subject in question is a white nationalist mass murder.
218560	222880	Top five dumbest leftist reactions to synagogue shooting
222880	226240	is a real headline on their website, believe it or not.
226240	228320	Anyway, back to the video in question.
228320	230800	Steven then makes various comparative statements
230800	233440	about the abilities of various races of people,
233440	238160	and asks if saying those statements makes him a racist or a white supremacist.
238160	242800	He then says that leftists are calling everything a white supremacist dog whistle,
242800	245760	using clips of Donald Trump talking about choking
245760	248640	and being accused of referencing the murder of Eric Garner,
248640	250640	which happened five years ago.
250640	253360	Steven doesn't pick a more recent or relevant example
253360	255760	of a racist dog whistle for some reason.
255760	258160	You can't use this one anymore, I guess.
258160	260560	Steven then gives various comparative statements
260560	263040	about different countries and societies,
263040	266960	asking if saying those statements makes him a racist or a white supremacist.
267520	271840	Now, if you noticed that this was the exact same point as the IQ thing earlier in the video,
272400	275280	you're correct, it's not a very well-structured argument, this.
275360	279200	Then he waffles about how great western civilization is for a while
279200	282480	before closing out by saying that if social media platforms
282480	285120	are gonna ban people for being white supremacists,
285120	287760	then they have to define what white supremacy is.
288480	289200	The end.
289200	291360	Right, so what do we think about this video?
291360	292560	Why was it made?
292560	294880	Well, the description to the video says
294880	298880	Steven Crowder thoroughly dissects media's use and misuse
298880	302000	of the terms white supremacy and white nationalism,
302000	304880	separating fact from liberal fiction.
305040	308080	But he doesn't thoroughly dissect anything, of course.
308080	311040	Once you strip out the regrettable celebrity impressions
311040	314720	and complaining about irrelevant criticisms of Donald Trump,
314720	319040	nearly all Steven says with regards to white nationalism and white supremacy is
319040	321280	I don't know what they mean.
321280	323760	Can somebody please help me?
323760	326560	I say nearly because to be charitable to Steven,
326560	328960	his one actual point appears to be
328960	332320	there is some uncertainty about who is and isn't a white nationalist,
332320	334400	white supremacist, racist, or whatever.
334960	338800	And that uncertainty is the fault of the leftist hive mind
338800	342000	for overusing those terms where they don't apply.
342000	345520	So Steven wants someone on the left to tell him what those terms mean.
346400	347760	So that's what we're gonna do today.
347760	350880	We're gonna help Steven out and answer his questions.
350880	354560	So we'll start with the basic definitions of the terms he's confused about.
354560	357280	A white supremacist is someone who believes that white people
357280	360880	are superior to people of other races and should be in control of them.
360880	364320	A white nationalist is an advocate for enforced racial segregation
364320	367040	with the aim of creating an ethnically white state.
367040	369680	And a racist is someone who believes that a particular race
369680	371760	is inherently superior to others.
371760	374560	Now there's obviously a lot of crossover between those terms,
374560	377360	but at least in dictionary definition form here,
377360	379920	they aren't particularly confusing so far.
379920	382800	Now I'd like to go off on a little tangent here if you'll let me.
383840	386480	Well, you know, either way, you can't stop me.
387200	390240	So I'm not here to debate whether any of these terms
390240	392720	represent acceptable political positions.
393280	393840	They don't.
394480	396960	Here in the free marketplace of ideas,
396960	399840	I will debate absolutely any argument or position,
400400	402240	so long as it's debatable.
402240	406240	For instance, I won't debate whether two plus two equals five with you.
406240	408560	Not because I can't prove it doesn't,
408560	410240	but because there's no point.
410240	411760	It's a waste of time.
411760	415040	You know, take someone who thinks that two plus two equals five
415040	416400	and will argue the point.
417120	420000	I don't want to convince them that they're wrong.
420000	421680	I don't want them on my side.
421680	424800	You know, if they looked at the evidence and came to that conclusion,
424800	426480	who knows what else they think?
426480	427440	They're embarrassing.
428000	430560	Likewise with questions of equal rights.
430560	432960	Whether or not people deserve equal human rights
432960	435120	is a question with a right and a wrong answer
435120	437520	as clear cut as the previous example.
437520	438960	If you believe, for instance,
438960	441680	that white people are inherently superior to other races
441680	445360	and deserve to be treated preferentially by society as a result of that,
446000	447200	you are wrong.
447200	448880	There's nothing to be debated there.
449360	452080	Not because I can't explain why you're wrong,
452080	454080	but because as things stand,
454080	457280	you're incapable of understanding why you're wrong.
457280	458960	Anyway, tangent over.
458960	459920	Now, as we've seen,
459920	463040	Steven attributes the supposed ambiguity surrounding terms
463040	465520	like white supremacist, white nationalist, and so on
465520	468880	to leftist and or liberal overuse of the terms.
468880	471920	But I'd like to offer an alternative explanation,
471920	474800	something that Steven never considers in his video,
474800	475520	and it's this.
476240	478240	Sometimes, people lie.
478960	481200	Now, that might sound shocking and unbelievable,
481200	482400	but stick with me.
483040	485840	Take this quote actual white supremacist
485840	487920	who Steven calls a white supremacist.
487920	491120	Now, is this really how obvious we need people to be
491680	494320	before we'll call them a white supremacist?
494320	497440	You know, you have to be at a white supremacist rally
497440	499680	proudly showing off a swastika tattoo,
499680	501200	because here's the thing.
501200	502560	There could be people out there
502560	506560	who have some or all of the same political opinions as this man,
506560	509040	but who are savvy enough to know it's a bad idea
509040	511040	to get a big swastika tattoo.
511040	513520	Let's pretend, for the purposes of argument,
513520	515200	that such people exist.
515200	517680	Actually, we don't need to pretend that.
518400	520160	Let's say you're Steven Crowder.
520960	522000	Apologies.
522000	525360	And you need a photograph of an actual white supremacist
525360	526640	for your internet video.
526640	527600	So what do you do?
527600	528800	You go to Google Images,
528800	531200	you type in actual white supremacist,
531200	532560	and there he is there.
532560	536160	Now, this photograph is of a man at the Charlottesville Unite the Right rally,
536160	538080	and it's from a website that says,
538080	543280	9% of Americans think it's okay to hold white supremacist or neo-Nazi views.
543280	547040	A Washington Post ABC News poll found that 9% of Americans
547040	550960	believe holding white supremacist or neo-Nazi views is acceptable.
550960	553520	A majority of Americans, regardless of party,
553520	555680	think it's unacceptable to hold such views.
555680	557520	83% overall.
557520	558240	So that's good.
558960	562240	Most confusing to me here, though, is if we click through to the poll,
562320	567520	the 8% of people who apparently have no opinion of neo-Nazi views at all.
568240	569760	What's going on with them?
569760	574080	Just sort of ambivalent, I guess, about the whole Nazism thing.
574080	576960	Now, even if we assume that this study was wildly off,
576960	579600	and 9% is a huge overestimation,
579600	584960	if even 1% of the US population thought that holding neo-Nazi views was acceptable,
584960	587760	that'd be more than 3 million people.
587760	589920	Trust me, they are out there.
590480	595120	You see, people who go to far-right rallies and wave swastika flags and do Hitler salutes,
595120	599760	we can call them open white supremacists, nationalists, racists, and whatever.
600400	604960	But what we also have to be concerned about are people who agree with this man,
604960	609600	who themselves are white supremacists and nationalists and racists and so on,
609600	611920	but who say that they aren't.
611920	614720	Now, there are some people in the right-wing media sphere
614720	618080	who are open white nationalists or supremacists,
618080	620480	but usually they don't get all that much of an audience
620480	623200	because those ideas phrased as clearly as that
623200	625920	mean you're very likely to eventually either get fired
625920	628320	or banned off whatever sites you're using.
628320	631760	Much more common than them are closeted white nationalists
631760	634960	who hide behind euphemisms for their actual beliefs.
634960	636480	They might say, you know,
636480	639520	I'm not a white nationalist, I'm an identitarian.
639520	642880	I'm not a racist, I'm a race realist, and so on.
642880	646240	They'll say they disavow Nazism and white supremacy,
646240	648480	but they're saying that for branding reasons
648480	651600	rather than actual ideological disagreements.
651600	653840	They do support white nationalism,
653840	657280	but they understand that saying so would damage their cause.
657280	662000	So to advance white nationalism, they have to first pretend to disavow it.
662000	665840	And then separate from that group, there are some pure shameless grifters
665840	667520	with no real opinions of their own,
667520	670800	but who have worked out that there's a lot of money and attention to be had
670800	672800	in pandering to racists.
672800	675520	And now, what's the difference between all these groups of people
675600	681120	the, quote, real white nationalists, the closeted white nationalists, and the panderers?
681120	684560	Well, functionally, as far as I'm concerned, nothing.
684560	686480	They're all spreading the same propaganda.
686480	689840	It doesn't matter what they call it or their reason for doing it.
689840	693600	If you associate with and support racists and parrot their opinions,
694240	699440	you're a racist, regardless of if you say or even think you are.
699440	702080	Now, does thinking this mean I'll sometimes label someone
702080	704080	a white nationalist or racist or whatever
704080	705680	who claims not to be one?
706480	708800	Sure. Do I care about that?
709520	710640	Not really.
710640	713120	You know, in my opinion, the burden of proof is on them
713120	715440	to act less like a white nationalist.
715440	718080	And for any fans of Steven Crowder who might be watching
718080	720320	who think I'm being unfair here,
720320	723920	consider the following clip from another of his videos.
723920	725440	So they don't believe in the First Amendment,
725440	728240	whereas white nationalists, when we address the Constitution,
728240	730960	don't believe that all people were created equal.
730960	733680	If you look at the Declaration of Independence, that's right in there.
733680	734720	They don't believe that.
735360	737840	They all agree on one thing.
738400	740480	Equality is a dangerous myth.
741360	744800	The alt-right is united in rejecting the current dogma
744800	746960	that all races are equal.
748080	749360	And I know people say he's alt-right.
749360	750880	That's- he's a white nationalist.
751520	755520	So who is this guy who Steven called alt-right and a white nationalist?
755520	757280	Well, that's Jared Taylor,
757280	761040	editor of the white supremacist magazine American Renaissance.
761040	765840	Jared Taylor is a white supremacist and white nationalist and racist.
