start	end	text
0	6500	Hello there, and, as you can tell from the title, today we're gonna be talking about some heavy stuff.
6500	11300	And, to be honest, I wasn't that sure if this was a good idea or not.
11300	17600	I've been told that every time you talk about politics or religion, you cut your audience in half.
17600	20900	But I've got a lot of opinions that I wanna talk about,
20900	25900	and I figured that it was better to cut my audience in half now, when it's tiny,
25900	30900	rather than six months down the line, when I've got five million subscribers.
30900	34200	You know, it just makes sense, mathematically.
34200	40700	So then, I got a comment recently on my video that I made about Leafy and Milo Stewart,
40700	45900	and it was left by a guy called Jason Todd, and he was taking issue with Milo's
45900	48400	All White People Are Racist comment.
48400	51200	Now, in the first part of his comment, he says,
51300	57100	You attempted to take a logical, middle-of-the-road stance here, but it's clear you have a bias.
57100	60700	He then gives the dictionary definition of the word racism.
60700	65500	Then he says that some people can grow up, uh, without subconscious biases.
65500	66500	Uh, quote,
67000	72400	Despite your belief that society at large is indoctrinating people to hold racist beliefs,
72400	78800	you seem to forget about the people who grow up in households where they are not raised with these subconscious beliefs.
78800	81600	Now, I disagree with that statement for a start,
81600	87600	because I don't think it's possible to have any sort of meaningful interaction with society in general,
87600	92700	and not come into contact with anything that might cause a subconscious bias.
92700	97400	You know, excluding people who were raised by wolves or in fallout shelters or something,
97400	101200	I'd say that we all have some level of racial bias.
101200	106100	However, I will concede it's hard to prove if a subconscious bias exists or not,
106100	111800	because it's subconscious, you know, by its nature, it's hard to detect.
111800	115400	And now, I personally wouldn't come out and say something like,
115400	119700	All white people are racist, even though I do understand the argument,
119700	127400	because, being white, I have the luxury of avoiding the more confrontational racial arguments, if I feel like it,
127400	131300	and I will gladly exercise my privilege in that regard.
131300	134500	But if I did have to say that all white people are racist,
134500	140100	I'd bury the lead and waffle a lot and lay a lot of groundwork beforehand,
140100	142900	and then that just makes the statement lose its shock value,
142900	147200	and that kinda negates the point of saying it in the first place.
147200	151500	You see, the argument to be had with the all white people are racist approach,
151500	157500	if we grant that the person saying it is arguing in good faith, anyway, is one of efficacy.
157500	161000	You know, on the one hand, racism is a powerful word,
161000	165100	and it does draw a lot of attention to an issue that needs a lot of attention.
165100	169600	But on the other hand, you are gonna get a lot of backlash saying something like that,
169600	173400	and is the increased attention worth the backlash?
173500	177400	It seems like, for everyone that sticks around to hear the explanation,
177400	179700	you're gonna have turned someone else off,
179700	183800	and, personally, I just can't judge if that's worth it or not.
183800	187700	You know, someone smarter than me can puzzle that one out.
187700	193000	So, let's move on to the second part of Jason Todd's comment, where he says, quote,
193000	199400	However, believing races are superior to one another, on average, in regards to certain things,
199400	205200	is perfectly reasonable, and it's fucking stupid to claim we're all perfectly equal in every way.
205200	210900	We aren't equal within our own race. How can we be equal across races?
210900	217400	So, first off, I don't think you'll find many people who'll say everyone is literally equal in every regard.
217400	223900	Usually, when people say all races are equal, they're talking about the possible range of potentialities,
223900	227800	you know, rather than meaning to be completely literal about it.
227800	229900	Jason then goes on to say,
240100	241600	So, let's debate this.
241600	244800	Uh, now, there's a few different lines of argument here,
244800	248500	and I'm gonna wander pretty far away from Jason's actual comments,
248500	253100	but I will come back to address them specifically at the end.
253100	260100	First up is context, and welcome to the wonderfully complicated world of statements
260100	264800	which are true in one regard, but not true in other regards.
264800	272200	And, as an example, let's first look at a simple statement which is hopefully free of any racial baggage.
272200	273200	Okay,
277000	282800	Well, free of context, that statement is neither true nor untrue.
282800	290200	If we're talking about domesticated dogs and cats, then yes, it's true that, on average, dogs are larger than cats.
290200	296900	And Jason quite rightly includes this, on average, qualifier in his statements about Black and Asian people.
296900	301600	Now, there are, of course, particularly small dogs and particularly large cats
301600	305100	which make the statement untrue in every instance.
305100	310900	And newborn dogs are often smaller than fully grown cats, but they're still dogs.
310900	317200	And even the words dog and cat need clarification, you know, a tiger is a cat, technically,
317200	322000	so cats are ultimately larger than dogs on an individual scale.
322000	328200	You know, what I'm getting at here is that, depending on the context, the statement can be read as true or untrue.
328200	330800	By itself, it's meaningless.
330800	335500	Let's apply this thinking to a comparative statement about different races,
335500	339800	and you've probably come across this one online before.
339800	348200	Now, I see this sort of thing all the time, and it's usually justifying a reported police bias against Black people or some such.
348200	350800	So, is it a true statement?
350800	355800	Well, again, by itself, it can't tell us anything. You know, we need the context.
355800	361100	So, let's talk about this statement, and we'll see if we can't make it mean something.
361100	364600	So, first off, we need a location.
364600	369300	Where are we talking about here? Are we talking about worldwide or in a specific country?
369300	373800	You know, to narrow it down a bit, we'll say America.
373800	379300	In America, Black people are more likely to be criminals than white people.
379300	385300	Now then, what does more likely mean, exactly? Are we speaking genetically?
385300	390900	Outside of capital R, racist, KKK types, most people will say no.
390900	395100	Not genetically, just statistically, for whatever reason.
395100	398900	You know, cultural, social, economic, or whatever.
398900	404300	And if we're talking statistically, we have to ask, where do these statistics come from?
404300	410900	Because, of course, we don't have a perfect record of all the criminals out there, for what I hope are obvious reasons.
410900	417100	It's usually data taken from the police and the court system, so we'll add this qualifier, too.
417100	421900	And now, this raises a lot of questions about how that data is gathered,
421900	425700	because there could be problems with the method of data collection.
425700	431300	Let's imagine you're a new police chief in a city, and you're looking at statistics that say
431300	436500	Black people are 20% more likely than white people to be criminals.
436500	443300	Now, you have limited resources, and obviously you want to combat crime as effectively as you can,
443300	447500	so you logically choose to disproportionately target Black people.
447500	452900	You know, you're not racist, you're just spending your resources tackling crime
452900	455900	where the statistics say it's more likely to be.
455900	457500	Now, here's the problem with that.
457500	464500	A year down the line, when you update the statistics, you'll see an increase in Black crime relative to white crime.
464500	470700	The extra time and effort you spent chasing Black criminals meant that you caught more Black criminals,
470700	474900	and the decreased focus on white criminals meant you caught fewer.
474900	480300	And now you're looking at statistics that say Black people are 30% more likely to be criminals,
480300	482700	and you end up in a spiral.
482900	485700	You know, this is how you end up in situations like
485700	492700	Black Americans being arrested for marijuana possession at a national rate which is around triple that of white people,
493300	497900	despite Black people and white people actually smoking weed at similar rates.
498300	500100	And that's just on the police end, you know.
500100	505300	If we consider the court system, we're gonna have to add another qualifier to our statement,
