start	end	text
0	1500	Hello, everyone.
1500	4500	This is a video about European history,
4500	9500	and also about one or two tactics that fascists use in order to misrepresent it.
9500	14500	For examples of such misrepresentation, we'll be looking at a video by Mark Collett,
14500	18500	entitled, Writing Europeans Out of Their Own History,
18500	21500	currently with over 400,000 views.
21500	26000	Now unfortunately, I have to make a brief diversion here at the start of the video
26000	29500	in order to prove to you that this video was actually made by a fascist.
29500	35500	You know, I kinda need you on board with that idea if we're gonna be talking about fascist tactics, don't I?
35500	37500	So, okay, who is Mark Collett?
37500	43500	He's the former leader of the Youth Division of the far-right BNP, the British National Party.
43500	47500	Now, the BNP has roots in far more open and undisguised fascism,
47500	51500	but after Nick Griffin became leader of the party in 1999,
51500	54500	they began using more moderate and ambiguous language,
54500	58500	disguising their real aims and beliefs behind euphemisms.
58500	64500	Helpfully for us, Griffin gave a speech to a group called the American Friends of the BNP in the year 2000,
64500	68500	alongside former Grand Wizard of the KKK, David Duke, by the way,
68500	72500	in which he lays out the thinking behind this change in tactics.
72500	73500	Let's have a listen.
74500	80500	There's a difference between selling out your ideas and selling your ideas.
80500	85500	And the British National Party isn't about selling out its ideas, which are your ideas too,
85500	88500	but we are determined now to sell them.
88500	96500	And that means basically to use these saleable words, as I say, freedom, security, identity, democracy.
96500	101500	Nobody can criticize them. Nobody can come at you or attack you on those ideas.
101500	103500	They are saleable.
103500	106500	Perhaps one day, once by being rather more subtle,
106500	110500	we've got ourselves in a position where we control the British broadcasting media,
110500	113500	then perhaps one day the British people might change their mind and say,
113500	115500	yes, every last one must go.
115500	117500	Perhaps they will one day.
117500	123500	But if you hold it out as your sole aim to start with, you're going to get absolutely nowhere.
123500	127500	So instead of talking about racial purity, you talk about identity.
127500	129500	So that's fairly unambiguous there, isn't it?
129500	133500	We want to talk about racial purity, but we know it isn't a goer,
133500	137500	so we talk about identity and freedom and democracy and so on.
137500	140500	It's a fairly common tactic of various far-right groups.
140500	145500	Now, two years after this speech, Mark Collet was featured in a Channel 4 documentary called
145500	152500	Young, Nazi, and Proud, during which he was secretly filmed expressing admiration for Adolf Hitler and Nazi Germany.
152500	157500	The documentary also includes footage of him being told he was secretly recorded,
157500	161500	which is hilarious, and I would highly encourage you to give it a watch.
161500	167500	Also at one point, Collet claims he isn't a Nazi because there's no Nazi symbols around his house.
167500	171500	You know, as if it was owning a swastika flag that made one a Nazi
171500	174500	instead of sharing political beliefs with the Nazis.
174500	178500	Either way, here's a picture of Mark Collet with his girlfriend,
178500	181500	who has a swastika tattooed on her chest.
181500	183500	So then, Mark Collet is a fascist.
183500	189500	And, my apologies, I realize it's rather inelegant of me to just dump all of that on you at the start there.
189500	192500	I usually try to be a bit more subtle about it, you know,
192500	196500	but I feel it is important that as we go through the arguments in the video,
196500	202500	we realize that what we're seeing is fascism trying to be saleable, as Nick Griffin put it.
202500	208500	I would still encourage you to watch his video first so you can be sure I'm not misrepresenting his arguments,
208500	211500	although it is fairly quick to summarize, so I will do so here.
211500	213500	So, Mark's argument goes like this.
213500	218500	There exists a nefarious plot to write Europeans out of their own history.
218500	222500	A nefarious plot that has found itself enacted in the following ways.
222500	226500	Casting a mixed-race woman to play Joan of Arc at a festival.
226500	231500	A BBC cartoon about life in Roman Britain that showed a black Roman soldier.
231500	235500	The Hollow Crown, a series of TV adaptations of Shakespeare plays,
235500	238500	cast a black actor to play Queen Margaret.
238500	242500	Doctor Who cast a black actor to portray a Victorian soldier,
242500	245500	and elsewhere shows black Victorians on the streets of London.
245500	250500	ABC cast a black actor to play Sir Lancelot in their show Once Upon a Time,
250500	254500	and various other places cast black actors to play things, you get the point.
254500	259500	Now, Mark compares this to both whitewashing and cultural appropriation,
259500	263500	pointing out the supposed contradiction that some people complain about white actors
263500	267500	taking roles from minority actors, but they don't complain about the reverse.
267500	272500	Mark then concludes that all this is a deliberate cultural Marxist plot
272500	279500	to undermine Western civilization by eroding our common bonds, histories, homogeneity, and so on.
279500	284500	Writing people out of their own history will atomize that people and weaken their in-group preference,
284500	291500	so he says, and we need to come together and defend Europe by becoming fascists.
291500	295500	Well, he doesn't actually say that last part, but, you know, he may as well.
296500	298500	So what do we think about this video?
298500	302500	Well, it is riddled with historical inaccuracies for a start.
302500	308500	Before we get to the arguments here, I'm gonna have to get my red pen out and do a little correcting.
308500	312500	Let's start with that BBC cartoon showing a black Roman soldier.
312500	318500	So this was a video put out on the BBC Teach channel that currently has about 50,000 views,
318500	323500	about 6,000 of which appear to have only turned up to give it a downvote, though.
324500	328500	So then, black Roman soldiers in Britain, were they a thing?
328500	330500	Well, we'll find out shortly.
330500	335500	First of all, as Mark Collet shows this image in his video, he says this sentence.
335500	343500	At every turn, the BBC attempted to shoehorn someone who was not indigenous to the British Isles into the production.
343500	351500	Now, Mark, I'm sorry to have to tell you this, but this cartoon was about life after the Roman invasion of Britain.
351500	356500	The Romans weren't indigenous, they invaded and took it over.
356500	362500	You know, you should probably actually watch the cartoons and maybe learn something, you know.
362500	365500	Why do you think Britain is called Britain, even?
365500	368500	There's just some homework for you there.
368500	373500	Anyway, yes, the Roman Empire spanned from the UK to Africa to the Middle East,
373500	377500	and it recruited people into the legions from all over the place.
377500	383500	And the Romans would use legions from one part of the Empire to guard other parts of the Empire.
383500	385500	It's a lot easier to say things like,
385500	387500	go and put down that rebellion,
387500	392500	if you're not ordering men to go and fight their brothers and fathers and cousins and so on.
392500	398500	I'm gonna read a little here from the Historia Augusta, speaking about the life of Emperor Septimius Severus.
398500	399500	And I quote,
399500	405500	On another occasion, when he was returning to his nearest quarters from an inspection of the wall at Lugu Vallum in Britain,
405500	410500	at a time when he had not only proved victorious, but had concluded a perpetual peace,
410500	413500	just as he was wondering what omen would present itself,
413500	418500	an Ethiopian soldier who was famous among buffoons and always a notable jester,
418500	421500	met him with a garland of cypress boughs.
421500	425500	And when Severus, in a rage, ordered that the man be removed from his sight,
425500	429500	Troubled as he was by the man's ominous color and the ominous nature of the garland,
429500	432500	the Ethiopian, by way of jest, cried,
432500	438500	It is said, You have been all things, you have conquered all things, now, O conqueror, be a god.
438500	442500	Lugu Vallum there being the name of a fort along Hadrian's Wall.
442500	448500	So there we go, Historia Augusta, black soldier, man in Hadrian's Wall. Yeah.
448500	453500	And the emperor in that story, Septimius Severus, was himself from North Africa,
453500	457500	born in what is modern day Libya. His wife was Syrian.
457500	461500	And this is a surviving image of the imperial family from the time.
461500	467500	The real historical revisionism here is pretending that the Roman Empire was exclusively white,
467500	472500	and also somehow homogenous with other apparently exclusively white societies,
472500	476500	that it was in the process of invading and conquering.
476500	478500	I mean, that doesn't make any sense.
478500	482500	So, were there black Romans? Yes, there were.
482500	488500	Next up, let's talk about that Doctor Who episode that showed a black Victorian soldier.
488500	492500	Now, it's quite interesting, this. As we can see from doing a little research about it,
492500	497500	Mark Gatiss, one of the writers of Doctor Who, initially protested against the casting.
497500	499500	And quoting from the telegraph here,
499500	505500	it was only after he discovered records showing that there was in fact a single black soldier in Victoria's army
505500	507500	that he accepted the decision.
507500	510500	Gatiss told how he decided to research the issue,
510500	516500	and came across the story of Jimmy Durham, a Sudanese boy who was rescued from the River Nile in 1886,
516500	520500	and brought up by soldiers of the Durham Light Infantry Regiment.
520500	527500	However, whether or not there is actual historical precedent for portraying a black Victorian soldier
527500	532500	isn't really the most pressing issue here if we're aiming for historical accuracy.
532500	537500	Because the episode of Doctor Who that features the character of the black Victorian soldier
537500	544500	has him fighting a war against a race of reptilian men called the Ice Warriors on Mars.
544500	547500	So much for historical accuracy, eh?
547500	554500	We all remember, don't we, when Queen Victoria sent an attachment of troops to Mars to fight the Ice Warriors.
554500	559500	What a betrayal of their memory to pretend it wasn't exclusively white men
559500	563500	who lost their lives in the Martian Icemen Wars,
563500	567500	you know, writing Europeans out of their own history, honestly.
567500	573500	Now, a similar point can be made for that depiction of a black Lancelot in the show Once Upon a Time,
573500	579500	which appears to be some sort of Shrek-esque, what-if-all-the-fairy-tales-but-at-once type story.
579500	583500	For example, the show also includes Anna and Elsa from Frozen,
583500	586500	Ariel from The Little Mermaid, Cruella de Vil.
586500	591500	That's such a good name. Cruella de Vil. It's amazing.
591500	594500	So this is hardly a historical documentary, is it?
594500	599500	You know, and Lancelot wasn't real. Remember, he's a fictional character.
599500	603500	Regardless, is there precedent for a black Arthurian knight?
603500	609500	Yes, as it turns out, Morian is the Moorish son of Ser Aglowveil,
609500	611500	one of the knights of the Round Table.
611500	615500	And the 13th century story he appears in describes him as
615500	620500	black of face and limb, and also says that his teeth were white as chalk,
