start	end	text
0	1800	Hello, everyone.
1800	6980	This video is a follow-up to a recent video of mine about a dreadful transphobic article
6980	10060	published by the BBC on their website.
10060	14280	If you haven't seen that video, I'd encourage you to watch that one first to get caught
14280	15280	up.
15280	19280	It isn't very long, and I'll include a link to it below in the video description.
19280	22980	Right, so, welcome to round two.
22980	28080	Following on directly from that last video, the BBC have been sending out responses to
28080	30960	the various complaints people made about the article.
30960	35280	I posted on Twitter asking people to share with me the text of their complaints and also
35280	40220	the BBC response, which a very large number of people did, and I'd like to say thank
40220	43260	you very much to everyone who took the time to share that with me.
43260	44860	It was very useful.
44860	50960	So the BBC have so far been sending out two responses, both of which are predictably utterly
50960	52140	rubbish.
52140	56580	The first response is a general defence of the article, its aims, and in particular its
56580	61040	inclusion of the Get the L Out survey, and this appears to have been sent en masse in
61040	67280	response to a variety of different complaints, but in particular ones that focus on the survey.
67280	72100	The second response, which I and many others received, is a defence of the author of the
72100	75020	article choosing not to include Chelsea Poe.
75020	80020	Now this is inadequate because my complaint was not that the article did not include Chelsea
80020	84980	Poe, it was that the author of the article interviewed Chelsea Poe and then lied that
84980	86480	she did not.
86480	91640	So we're going to read these two responses, identify the places where the BBC is deliberately
91640	96380	missing the point, and then discuss how we're going to escalate this.
96380	100420	The first response opens by saying that they've received feedback from people who have found
100420	105260	the article challenging, as if it's some work of genius we just haven't comprehended
105260	109220	yet instead of vile discriminatory hate speech.
109220	113280	It then says that the article was carefully considered before publication and went through
113280	115820	an internal editorial review process.
115820	121380	Now this is not a defence of the article, it is a condemnation of their editorial review
121380	122600	process.
122600	128140	Do the BBC expect us to believe that this article was carefully reviewed before publication,
128140	133940	but that nobody noticed the multiple quotes from an enormous photograph of the rapist
133940	138980	in the middle of the article, who they later had to cut from the article?
138980	144140	Either the review process didn't catch Lily Cade's inclusion, or they didn't care,
144140	148860	either one of which means their review process is not fit for purpose.
148860	153700	The response then moves on to defend the inclusion of the Get The L Out survey, saying,
153700	157140	It's been argued by some people that the article is flawed because it's based on
157140	159060	a survey of 80 people.
159060	163300	However, the article itself states there is little research in this area, that the survey
163300	167980	featured was conducted on social media and is therefore self-selecting, and that even
167980	172180	the author of the survey admits it may not be a representative sample.
172180	174220	Now the issue with this is twofold.
174220	178900	Firstly, although it begins with the word however, the second sentence here does not
178900	180600	contradict the first.
180600	185980	The charge is that the survey is biased and flawed, and the BBC responses to say we know,
185980	187860	but we admitted that.
187860	190220	Now that's not an answer.
190220	194600	The fact that there is quote little research in this area doesn't give you a green light
194600	199420	to base your arguments on bad research, even if you admit it's bad.
199420	204700	There could be little research in this area because the area in question is a foundationless
204700	208180	moral panic invented by hate groups.
208180	213700	The other issue here is that the BBC is not mentioning the transphobia, the bigotry, the
213700	215940	discrimination in the survey.
215940	220160	It is pretending that all complaints about the survey have been because it is of strictly
220160	225900	poor academic quality, which it is, but that isn't the main problem with it.
225900	230700	The survey deliberately and repeatedly refuses to gender trans people correctly.
230700	236960	It approvingly includes the quote, all transsexuals rape women's bodies, and states in reference
236960	241220	to this quote that this analysis remains as relevant as ever.
241220	245760	So when the response goes on to say that furthermore, there is a link to the details of the findings
245760	249220	of the survey in the article, that's worse than not linking to it.
249220	250820	I hope you understand.
250820	253740	This open hate speech is linked in the article.
253740	256660	It's just a click away from the BBC website.
256660	262580	The rest of the response deals with impartiality, saying we have a strong commitment to impartiality,
262580	267780	which means we constantly consider and evaluate which stories to cover and how.
267780	273740	Impartiality is fundamental and includes covering stories on any point of the spectrum of debate.
273740	277660	Now this impartiality talk is quite revealing.
277660	282780	First off here, if we look at the BBC's editorial guidelines in the section Impartiality and
282820	288660	Racism, the first heading in that section reads in big bold letters, the BBC is not
288660	295380	impartial on racism and it calls opposition to racism a fundamental democratic principle.
295380	302260	So let's say a racist group in the UK, patriotic alternative we'll imagine, puts out a self
302260	308500	selecting survey of its social media followers and asks them their thoughts about immigrants.
308500	313980	And then let's say they pepper their findings with quotes referring to immigrants as rapists.
313980	318620	Would the BBC approvingly share and link to that survey?
318620	321180	No, it wouldn't.
321180	322820	Hopefully not anyway.
322820	328820	The BBC would say, this is obvious racist hate speech put out by a clearly biased group
328820	334740	clumsily dressed up as an academic study and we will not share it because the BBC is not
334740	337640	impartial on racism.
337640	340200	Racism is not to be debated.
340200	345200	When it comes to trans issues, however, the BBC has done the exact equivalent of the scenario
345200	346680	I just described.
346680	349280	They treat trans rights as a debate.
349280	355080	They are giving a platform to groups who want to take away rights that trans people already have.
355080	360600	In casting this as a debate with legitimate opposing sides, in declaring that trans rights
360600	366600	are something one can be impartial about, the BBC are making a political statement here,
366600	370280	regardless of any pretense of journalistic neutrality.
370280	375080	They're saying trans rights are up for debate and groups that want to discriminate against
375080	380480	trans people, that want to take rights away from trans people, they deserve access to
380480	382100	our platform.
382100	386360	But let's put a pin in that for now and move on to talk about the second response, the
386360	391120	one that deals with the author's lie about no high profile trans women wanting to talk
391120	392120	to her.
392120	393320	And this starts out...
422120	429120	Now, this is what the complaint was actually about, this particular lie.
429120	430560	The original article states...
438960	443860	So, high profile trans women who have either written or spoken about sex and relationships
443860	446560	is the definition we're concerned with here.
446600	452160	Now, Chelsea Poe is a trans woman, she was interviewed by the author of the article,
452160	456040	this is beyond dispute, the BBC have admitted to that.
456040	461500	Chelsea Poe has spoken about sex and relationships in various interviews in a range of different
461500	465000	media outlets, this is also beyond dispute.
465000	470000	The BBC's argument, therefore, hinges solely on the term high profile.
470000	471000	They say...
476840	482840	In a vacuum, okay, high profile is open to debate, but within the context of the article,
482840	484520	it is absolutely not.
484520	489640	Firstly, Chelsea Poe was high profile enough to be contacted and actually interviewed for
489640	491860	the article in the first place.
491860	496480	Why would they bother doing that if she then wasn't high profile enough to include in the
496480	497480	piece?
497480	499000	That doesn't make sense.
499000	503640	Secondly, the article includes examples of trans women who the author of the article
503640	505920	does feel are high profile.
505920	506920	It says...
516080	520920	Now, one of the people quoted here is a YouTuber with less than 10,000 subscribers, speaking
520920	525840	in a video posted seven years ago that's had about 10,000 views.
