start	end	text
0	6800	Hello everyone. This is a video about group bias, that is the tendency of humans to form in-groups
6800	12800	with people we assume to be like ourselves in some way, and out-groups of people we assume are different.
12800	18600	It's also a video examining another video, one by YouTuber BlackPigeonSpeaks, titled
18600	23600	Harvard Diversity Plus Proximity Equals Republican Voters.
23600	27600	That's novel, eh? A video responding to another video.
27800	35200	I predict that this response video, which I've just invented right now, will be the hot new trend of 2019.
35200	37400	Right then, BlackPigeon's video.
37400	44200	As always, I'd suggest that you go and watch that video first, and I'll include a link below for anyone inclined.
44200	49200	However, for anyone who would not like to hear BlackPigeonSpeak, which is fair enough to be honest,
49200	51600	I'll here summarize his argument.
51600	57000	So, BlackPigeonSpeak starts out by recounting the so-called conventional wisdom that says
57000	63400	demographic changes will make it harder, if not impossible, for Republicans to win elections in the United States,
63400	66400	leading to Democratic control of government.
66400	69800	However, do not fret, all you Republicans out there.
69800	72600	BlackPigeon then introduces a study.
72600	77800	Well, actually, before he gets to the study, he waffles about Bernie Sanders and AOC for a while,
77800	81400	even though they have nothing to do with anything he's talking about, but
81800	84800	whatever, we'll be charitable and not dwell on that.
84800	92800	So, okay, he then introduces the study, which is causal effect of intergroup contact on exclusionary attitudes by Ryan D. Enos.
93200	96000	BlackPigeon calls this a new study, but it isn't, really.
96000	102800	It was released more than four years before BlackPigeon's video talking about it, but again, that's a nitpick.
102800	106000	Now, BlackPigeon claims that the study shows that, quote,
106000	111000	"...the liberal resolve of affluent Democrats can be completely and utterly dissolved
111000	116000	when racially or ethnically charged issues like neighborhood integration are at stake."
116000	122800	He also introduces a book by the author of the study, that being The Space Between Us, published in 2017.
123200	129200	As BlackPigeon is introducing this book, he shows a graphic of a hammer and sickle with an American flag pattern.
129600	132000	And... why does he do this?
132400	137400	I have no idea. Go and watch it. It's got nothing to do with anything he's talking about. It's great.
138200	139800	Answers on a postcard, please.
140200	145800	BlackPigeon is getting his information from both the study and the book from a New York Times article entitled
146200	151200	How Much Can Democrats Count on Suburban Liberals? by Thomas B. Edsel.
151400	155400	Now, reading out this article forms the basis of BlackPigeon's video script.
155400	160400	He just changes the phrasing slightly here and there to make it slightly less obvious he's copying.
160800	165600	So, let's quote this article directly now and find out about the study in question.
165600	166600	And I quote,
