start	end	text
0	5800	Hello, everyone. Today, I'd like to take a look at a video from a YouTuber by the name of Roaming Millennial,
5800	9300	entitled, People of Color, You Are Not Oppressed.
9300	11300	And wouldn't that be nice?
11300	18000	That's right, new subscribers from the Cuphead video. I usually talk about politics, and history, and all that boring stuff.
18000	21000	I feel the need to apologize here.
21000	25500	Okay, so for everyone else who is still with us, who is Roaming Millennial?
25500	30500	Well, she's one of the YouTubers in the, I'm not a racist, but, vein.
30500	39500	You know, so she's not a racist, okay, acknowledged she's not a racist, but she's got a few questions, you know.
39500	44500	So I'm gonna do my good deed for the day here, and provide the answers to those questions.
44500	48500	Just one YouTuber helping another YouTuber out.
48500	51500	So what is Roaming Millennial's video about?
51500	55500	Well, I would encourage you to watch the whole thing, and I'll put a link in the description.
55500	59500	But I'll show a couple of short clips here, just to get us started off.
59500	65500	So in this video, in the hopes of healing this headache of imaginary oppression that is going around the social justice sphere,
65500	67500	we're gonna be talking all about oppression.
67500	71500	What it means to be oppressed, and how in the United States, and in the rest of the Western world,
71500	73500	no, people of color, you are not oppressed.
73500	76500	So to start, let's go over the definition of oppression.
76500	81500	And yes, I know this is super super basic, but after hearing those students protest,
81500	85500	I really do feel that cracking a dictionary open is necessary.
85500	90500	So the definition of oppression is really quite simply prolonged cruel or unjust treatment or control.
90500	94500	Now with this definition, I think it is perfectly clear to say that in the past, people of color,
94500	100500	and more specifically, African American people, were oppressed by societies in the United States, and the West in general.
100500	101500	I'm not gonna argue against that.
101500	106500	However, the issue here is that these Evergreen students and so many social justice warriors out there
106500	111500	are not just arguing for the idea of past oppression, but for current and ongoing oppression.
111500	115500	And really, that is just a completely inaccurate analysis of the world that we live in.
115500	120500	Obviously, in the United States, there are no legal rights that a white person possesses that a non-white person does not,
120500	124500	and there are no laws on the books that reference an individual's race in any way, right?
124500	129500	I mean, our legal system, our entire system of government is not one that is racially coded.
129500	133500	Okay, so here's the main thrust of Roaming Millennial's argument.
133500	139500	Oppression may have happened in the past, and that's good, she concedes that much at least,
139500	145500	but today, we have legal equality, so that means oppression is not happening at all.
145500	150500	Now the first mistake she's made here is a rather basic one, and it's one you see a lot online.
150500	153500	Roaming Millennial is only considering legality.
153500	158500	She showed the dictionary definition of oppression, prolonged cruel or unjust treatment or control,
