start	end	text
0	1360	Hello, everyone.
1360	6160	On the 28th of July, journalist and author Laurie Penny shared a tweet thread
6160	13040	critical of transphobic hate group the LGB Alliance for sharing explicitly antisemitic material.
13040	19200	Laurie Penny refers to this as the intersection of antisemitism and transmisogyny.
19200	24560	Now, fantasy and sci-fi author Neil Gaiman responded to this tweet by saying,
25520	28320	And he's right, it isn't.
28320	34000	You know, if the sole reason an organization exists is to be bigoted towards one group,
34000	38240	it isn't very surprising that they'd also be bigoted towards another group.
38240	43360	Gaiman's comment, of course, saw dozens of angry, outraged replies from transphobes
43360	46480	accusing him of all sorts of silly things,
46480	51760	one of whom speculated that Gaiman's friend and co-author, the late Terry Pratchett,
51760	55280	must have been behind the good parts of Gaiman's writing.
55280	60160	And this set off some discussion about what Terry Pratchett would think about the trans
60160	64880	enormous air quotes debate if he were still alive today.
64880	70800	Now, I like the one user here who says Margaret Atwood's support for trans people was a shock,
70800	72640	which seems very bizarre.
72640	77600	Atwood's best-known work is set in a dystopia where womanhood is strictly tied
77600	80880	to the functioning of female reproductive systems,
80960	85120	handmaids who can't get pregnant are considered to be un-women.
85120	88160	You know, what were they expecting here after reading that?
88160	91520	Maybe they thought it was a utopian novel, who knows?
92080	94560	Anyway, on the 31st of July,
94560	100720	Rhianna Pratchett, daughter of Terry Pratchett, weighed in by responding to the following tweet.
100720	107840	I note that having not got over Atwood's betrayal, the GCs, GC standing for gender critical there,
107840	110880	are trying to recruit Terry Pratchett posthumously,
110880	114080	presumably because they know he can't contradict them.
114080	115760	And Rhianna Pratchett says,
122960	127200	And Neil Gaiman expressed support for this tweet in another of his own.
127760	132160	So the battle lines are drawn over what Terry Pratchett would think.
132160	135760	On the one hand, we have his close friends and family members,
135760	139600	and on the other we have some random transphobes on Twitter.
139600	143760	I wonder who's going to have the more accurate assessment of his character.
143760	145760	There's just no way to know.
146400	150240	And it sounds absurd, but journalist, I suppose,
150240	155280	Sarah Dittom took this exact line of argument in an article for the Times titled
155280	158640	You Can't Hijack the Dead for Today's Battles.
158640	163760	It's absurd for either trans activists or gender critical feminists to claim
163760	166160	that Terry Pratchett would have supported them.
181200	186480	So Dittom relays the argument, including Rhianna Pratchett's statement on the issue,
186480	190400	which should be the end of it, really, before going on to say,
190400	195680	But some other people probably think Pratchett might have been a transphobe,
195680	199360	so who knows? There's just no way to know.
199360	203280	Now, my favorite part of this article is the following passage.
220880	224320	Now, this is a particularly weird comparison, isn't it?
224320	230240	Woodhouse died in 1975, and Jane Austen died in 1817,
230240	234240	whereas Terry Pratchett died six years ago.
234240	240080	Unless Dittom is claiming that trans people only became a thing within the last couple of years,
240080	245360	this insisting that Pratchett couldn't have possibly had any opinions on trans issues
245360	247360	is truly bizarre.
247440	252240	Now, if the gender critical crowd had anything at all here,
252240	256400	anything to go on that suggests that Pratchett would have been on their side,
256400	258480	they would be on the attack right now.
258480	262480	They're not usually known for their timidity in such matters.
262480	267840	Sarah Dittom's both sides are wrong position is actually a hasty retreat.
267840	274400	It's a signal to please stop pushing the Terry Pratchett thing because it's a losing battle for us.
274400	278400	The transphobes accidentally opened up a losing front.
278400	281280	Pratchett was an immensely popular author.
281280	284080	Lots of famous people knew him personally.
284080	288080	There's stories being posted about his support for trans people.
288080	292000	His family and colleagues are stating he was not a transphobe,
292000	296560	and there's been a surge of interest in the trans themes in his novels.
296560	299280	So now Sarah Dittom is hastily like,
299280	301120	Oh no, less of that, please.
301120	305440	Terry Pratchett's been dead for like 200 years or something, right?
305440	308640	Let's stop with all this wild speculation.
308640	312160	Now, I confess I am not actually all that interested
312160	316960	in the non-debate over what Terry Pratchett would think if he were alive.
