start	end	text
0	3080	Hello, I'm not legendary game designer Lorne Lanning,
3080	5660	so I don't know why you're wasting your time here.
5660	7160	But, hey, while I've got you,
7160	10660	I recently passed 100,000 subscribers on YouTube.com,
10660	13200	and after three months and one official complaint
13200	14500	to YouTube management,
14500	16540	my plaque finally arrived to confirm it.
16540	18420	Anyway, it seems to be customary for YouTubers
18420	20160	to do some sort of Q&A video
20160	22160	when they hit a certain amount of subscribers,
22160	23660	and I love answering questions.
23660	25620	I love discussing stuff.
25620	27780	Uh, so I really felt like I should do one of those.
27820	29360	I put out a thing, uh, months ago
29360	31100	asking people to provide questions
31100	33100	that they thought would be good for this sort of thing,
33100	34940	and I also held back a couple of questions
34940	35900	that I got on Curious Cat
35900	37640	I thought would be worth answering on video.
37640	41400	So, uh, we're gonna do that now.
41400	42780	How old are you?
42780	45780	Okay, I actually, um, made, like, little bits of notes
45780	47440	next to some of the questions that I thought,
47440	49780	oh, I might forget this when I'm actually recording it,
49780	51860	and for some reason, in brackets, I put,
51860	53780	it's 25 here.
53780	56140	I'm not really sure why I did that.
56220	58760	I must have very low expectations of myself.
58760	61680	Anyway, yeah, I'm 25.
61680	67500	I've kind of looked like I was 14 for most of my life.
67500	70580	My hairline has always been this far receded,
70580	71920	so you can't make fun of it
71920	73540	because I'm comfortable with this.
73540	77260	I fully expect to go bald within the next three to six months.
77260	78620	I can't wait, to be honest.
78620	81460	You know, I've never really cared about my appearance,
81460	85500	as you can tell from just the way I dress and look.
85540	87740	You can't let yourself care about your appearance
87740	90500	when you look like me. It would destroy me.
90500	92200	So I've always kind of just messed with my hair.
92200	96000	I've always kind of grown it out super long for no reason
96000	99580	and then shaved it all off just to see what would happen.
99580	102700	Usually, it's looked rubbish, but I've never really cared.
102700	108540	One time, I dyed my hair, like, really, really yellowy blonde
108540	112740	for a video that I ended up deciding wasn't worth making,
112740	115240	and the time for it has passed.
115240	120860	It was a music video starring me as Milo Yiannopoulos.
120860	123640	It's probably the most extravagant thing I'd ever done,
123640	126860	and I dyed my hair for it, and it had to grow out,
126860	131480	so it was like eight months of awful hair
131480	133820	for a piece that I decided to not make.
133820	136360	So if you're wondering why my hair was awful
136360	140600	for a long stretch of last year and this year, that was why.
140600	142240	I actually made it with two other friends.
142240	144100	One of them was the musician who composed a bunch of it,
144100	145380	and the other one sort of helped out on set
145380	147380	when we were shooting it,
147380	149340	and that guy also had a camcorder
149340	151560	and was filming the whole process,
151560	153640	including me dyeing my hair, so there's, like, a good...
153640	156760	There's a good two-hour rubbish documentary
156760	160380	about the hijinks that we got up to attempting
160380	162600	to make this thing that I ended up never finishing.
162600	164800	It looks like it's working.
164800	165800	I can feel something happening,
165800	168800	but I can also see my skin getting kind of reddish.
168800	170300	Maybe I should edit that together for patrons.
170300	171720	That would be a fun thing to do. Let me know.
171720	173560	Anyway, I'm done hijacking that question
173560	175260	and to ramble about my hair now, so let's move on.
175260	179060	What's your favorite piece of fan fiction of any kind ever?
179060	181420	You specified of any kind,
181420	183340	which means I get to take wild leaps,
183340	184920	so nice one there.
184920	188680	My personal favorite fan fiction ever
188680	191800	is a film that came out in 2014 called The Guest.
191800	193060	The Guest is really, really good, by the way.
193060	194640	You should watch it. It's really, really good.
194640	197760	Dan Stevens, amazing in it.
197760	199520	British people represent.
199520	202220	That film is very clearly
202220	205600	Chris Evans-era
205600	207300	Captain America fan fiction.
207300	210440	It is very deliberately a guy on the run
210440	214220	from a S.H.I.E.L.D.-style organization
214220	217440	trying to be a good person, live his own life in a world
217440	220440	that no longer suits him.
220440	222220	The serial numbers have been filed off,
222220	224800	but there is a very clear S.H.I.E.L.D.-type organization.
224800	226680	I mean, it might not actually be at all.
226680	229180	There might not have been anyone's plan whatsoever,
229220	230680	and I've just read into the film.
230680	232300	It wouldn't be the first time,
232300	235600	but for me, it's just a really, really good film,
235600	237300	and it has enough little things in there
237300	240220	that it qualifies as this kind of rumination
240220	242600	on the kind of super soldier
242600	244920	that Captain America is in the more recent films,
244920	246680	and I think that's kind of interesting.
246680	247880	It's also just a really good film.
247880	250180	I am now, however, going to give my favorite fan fiction
250180	252220	that's an actual fan fiction
252220	255220	so that I've actually answered the question properly.
255220	257500	As for my favorite piece of actual fan fiction,
257500	259040	you have to go with My Immortal.
259040	260820	It's really funny.
260820	265280	It's definitely a parody of other fan fictions
265280	268360	and the fights that happen when people collaborate on them.
268360	270440	It's definitely a parody.
270440	273980	I—if you don't agree that's a lie, it's not true.
273980	275200	I'll see you in hell.
275200	277360	It's—it's good, and it's funny.
277360	279160	This next one's a long one.
279160	280400	Great.
280400	282660	Could you recommend some good social sciences literature
282660	284200	for beginners or other literature
284200	285820	that has influenced you the most?
285820	287240	I'd love to be as articulate and good
287240	288780	at critical thinking as you.
288820	289980	That won't be too hard.
289980	291680	Many of my acquaintances are right-leaning
291680	294400	and pretty racist, sexist, homophobic, et cetera.
294400	295900	Still, I feel like I could easily give them
295900	297740	a bit of perspective if I only had enough knowledge
297740	299140	and good argumentative skills.
299140	301220	People have asked me for reading lists quite often.
301220	303480	This is kind of a question that I held back
303480	305720	because it's emblematic of a lot of questions I get.
305720	307020	If I were to come up with, like, a list,
307020	308640	it would just be just a lot of books
308640	310020	from a variety of different categories
310020	312020	because quite often something really simple
312020	314520	that isn't really about any particular issue
314520	316320	informs your perspective a lot,
316360	319020	even though it's not even covering it.
319020	322680	So rather than, like, just give you a list
322680	324640	of all the books I happen to have read
324640	328100	or pretend that I'm educated enough
328100	330400	to know how to construct a reading list for someone else,
330400	333560	I'm just gonna give some general broad strokes
334400	338280	sort of recommendations for how to educate yourself
338280	339860	and then give some actual recommendations.
339860	341560	So I think I would first recommend
341560	343820	looking at the basic ideas
343820	345720	that underlie any particular social science.
345720	349220	So, like, psychology, sociology,
349220	351620	the other humanities, you know, the rest,
351620	352760	whatever you want to call them,
352760	356580	they exist for a reason to study a specific thing
356580	358960	and they usually have some kind of specific goal in mind.
358960	363200	So, like, psychology is the study of human behavior
363200	365200	but also has the kind of goal
365200	368120	of making people more healthy.
368120	370200	I once read this little tiny book
370200	371440	from years and years and years ago,
371440	372280	it was really old,
372280	374500	called Psychoanalysis for Normal People
374500	376980	and it opened with a statement that said,
376980	378180	what's the effect of,
378180	379740	the purpose of psychoanalysis
379740	383300	is to make you ready for anything, something like that.
383300	385020	That, to me, was this sort of,
385020	387220	aha, you know, this is why we do this.
387220	389940	It's not just, ah, we're checking to see what would happen
389940	391820	if you lock people up in a fake prison.
391820	394580	It's we're trying to learn how we behave
394580	397780	in different contexts so that we can better understand
397780	401140	contexts we can create that enhance human behavior.
401140	403400	You know, can we educate ourselves out
403440	405280	of certain behaviors that we exhibit?
406200	407760	I'd basically recommend you go to the source,
407760	411160	look up the reasoning behind why a field of study exists.
411160	414800	Like, why do people do psychiatry or psychology
