start	end	text
0	2680	♪♪
2680	6280	♪♪
6280	10160	Greetings, fellow Antifa super-soldiers.
10160	15220	It's me, Harris Bomberguy, official spokesman for the radical left.
15220	21320	Well, I'm right up there, behind, uh, Mark Hamill and a catgirl.
21320	25800	I'm here to bring you an important announcement regarding the official leftist diet plan,
25800	28240	which, as you know, we have.
28240	32880	The original smash-the-state diet plan recommends numerous soy products,
32880	38600	but thanks to the work of rigorous journalist and intellectual powerhouse Paul Joseph Watson,
38600	42200	it turns out that soy might be bad for you?
42200	45240	That's huge, if it turns out to be true!
45240	51640	Is soy food consumption turning men into pussies and making them more likely to adopt left-wing beliefs?
51640	54480	Soybeans contain high amounts of phytoestrogens.
54480	57560	This reduces testosterone and lowers male sperm count.
57560	63000	There seems to be an even closer correlation between male feminist virtue-signalers,
63000	66400	who defend Muslim refugees, and their soy fetish.
66400	70240	What is it about soy that turns men into such spineless wimps?
70240	76520	A full investigation at Antifa headquarters, which exists,
76520	81240	is underway to determine if the soy diet is a product of fascist subversion.
81240	86280	Please refrain from consuming soy products until further notice.
86280	87000	Nailed it.
87000	90960	And thanks to further investigation by Paul Joseph Watson's enlightened fanbase,
90960	93760	you might also want to hold off on drinking...
93760	94760	water.
98640	103560	In the meantime, we'd better watch more of Paul's content to find out what foods he recommends in its place.
103560	105560	Roll the clip, Jeremy!
105560	108200	Every morning before I start writing or shooting a video,
108200	112800	I take two capsules of Brain Force for a sustainable burst of energy.
112800	117320	This is, without question, the most powerful nootropic I've ever taken.
117320	121440	These statements have not been evaluated by the Food and Drug Administration.
121440	125680	Get your Brain Force Plus at InfoWarsLife.com.
125680	131760	The all-new, supercharged Brain Force Plus, because there's a war on for your mind.
131760	136600	Top scientists and researchers agree we are being hit by toxic weapons
136600	141240	in the food and water supply that are making us fat, sick, and stupid.
141280	142280	AAAAAAAH!
143920	147680	Ah, well, we can't find any top scientists or researchers who say this,
147680	152240	and Labdor in San Francisco has tested the supplements and found their effects to be massively lacking
152240	156200	and also to be hugely overpriced compared to the same pills sold elsewhere.
156200	159240	Almost as if InfoWars is a giant scam for money.
159240	165440	But that's what you would get if you trusted the soy-entists at Soy-Fran-Soy-Sco.
165440	169920	Let's turn instead to the unbiased internet for a second opinion.
169920	174000	I bought this stuff because Alex told me this would help me turn the corner mentally,
174000	175360	but it hasn't really worked.
175360	179440	I just get all jittery, I can't sit still, and then I pass out without accomplishing anything.
179440	184600	The real conspiracy is Jones' garbage products that he sells to ignorant people that believe his lies.
184600	188680	I used to be one of them, but not after my horrible experience with Brain Force.
188680	192880	When I took Brain Force, I thought I was going to have a heart attack, and then the diarrhea started.
192880	196480	I tried to return the product, but they were rude and ignored me.
196480	201160	By all of these accounts, Brain Force fails to establish itself as a quality nootropic supplement.
201160	204560	They cut their one useful ingredient with cheap stimulants and sedatives
204560	206760	that are neither considered healthy nor effective.
206760	210600	Alex Jones and InfoWars both have an extremely negative reputation
210600	213680	within the scientific, medical, and business worlds,
213680	216800	and their products are considered low quality in general.
216800	217600	Pfft.
217600	221200	Lastly, the vast majority of their previous users have negative things to say
221200	223080	about their experiences with the product.
223080	225520	There is no better judge of how effective a supplement can be
225520	227440	than the results it gets from normal people,
227440	230680	and they largely have not had positive things to say about its effects.
230680	233560	How does Brain Force compare to similar nootropics?
233560	235240	Well, um...
236400	237240	Uh...
237240	241640	But of course, there's no reason to trust Richard at dietsinreview.com.
241640	245160	After all, for all we know, he could be using, uh...
245160	248560	science to determine the effects of these supplements.
248560	251200	And science is known to be a tool of the establishment,
251200	254680	run purely by leftists and water drinkers,
254680	255840	or as I like to call them,
255840	257520	fluoride fops.
257520	259880	It's alliterative so that my less intelligent fans
259880	262520	will remember what I'm talking about when the video's ended.
262520	264360	So I wouldn't trust that website either.
264360	267440	No, all we need to do to find out what we're putting into our bodies
267440	269360	is to look at the ingredients section.
270240	273640	So, using our heads, we can determine that instead of soy,
273640	276120	we're just getting pure, unadulterated...
276120	282560	[♪ Dramatic music ♪ and singing from the video ♪
282560	285440	I think I might be getting a few mixed messages here, Paul.
285440	289080	It's additive-free, nothing artificial.
