start	end	text
0	5380	♪♪
5380	8580	♪♪
8580	10080	Ah-ha-ha-ha!
10080	12960	Don't worry. Vaccines are perfectly safe.
12960	16300	According to me, you might notice a little prick.
16300	17640	Ah-ha-ha-ha!
17640	19100	Ah-ha-ha-ha!
19100	20520	Ah-ha!
20520	21400	Ugh.
21400	22940	Hello, and welcome back to hell.
22940	25060	I'm just vaccinating my profiteroles,
25060	27140	immunizing them against the horrendous disease
27140	29140	known only as not-enough-cream,
29160	30840	itis.
30840	32840	Unfortunately, while vaccines are great
32840	34460	at stimulating my balls,
34460	37220	in humans, they've become quite the controversial topic.
37220	39300	In the late 90s, an anti-vaccine movement
39300	40520	started to pick up steam,
40520	42220	claiming that they cause autism.
42220	44480	And the movement has plenty of washed-up celebrities
44480	46400	flushing it, including What's-His-Name
46400	47600	and that one
47600	48780	and some more.
48780	51060	Here's 45th President of the United States,
51060	53700	Donald Trump, coming out against...medicine.
53700	55360	He once famously tweet,
55380	57300	No more massive injections.
57300	59260	Tiny children are not horses.
59260	60520	I mean, of course they aren't.
60520	62220	Horses aren't even real.
62220	64260	But if there's an entire movement of people
64260	67520	with documentaries and websites and Facebook pages
67520	69820	with thousands and thousands of members
69820	72520	backed by the former U.S. president,
72520	74320	why does everyone else seem to think
74320	75520	they're obviously wrong?
75520	77700	Has the mainstream medical establishment
77700	79940	science-cucked a majority of people
79940	80980	into thinking they're safe
80980	82860	so they can keep making money selling them?
82860	84940	The vaccine debate is complex
84940	86060	and multilayered
86060	88600	and hasn't been resolved for over two decades.
88600	91060	So obviously it needs me to come and put an end to it
91060	93320	in the space of a single YouTube video
93320	94900	by doing what I'm best at,
94900	97320	destroying things with my mouth.
97320	98440	Oh!
98440	100020	Oh!
100020	101100	Oh!
101100	102140	Mm!
102140	104060	Oh!
104060	105480	Oh, hi, Mum.
105480	108480	Was I vaccinated?
108480	113320	Have you been looking into moving out lately, son?
113400	114400	Mm.
116400	118320	Now, the clever clogs among you
118320	120320	will know that there was an anti-vaccine movement
120320	123060	of sorts in the 1800s when they were first introduced,
123060	126200	but that movement died out on its own a long time ago.
126200	127200	Oh, smallpox.
