start	end	text
0	2840	I'm going to go out of my way for once and talk about something positive.
2840	5540	I'm going to talk about a game I really, really like.
5540	8740	I'm going to talk about Bloodborne, and why it's amazing.
8740	11420	["Bloodborne Theme Song"]
11420	16720	["Bloodborne Theme Song Fades Out"]
16720	22260	["Bloodborne Theme Song Fades In"]
22260	25180	Okay, to start off, we're going to have to establish a baseline, aren't we?
25180	28180	Bloodborne's amazing, but the Souls series has always been good.
28180	31480	Let's start by talking in basic terms about the core gameplay.
31480	36020	They are, when you boil it down, basically action games attempting to recreate the same sort of stuff
36020	38900	RPGs like Dungeons & Dragons were designed to simulate.
38900	42320	Adventures in magical lands with dungeons and or dragons.
42320	46460	They control in a vaguely similar way to other third-person action games like Devil May Cry,
46460	50040	or Drakengard, or Dynasty Warriors, or even The Legend of Zelda.
50040	55480	However, despite superficial resemblance, in practice, the games operate very differently from those.
55480	61620	All the games I just mentioned here have a focus on instantaneousness, fluidity, and flow or speed.
61620	64900	You press the button, and the character is immediately doing the thing.
64900	70500	Dante is doing the stabby, or the jumpy, or the flippy as soon as you press the button commanding him to do it.
70500	72000	He's such a good boy.
72000	76580	In lots of these games, you can even cancel a move you're currently doing into another move.
76580	80380	So if you realized you actually pressed the wrong button, you can get away with pressing the right one,
80380	83040	and Dante cleans up after your mistakes for you.
83040	85040	It's like McDonald's or Casual Sex.
85040	86500	It's... fine?
86500	88340	You know, like, it'll do?
88340	93080	But outside of higher difficulties, there's this sense of never really earning anything to me.
93080	97220	I hit the relevant button based on when it was clearly telegraphing that I should be doing it,
97220	98640	and then it happened instantly.
98640	100300	It's missing something.
100300	104720	The Souls games are theoretically similar, but choose such a different core design philosophy
104720	109260	that I bet some of you winced when I compared them to character action games the way I just did.
109260	113300	When you press the attack button in a Souls game, you've not just committed to an attack.
113300	118260	You've committed to the long, arduous process of signing the proper paperwork to get planning permission
118260	120380	to start to swing your sword.
120380	123100	You don't immediately see dividends on the button you pressed.
123100	125060	You have to wait for the attack to go off.
125060	128220	On top of that, instead of attacking and moving being an infinite resource,
128220	132060	you have a limited amount of stamina you can invest at any given time.
132060	135280	So you can't rely on mashing the attack and dodge buttons to get by.
135280	138580	And then, if you press the wrong button, you can't hit undo.
138580	141580	You can't cancel out of an attack into the roll you should have done.
141580	143340	You get stabbed instead.
143340	147540	This creates an immediate friction between you and what you want to achieve.
147540	149780	You can't just hit the button when you see an opening,
149780	152460	or dance around and wait until one gets handed to you.
152460	155820	You have to learn to prepare and observe the timing of your enemy,
155820	159020	and be able to know when to act instead of simply acting,
159020	163820	or use your limited stamina resource to create an opening by dodging an early attack.
163820	167260	This is the main reason why the series has always been a little bit divisive.
167260	171340	Its deliberateness puts it directly at odds with almost every other game of its type,
171340	176100	which strive to make actions as quick as possible and give the player tons of control and freedom.
176100	180060	However, it's for this same reason that you might find a Souls game more rewarding,
180060	183620	because there's a genuine sense of having earned a victory once you get it.
183620	185940	The tools you're given for victory are more limited.
185940	190940	You're never going to feel like a badass who can flip all over the place or dodge infinitely any time they need to.
190940	196260	But this makes winning with those more limited tools more satisfying and feel like a real achievement.
196260	202580	There is something on a core level fun about this kind of setup that you don't really get in many other types of game.
202580	205620	It also creates a much deeper appreciation for subtlety.
205620	211060	Each Devil May Cry game, for example, has a huge array of monsters with ridiculously cool-looking moves and stuff,
211060	214540	but there are so many on screen at a time, and it's so easy to actually deal with them,
214540	217020	that there's less of a weight to an encounter.
217020	222820	The game only starts feeling fun on really high difficulties when only a couple of those attacks would kill you,
222820	225900	and you suddenly have to take everything really seriously.
225900	231220	Meanwhile, just this one guy in Demon's Souls could, and generally usually does, kill me.
231620	235500	I've had to put more thought into dealing with the red-eyed knights in Demon's Souls,
235500	240460	or the black knights in Dark Souls, than basically every enemy in a Devil May Cry game put together.
240460	242300	It's just that much more engaging.
242300	247980	It makes every single encounter feel dense with prediction, timing, planning, and execution.
247980	252780	You have to almost consider the psychology of your opponent to know the right time before you get there,
252780	255820	and wait out the time it takes to do the thing you wanted to do,
255820	259820	until you finally discover if you were accurate and everything goes as planned.
259820	262060	There's something beautifully orgasmic to it.
262060	266460	It's like cooking something difficult for yourself and sitting down and realizing you made something good,
266460	267820	and now it's all yours.
267820	273660	Every sliver of health you take from someone's meter was earned through this delicate interplay.
273660	278060	It's so good, writing about it required me to do the thing game critics should never do,
278060	281420	and start using unfitting metaphors for food and or sex.
281420	285260	This stuff is hard to do well, and it really shows in games where it's done poorly.
285260	289260	As an object lesson in bad versions of this, check out Lords of the Fallen,
289260	293100	a game that was very clearly made by people who saw that Dark Souls was popular,
293100	295260	and wanted to make one of those,
295260	300220	but didn't quite figure out that it actually takes a lot of effort to make this kind of game fun.
300220	302780	I've beaten this game all the way through twice.
302780	304220	This game is terrible.
304220	308620	Even the basic sword weapon is so slow and deliberate that it becomes a chore.
308620	310620	There's no light running attack at all.
310620	313020	Your guy just stops dead in his tracks.
313020	318140	The controls are so slow and clunky that I was sure my computer was simply too slow to run it,
318140	320300	but no, this is just how the game moves.
320300	323180	There are fast weapons, but they never escape the damage curve,
323180	325740	and you're basically either pressing the button to immediately swing,
325740	327500	but dealing very little damage,
327500	330540	or dealing more but waiting days for something to connect.
330540	332940	I'm used to a weapon having a light attack, which is quicker,
332940	334620	and a heavy attack, which is slower.
334620	338140	When a weapon has a slow attack and an even slower attack,
338140	341100	the entire feel of the game is broken.
341100	343660	Great swords are basically impossible to use,
343660	347580	except, for some reason, the running heavy attack comes out really fast,
347580	349900	making it essentially the fastest move in the game.
349900	353580	This one move carried me until I discovered the broken shield bash mechanic.
358380	361020	I'm actually starting to worry about the fact I beat this game twice.
361020	362700	I think that says something about me.
362700	367420	Weapons in Dark Souls are balanced so well that you don't even notice until this aspect is missing.
367420	371100	But it isn't just these central principles of control that make the series fun.
371100	374940	What's more interesting is how the world tests your ability to use these mechanics,
374940	380060	and thereby create the very specific feeling of adventure they do better than any other series.
380060	383180	Let's take, for example, The Legend of Zelda Ocarina of Time.
383180	384220	Maybe you've heard of it.
384220	385420	It's a solid game.
