start	end	text
0	8240	Hello, true believers! In case you haven't noticed, it's been just over a full year
8240	12600	since I started making videos more frequently after getting sick of having a real job and
12600	18400	marketable skills. And to celebrate my one-year anniversary, ooh, uh, I'd like to take a
18400	20320	look back at that first thing I made.
20320	24880	I've always had a few criticisms of the Cultural Marxism video. It's very clear I'm poorly
24880	29820	mastering audio recorded on a Blue Yeti in a very echoey spare room. What was I thinking
29820	33820	with that hairstyle? And worst of all, I feel like I might have accidentally strawmanned
33820	37660	some people. I directly compared everyone who talked about Cultural Marxists to the
37660	42300	fascist literal Nazis who invented the term and the BNP youth who happened to include
42300	46140	them in their list that happened to include even more direct antisemitism. And that's
46140	49980	just not fair. Maybe I should go back and reassess some of these folks and see if there's
49980	52340	a little more nuance to their beliefs.
52340	55580	Let's check out the Golden One. What's he been up to these days? He made that video
55580	60740	about how the Cultural Marxists are teaming up with the leftist Beatas to destroy the
60740	66620	family using a sledgehammer and by demanding more medals. In April 2015, he's had even
66620	71500	longer to develop creatively and intellectually than I have. So let's give this bloke another
71500	73180	shot and see where his arguments have led him.
73180	84860	["Hymne to the Red Army"]
89500	90140	Oh!
94300	97660	So after checking out his more recent work, the throughline hasn't really progressed in
97660	101900	the year and change since his Cultural Marxism video. He's just got more overt about liking
101980	107340	fascism and nationalism and being an alpha and not liking the leftist Beatas and Jews.
107340	110860	Today I want to discuss the JQ, the Jewish question.
110860	115580	Okay, now let's be clear here, folks. Mr. The Golden doesn't hate Jews per se.
115580	119580	There is a large difference between the international Jewish community,
119580	123820	or AKA international Jewry, and the Jewish individual.
123820	127580	Oh, I see what he's going for here. He's not mad at individual Jews,
127580	133020	just the vague conspiracy he made up that he also targets explicitly for its Jewishness.
133020	136220	How could anyone confuse that with anti-Semitism?
136220	139740	Now a lot of mere mortals with a pleb-tier understanding of the world say like,
139740	143260	oh, Hitler hated Jews. Uh, no, he actually didn't.
143260	147740	The Golden One then goes on to elaborate by explaining how Hitler wasn't an anti-Semite
147740	152220	either and he was just doing the same th—oh. Oh, no.
153180	158460	Hitler's battle was against international Jewry, international finance.
158460	162540	That is what that was about. It was not some sort of ethnic hatred.
162540	165340	Yeah, I'm sure all this imagery the Nazi propaganda machine put out
165340	168700	actually has a really subtle point to make about international finance.
168700	171900	How could he possibly be racist if he's not against physical Jews,
171900	175900	but just the vague concept of bad people which he happens to keep calling Jews?
175900	180940	That's not racism. It just looks like it, and sounds like it, and definitely is.
