start	end	text
0	8000	Happy New Year, friends and allies! I got this Christmas present from my aunt, it's a party cannon for indoor-slash-outdoor use.
8000	13000	Well, we're between some amount of doors. I think you're supposed to twist it.
13000	16000	So, let's celebrate New Year together, for the Queen.
24000	27000	This is my... this is my duvet.
30000	31000	It's fucked.
32000	35000	Fuck it, we're gonna celebrate New Year's the old-fashioned way.
35000	42000	I recently had a Twitter poll of which of three videos I should make this December, and in addition to it being decided that I shouldn't talk about Lisa again,
42000	50000	it was decided that I should make a glorious return to my staple of explaining how and why Bethesda are a garbage company that is bad.
51000	59000	So, this is gonna be kind of a long thing, because the problem with Bethesda is actually a problem that's inherent to a lot of the problems with companies nowadays,
59000	64000	and their business practices, and in a way I'm talking about a much wider problem.
64000	70000	So this is gonna be a bit of a fucking slog, you know, I've gone with the Jimquisition technique of trying to, like, write well,
70000	81000	and put kind of... not all that relevant footage underneath it, because it's hard to, you know, elucidate this long-form point easily without taking years,
81000	87000	and this is a thing that happened recently, I want to address it in a timely fashion, and also I'm late for board games at a friend's house,
87000	90000	so we're gonna do it, it's gonna be like that.
90000	96000	So, strap yourselves in... oh, I should've got a strap, I should've got, like, a prop strap for this, and that...
96000	97000	One second...
98000	100000	Oh, that's right, fuckers, strap yourselves in!
100000	101000	I found a belt.
102000	105000	It's time to get sanctimonious about the future of the games industry.
108000	115000	My stance on Bethesda games is already well-known, but Mr. Softworks, if that IS his real name, well, actually, I guess it's Zenimax,
115000	119000	recently managed to sink to a level beyond simply remaking the previous Elder Scrolls game,
119000	125000	but worse, each time culminating in straight-up putting out the last game with better water textures and somehow more bugs?
125000	129000	All that stuff was obviously bad, you don't need anyone to point that out.
129000	134000	So when the multiplayer beta of Doom didn't do so well, and they decided not to send out review copies ahead of time,
134000	140000	citing that the multiplayer component of the latest in the famously multiplayer-component-having Doom franchise
140000	146000	was so important that they wanted critics to experience it in its actual release environment, I was hardly surprised.
146000	151000	It was very clear that it was just a flimsy justification for trying to ensure people buy the game
151000	154000	before critics have a chance to get a look at it and recommend otherwise.
154000	156000	Luckily, though, a miracle happened.
156000	164000	So it turns out there's this game developer called id Software that have been making good games for quite a while now,
164000	168000	and actually put a lot of time and effort into making the game,
168000	172000	and it was good, because Bethesda didn't actually make it, they just published it.
172000	178000	Doom was a masterpiece of shooter design, the likes of which has never been seen before or since, which is great!
179000	181000	I like it when games are good, personally.
181000	187000	So did Bethesda learn that maybe they should have some faith in the developers they're paying to work on those games,
187000	189000	or at least learn not to avoid critics?
189000	191000	Of course not.
191000	194000	This is Bethesda, the publisher behind Horse Armor,
194000	199000	and the fix the purposefully broken ending that you can't come back from for 10 quid DLC.
199000	204000	Bethesda instead announced that the financial and eventual critical success of Doom
204000	207000	has proven that they don't need to bother with critics at all,
207000	210000	and will in fact be doing the same for all their games in future,
210000	216000	starting with Dishonored 2 and the £20 costing high quality water effects mod for Skyrim.
216000	222000	Which is weird, because Dishonored 2 and Skyrim don't even have multiplayer components at all to protect the sanctity of.
222000	224000	So, what's their new justification?
224000	230000	Well, this time it's because they want both critics and audiences to experience the game at the same time.
230000	234000	And this generous new practice obviously worked great for Skyrim Special Edition,
234000	238000	which released Broken to millions of unhappy players who'd bought it
238000	241000	because there wasn't anyone to tell them it was broken and to wait.
241000	243000	You can see the problem here.
243000	245000	Developers might care about making a good game,
245000	248000	but they're at the beck and call of producers, publishers, executives, and shareholders
248000	251000	who have a very specific top priority.
251000	254000	And that means making a game as quickly as possible, as cheaply as possible,
254000	258000	and selling it to as many people as possible any way they can.
258000	261000	So when these aforementioned goals start leading to worse games
261000	263000	that are basically broken and worse for the consumer,
263000	267000	and critics threaten to reduce sales by telling people this,
267000	269000	well, it's simple, isn't it?
269000	270000	Cut the critics out.
270000	275000	Make it hard for anyone to possibly criticize your game before the bulk of sales can happen.
275000	277000	Send out review copies with no time to review them.
277000	282000	Bethesda isn't the first company to start doing stuff like this, and they won't be the last.
282000	286000	Others, unhappy with simply shielding themselves from the effects of the criticism they might get,
286000	289000	go one further and astroturf positive word of mouth.
289000	292000	Maybe pay a couple of YouTubers to release positive videos
292000	296000	of all the unscripted, totally-not-carefully-cut-together fun they had with the game,
296000	299000	and put a line of text in the description mentioning it's a commercial.
299000	301000	Oh God, I set the whole cave on fire!
301000	303000	I knew I should have got cave insurance.
303000	306000	Hey guys, look at all this fun I was paid to have in a game that I'm selling.
306000	312000	Game critics were allowed to be in the loop when they were being psychopathically positive about Bethesda's games.
312000	314000	They couldn't get enough of critics back then,
314000	316000	even releasing a Game of the Year edition,
316000	321000	an open declaration about an award literally given to the game by critics.
321000	324000	Incidentally, Game of the Year edition stopped meaning anything, too,
324000	330000	once publishers realized there's no legal reason not to just put out an edition with Game of the Year written on it.
330000	334000	But when critics finally started becoming, like, really, like, decent at their jobs,
334000	338000	and realized that Fallout 4 had released literally broken on day one,
338000	340000	and started telling people that,
340000	344000	well, all of a sudden, it's very important that everyone plays our games at once
344000	349000	and doesn't have a chance of warning people that the games are bad and broken.
349000	352000	Of course, immediately after announcing that they wouldn't be doing early review copies,
352000	357000	they happily sent some early copies of Skyrim to popular and relatively uncritical YouTubers
357000	362000	who would be happy to put up playthroughs that amount to long-form uncritical commercials for the game.
362000	365000	Hey, it's me, GV, and wow am I excited to bring you guys this.
365000	368000	So Bethesda got in contact with me, yes, THE Bethesda,
368000	372000	and said that since I had been such a great supporter of all of their series,
372000	379000	they decided to send me Skyrim the Special Edition early, about a month early, honestly.
379000	385000	Bethesda have kindly sent me Skyrim early so I can show you guys early Skyrim gameplay.
385000	390000	Hm, a month before release, let me check. Is that, is that the same as a day before release?
390000	393000	Hold on, let me do the math. No, no, no, it's not.
393000	397000	This is the only kind of criticism, the only kind of conversation
397000	399000	that Bethesda wants being had about their games,
399000	401000	and they're going out of their way to try and ensure that.
401000	406000	These people seem lovely, and they just seem like actually really big fans of Bethesda
406000	409000	and their games and the Elder Scrolls series, and that's, that's fine.
409000	412000	You know, you're allowed to like bad games, that's okay.
412000	417000	But isn't the purposeful choice by Bethesda to only send early copies out
417000	421000	to these people really telling about the kind of audience they want to cultivate?
421000	426000	About the level of uncritical love for a company you need to have
426000	429000	to be permitted to play their games in advance and talk about them?
429000	433000	Now, it would be easy to just say this thing is bad and a shitty business practice,
433000	437000	because of course it is, but it's worse in the context of all the other ways
437000	440000	this same problem is manifesting in the games industry.
440000	444000	For example, there's the aforementioned fiasco where positive press was given to a game
444000	447000	with only a whisper of admission that the content was in fact
447000	449000	LITERALLY A FUCKING COMMERCIAL.
449000	453000	On top of that, there's the fact that Steam, being a platform that makes money through game sales,
453000	456000	has thrown open the doors to selling unfinished games in early access
456000	460000	with no guarantee of completion or of ever even being worked on,
460000	463000	along with often actually copyright-infringing nightmare factories
463000	466000	posing as actually completed games on their platform
466000	469000	and doing very little to combat the flood of games onto the store,
469000	472000	oversaturating the market, and leaving a lot of poor indie developers
472000	477000	to die in the choking smog of DLC, bad games, and asset flips.
477000	480000	Steam have very little inclination to do anything about this,
480000	483000	because their purpose is to sell you games and make money from doing it.
483000	485000	Why take anything off their shelves?
485000	489000	Just don't buy it! Or make sure you play it for under two hours!
489000	492000	So what we're seeing is actually a very consistent pattern.
492000	495000	Business decisions that are bad for consumers and games
495000	498000	and the overall health of the entire marketplace,
498000	502000	but which work out just fine for the bottom line of the people running the company
502000	504000	making the decisions in question.
504000	506000	Which is the worst kind of problem,
506000	509000	because it means the people causing it have no reason to fix it,
509000	512000	or in the case of Bethesda's stance on critics, are causing it on purpose.
513000	517000	And this affects the quality of games and gaming culture in a very direct way.
517000	520000	Good criticism is the soul of media.
520000	522000	What scares me about these business practices
522000	526000	is that they cut out not only the presence of criticism in the process at all,
526000	530000	but also, effectively, the need for the game to even be good.
530000	532000	I want there to be another game like Doom,
532000	535000	another revolutionary thing that pushes the envelope,
535000	537000	and what chance does that have of happening
537000	540000	if the big developers can get away with selling you any old crap
540000	544000	or a re-release of the crap from 2011 because there was a fancy pre-order bonus?
544000	547000	Game publishing is far from the pure happy-go-lucky relationship
