start	end	text
0	6920	Hey there. You might have noticed that I like to keep track of all the latest bizarre insults that internet weirdos like to come up with.
6920	13040	You know, cultural Marxist, baiter, cuck, virtue-signaler, all the greats.
13040	16480	One of the latest additions to that list is the term Soy Boy,
16480	23240	which is used to decry everyone who's not like them as degenerate, feminized, weak losers
23240	26920	who are also, for some reason, also leftists because of soy.
26920	28440	So come...
31300	36060	And for once, I hesitate to admit they've scored a slam dunk.
36060	37400	They're onto us.
37400	41440	They know that beans are the reason why leftists think what they believe.
41440	43420	It can't be because of all the evidence.
43440	45020	No. They've got us.
45020	48620	And you can't prove otherwise, because that's just the objective truth.
48620	50540	At least that's they think.
50540	53040	Here's a comment from one of my latest videos.
53240	58540	Go get your chocolates and wine, and cry in the bathtub, you silly cucks.
58540	62840	High soy diets spike estrogen and lower testosterone.
62840	65040	That's not a disputable fact.
66640	69240	So! Let's dispute the facts!
72840	77840	The theory that soy is bad for you stems from a certain superstition in the bodybuilding community.
77840	83140	Here's the YouTube channel of Elliot Hulse, a professional bodybuilder with 1.7 million subscribers.
83140	85840	Your entire body is your brain.
87540	89640	Well, this guy knows what he's talking about.
89640	91440	I wonder what he thinks about soy.
91440	94040	Soy protein makes you weak and womanly.
94040	98140	Almost every bit of soy in the United States, or in the West,
98140	101240	you know, is going to be genetically modified.
101240	106440	Now, I'm not saying pro or con for genetically modified foods, but it's fucking weird.
106840	110440	It just, it sounds like freakish and Frankenstein-ish to me.
110440	112040	I don't know the end result.
112040	115040	You know, it might be the greatest thing that's ever happened to humankind.
115040	116140	I don't fucking know.
116140	117640	I don't think it's a good idea.
117640	119840	I don't like it, but I can't tell you the truth.
119840	121040	You gotta figure it out yourself.
122040	123840	That's a great idea, Elliot.
123840	126540	I'd have never thought of that. Thanks a lot.
126540	131740	So, where's your evidence that soy feminizes people?
131740	139140	I would offer you to pick up a book called The Whole Soy Truth by Kayla Daniels.
139140	143340	Uh, it's actually called The Whole Soy Story, Elliot, but let's not get hung up on that.
143340	148340	This book is authored by professional nutritional iconoclast Dr. Kayla T. Daniel,
148340	152540	the naughty nutritionist telling the truth that's too hot to handle.
152540	156040	I believe that's code for my work isn't peer-reviewed.
156040	158540	She used to call herself the naughty survivalist,
158540	161240	but she eventually changed her name and wardrobe
161240	164540	after realizing her target audience were having trouble finding her
164540	169740	in that camo jacket amongst all the dense foliage in her beige living room.
169740	173040	She outlined some of her main claims about soy in her video entitled
173040	176640	Moobs, Man Boobs, and Other Environmental Estrogens.
176640	180840	All of those soybeans contain phytoestrogens.
180840	187840	That's plant estrogens, and they are a form of estrogenizing influence on the body.
187840	191740	They create hormonal havoc. They create endocrine disruption.
191740	195440	Soy contains phytoestrogens, which are obviously feminizing,
195440	197440	because they're the plant version of estrogen,
197440	200340	resulting in lowered testosterone along with stuff like man boobs
200340	204040	or being turned into a weak-willed feminist who definitely doesn't even lift.
204040	207840	Now, Dr. Daniels' description doesn't list any sources for this,
207840	210240	and the rational skeptic thing to do in this context
210240	213240	would obviously be to just assume that means there aren't any without checking.
213640	217640	So, alas, it seems that I'm not a true skeptic yet.
217640	221340	I'm just a mere mortal, because I went and checked anyway,
221340	223940	and I did find some studies,
223940	226140	but...
226140	230240	how do I put this in a way that makes it not sound rude?
230240	233840	The studies didn't say anything like what this...
233840	237640	lying liar lied about.
237640	240440	For example, while trying to find studies on the effects of soy intake
240440	242340	on estrogen and testosterone levels,
242340	247440	I found a paper which assessed all English-language studies there had been as of 2008
247440	250540	in which men consumed soy and their testosterone was tested,
250540	252740	which, at the time, was 32.
252740	254040	Check out the link in the description.
254040	258840	The paper pretty definitively suggests that soy foods, and the phytoestrogens in them thereof,
258840	261940	do not alter the testosterone concentration in men.
261940	264340	Bear in mind, this wasn't just one study.
264340	269740	This was a meta-analysis of the results of all 32 other studies there had been at the time.
269840	275940	Now, does that mean we can therefore conclude that soy has no effect on testosterone levels?
275940	277440	Not quite.
277440	282040	You see, in science, it's rarely productive to be that conclusive about something.
282040	287340	Instead, we'll say that the evidence quite reliably suggests that that's the case.
287340	292340	But what about soy's effects on other things that men like to worry about a lot, like, uh, sperm count?
292340	294340	Well, another paper from 2010,
294340	298840	examining the nine clinical studies into the effects of isoflavone exposure on estrogen levels,
298840	303340	found no evidence that it affects those levels at all, which suggests there's no link.
303340	305340	Now, at this point in my research, I was wondering,
305340	308040	why are phytoestrogens even called estrogens,
308040	312240	when taking them doesn't seem to affect the levels of estrogen or testosterone in your blood?
312240	316740	Well, it's because, in terms of chemical structure, they're very similar.
316740	318640	Here's a handy picture I found on Wikipedia,
318640	323740	comparing the makeup of isoflavones and coumastans to estradiol, the major estrogen hormone.
323740	328440	Their construction is very similar, but the actual chemical components are very different.
328440	331240	This means they do bind with estrogen receptors,
331240	334940	but the effects are very different because, to put it scientifically,
334940	336640	they're made of different stuff.
336640	339640	This means that they don't really have comparable effects.
339640	341240	But who cares about that?
341240	344640	Kayla Daniel is fighting back with rigorously researched, uh...
345640	347240	...anecdotes.
347240	348240	Like this one!
350040	353140	Scientists first linked phytoestrogens with lowered sperm count
353140	358040	and other reproductive problems in the 1940s, when they diagnosed clover disease in sheep.
359440	361440	...
361440	363440	...
363440	365440	...
367840	372240	Dr. Daniel is so strapped for actual compelling evidence
372240	378840	that she's down to studies from the 40s looking at the effects of a different plant on sheep.
378840	382140	Now, I never really paid that much attention in biology class.
382140	384240	I'm really sorry, Mrs. Baldwin.
384240	390440	But I'm pretty sure I distantly remember that humans are monogastric mammals,
390440	394440	which means that we have one stomach that digests everything we eat.
394440	399640	Whereas some animals, for example sheep, are ruminants,
399640	403840	which means they have a four-chambered stomach that digests things multiple times,
403840	407840	and they also regurgitate food so that they can chew it again and swallow it again.
407840	411640	It's a little bit disgusting, but that's just how some animals digest things.
411640	414840	This is why sheep can eat grass, but humans can't.
414840	418040	Well, you- you can. No one's stopping you. There's no laws.
418040	423640	Ah! Just try and stop me, Brussels! Ah!
423640	425440	...
425440	431040	Grass contains silica, which can seriously mess up your teeth, like, permanently.
431040	432840	Do not even do this for a joke.
432840	438640	So, given the quite large dietary, digestive, and metabolic differences between humans and sheep,
438640	445240	I think it's fair to say that maybe a study about how male sheep digested red clover
445240	450840	and the effect that had on them might not be fully relevant to the effects of soy isoflavones on humans.
450840	455840	So, to sum up, some plants make a hormone that looks like estrogen in composition,
455840	459240	but doesn't have the same effects because it's actually a very different chemical.
459240	464440	However, some people who don't know that and can't be bothered to check saw the word estrogen
464440	468240	and leapt to conclusions that it must be feminizing the same way estrogen is.
468240	473440	The way science classifies and names chemicals has effectively tricked a bunch of people
473440	477240	who don't know better into making wild assumptions when the data shows otherwise,
477240	479440	which sucks, but you've got to name things somehow.
479440	482840	You know, it's important that you have a standardized system of classification,
482840	487240	and the one they picked happens to cause massive problems for bodybuilders.
487240	490840	I bet Johnny Science Namer didn't see that coming.
490840	494240	My apologies to the descendants of Antoine Lavoisier.
494240	499840	I'm reminded almost immediately of the equally faux-scientific alpha-beta beliefs
499840	502440	popular among the manosphere, pickup artists, and others,
502440	507640	originally based on a study of wolves that was later found through future research by its own author
507640	510040	to not even be accurate to wolves.
510040	514840	These same kinds of folks have happily combined these two half-baked concepts,
514840	520440	hence the use of terms like low-T-beta and the insistence that soy must have something to do with it
520440	522440	because that's what they all eat, apparently.
522440	525440	And I think I saw a word with estrogen in it somewhere.
525440	528640	I rest my case on the edge of a cliff.
528640	531640	Oh, no, the case has fallen off!
531640	533440	Oh, no, it's on fire!
533440	538640	Soy and its supposed effects was eventually picked up by the closest thing the far right has to journalism,
538640	541240	rebel media, and then later InfoWars.
541240	545640	Incidentally, InfoWars sells diet supplements containing soy on their website.
545640	548640	Probably should have checked the label there, shouldn't you, Paul?
548640	549840	I take brain force.
549840	556440	Which brings us to InfoWars editor, soy hater, and soy salesman, Paul Joseph Watson's video on the topic,
556440	560440	which we're going to look at in more detail now because I think it'll be quite useful to do so.
560440	561440	And also funny!
561440	564640	The video begins with a spiel about the BuzzFeed Try Guys.
564640	568440	You've probably seen the BuzzFeed Try Guys video where they measure their testosterone
568440	571640	and it's literally half or less the normal level for a man.
571640	577840	Their testosterone is so low, it's below the average for an 85 to 100-year-old man.
577840	584440	This claim, and in fact this exact table, has appeared all over the rogues' gallery of right-wing and manosphere websites.
584440	591840	InfoWars has it, of course, but there's also Return of Kings, Daily Wire, alt-right.com, Reddit, Return of Kings again?
591840	594640	So it's like a game! You guys are writing the same thing!
594640	598840	Gosh, they're really proud of this one, and its founder, Roosh V's internet forum.
598840	604840	These articles and Paul's video are full of speculation that this testosterone level is completely unhealthy and terrible and bad for you.
