start	end	text
0	5280	Citizen Kane is a film many scholars will tell you is the greatest of all time and some of them have even seen it
5280	8160	So they must mean business. It was genuinely quite revolutionary
8160	14400	It's credited with inventing or at least popularizing many cinematic techniques that are still used today, including the jump scare
15880	21760	Everybody remembers that one scene where you suddenly cut to a cockatoo screeching just before it was to wake up the audience
23440	27720	It's the entire significance of the cockatoo and a lot of it really holds up
27880	34720	What's weird is you expect it to be a stuffy old thing vintage and prestigious and made for the amusement of old-timey people who?
34720	41240	Don't think like we do today, but it can get properly funny and energetic at times hot take just putting this out there
41840	43360	Citizen Kane
43360	48520	Pretty good movie. It was the feature film debut of writer director and wine salesman Orson Welles
48720	51800	Even while it was being made Kane was something of a rarity
52280	59600	Despite being made by a first-time director the production company he was under contract with RKO pictures the studio famously behind King Kong and
60720	63640	Citizen Kane had given Wells final cut privilege
63760	68720	This is a movie term referring to who gets final say over the film that actually gets sent to theaters
68760	72560	This is a level of artistic control not normally given to first-time directors
73040	79560	If a director doesn't have this privilege the executives and producers at the company often make their own changes for commercial
79880	83520	Personal or other reasons and can override the creators wishes for their work
83520	91040	Wells used Final Cut to make a film seen by many nerd betas as the greatest ever when Wells next film with the same studio
91040	95800	The Magnificent Ambersons had mixed test screenings Wells made small changes
95800	99160	But remained confident the work was good and would be received better on a full release
99640	104720	However RKO felt otherwise and due to various contract negotiations
104800	109240	Wells had given up Final Cut privileges while Wells was working on another film in Brazil
109640	117800	RKO made extensive edits to the film including reshooting the ending to be completely different and cut 40 minutes out in Wells own words
117840	120920	What's left is only the first six reels
121080	127160	My whole third act is lost because of all of the hysterical tinkering that went on and it was
127360	132920	Genuinely lost too to save space in the film archives the removed segments of the film were destroyed
132920	140560	the creators ideal version of The Magnificent Ambersons is gone forever the released version of Ambersons is regarded by all four people who've seen it as
140840	147280	One of the best films ever and perhaps even better than Citizen Kane, but that only makes the whole thing more horrible
147480	149720	We can only imagine what it could have been
150280	155240	This was the beginning of Wells long fight for creative control over his projects a fight
155240	160680	He seemed to lose most of the time Wells went on to make lots of other films during his career and some of them are
160680	165120	Still really good, but in many ways a lot of them were never truly his
165520	170560	Wells was open about things he wished he'd done differently or more ideal versions of his films
170560	176120	He even considered doing a new ending of Magnificent Ambersons 30 years later with the surviving actors
176280	180000	But these truer versions of his films never surfaced
180360	186120	Wells I argue was ahead of his time here what he was yearning to do was make
186640	192440	Directors cuts in the modern era the idea that a film will get a director's cut is almost taken for granted
192840	200440	In fact, it's so widely accepted that the director's cut is the most authentic version of a film that some fans of the DC superhero
200440	206680	movies are asking specifically for a Snyder cut of Justice League under the impression that this would
206920	210760	Inherently be the better version of the film than the version that some other later
210880	215760	Director would have made tens of thousands of dollars have been raised for charities in the process of fans
216080	220560	Demonstrating their desire to Warner Brothers now. I quite like a lot of Zack Snyder's films myself
220800	222880	The first step is admitting have a problem
222880	228100	And I'd love to see his version of Justice League and also unsee the version that Joss Whedon witty
228320	230160	Dialogue to himself all over
230160	233440	But I can't help but notice that we seem to now be living in an age
233640	236360	Where you can't just dislike a film and move on with your life
236480	243160	It's an opportunity to become even more engaged to give even more of your time to something you didn't even like in the hopes of
243160	247520	Getting a newer better version. So how did we get here and
248320	255720	Our directors cuts all that different that much of the time or isn't it somewhat bizarre to expect a director to relive a finished work?
255800	260040	In order to make a slightly better version of something that was already completed and released
260040	265000	And as a director really the main authority on the most ideal version of a work
265680	267360	Let's look at
267360	274160	let's look at some examples of directors cuts and how they're different from the originals and if they're actually that much better and
274640	280600	Just generally go on an adventure of discovery for what all this means for how we think about art in the modern era
281240	284120	That's that's pretty good. Doesn't it? Welcome back to scanline
296000	303560	Put succinctly a director's cut is a version of a motion picture that is edited according to the director's wishes and that usually
303760	307240	Includes scenes cut from the version created for general distribution
307560	312040	Wikipedia says Blade Runner was the first film to ever use the phrasing directors cut in marketing
312040	318780	But but the page doesn't actually cite a source to confirm this. So thanks Wikipedia
318780	324920	It's excellent excellent work there as the questions of creative control grow increasingly culturally pertinent and profitable
325000	328480	It's become more and more common for films to have a second release as a new
328920	335400	alternative version one more in line with the directors original wishes a sort of final cut privilege in retrospect a
335680	342760	Shocking amount of films have directors cuts now, which gives the impression they serve a creative need that goes unsatisfied in the original process
342760	348280	But creative control is more of a vague conceptual idea than a thing whose effects are truly measurable
348280	353280	Let's look at some tangible examples of differences between cuts and why they can be important
353280	358520	We might as well start with Blade Runner since it apparently started all this cite your sources. God damn it
361280	362600	Ridley Scott's
362600	367960	1982 sci-fi dystopian speculative fiction science fiction film blade run everyone knows what Blade Runner is
367960	371720	Why am I explaining Blade Runner is a very good movie? I think I've heard it's good
371720	376520	I've got a copy here in my editing program and I'm skipping through it looking for footage to use and wow, it seems great
376520	382220	It's got flying cars and a cool gun explores complex questions about personhood and what it even means to be human
382460	384460	It's got music. It's good. There's
384940	386940	some eyes in it and
386940	392820	Some eyes here and here this guy loves talking about seeing things with his eyes and then later he tells this guy
392820	394660	But all the stuff he's seen
394660	399740	Whoa, if I didn't know any better, I'd say there's some kind of theme going on here foolish Ridley
399740	404700	Don't you know themes are for book reports get all these images and ideas out of here before you poke someone's eye
404700	405580	Yeah, oh no
405580	409780	I'm doing it the movie had mixed reception upon its release to quote Brian J
409780	415560	Rob's guide to Ridley Scott critical reaction was decidedly mixed the New York Times called it muddled yet
415860	419540	Mesmerizing Time magazine said the film like its setting is a beautiful
419780	427220	Deadly organism that devours life and the Los Angeles Times complained blade crawler might be more like it got him
427220	433620	Oh fuck him up Sheila the film while good had some confusing choices and strange problems
433620	435300	There's a lot of beautifully subtle
435300	440660	Storytelling and world-building where the viewer is given the chance to think for themselves and pick up on what's happening by paying attention
440980	446700	You know the score pal. You're not cop your little people and yet there's this terrible voiceover
446700	453340	And I'd rather be a killer than a victim and that's exactly what Bryant's threat about little people meant the voiceover
453540	458860	Explains away everything even remotely subtle and it sounds like Harrison Ford is bored out of his mind
459020	464620	there's a lot of really beautiful storytelling like when Deckard retires a female replicant and
464940	468260	Looking at her body feels genuinely awful about what he's done
