start	end	text
0	2680	♪
2680	3600	♪
3600	8680	The Witness has done pretty well for an expensive indie game where you draw lines on squares.
8680	11200	What are you doing looking so sad with your arms like that?
11200	12760	Oh, he's a juggler!
12760	15400	Let's put a smile on that face!
15400	18720	The game has a lot of depth to both the puzzles, the design of the world,
18720	20960	with all of its intricate little visual tricks.
20960	22440	Oh, look, it's some eyes!
22440	25920	And unraveling the overarching mystery of what it's all about.
25920	28040	Oh, look, I'm an angel!
28040	29160	Just kidding, I'm the...
29200	30280	Hold on, hold on.
30280	30960	Wait, come on.
30960	31480	Wait.
31480	32360	No.
32360	33520	I'm the king!
33520	38600	Whether you enjoy the puzzles or the more unique components of the storytelling in Jonathan Blow's latest,
38600	43200	I think it's worthwhile to take the time to look back at his previous hit from 2008,
43200	43800	Braid.
47960	52840	In my videos, I like to offer alternative perspectives on things and contribute to people's processes,
52840	57640	so I thought I'd make a video detailing the six things I personally think make Braid truly special.
57640	58720	Why six?
58760	61280	Well, because there's six worlds in Braid.
61800	64760	That's actually a coincidence. I just don't want to do five.
64760	66040	What a terrible number.
66040	67560	It's liney, it's curvy.
67560	70720	Make up your mind, Phi Number One!
70720	73160	Visual craftsmanship!
73160	76320	All the game's visuals have been polished to a mirror shine.
76320	80280	The animated painting cloud background of the level selects are mesmerizing,
80280	82480	and Tim himself is an animated painting.
82480	86280	It must have taken ages to get each frame looking right with all the shading on his hair and stuff.
86280	89760	Also, despite being rendered in a somewhat painterly style,
89760	91760	Tim still looks cartoonish when it works.
91760	94080	His death animation has a couple of frames of just...
94680	95320	Wow.
95880	96800	I'm dead now.
97560	98600	That sucks.
99120	100840	I wasn't expecting this.
101160	103320	You see this checklist of enemies to kill?
103320	105240	Each one is a unique drawing...
106440	107040	Drawing?
107040	107560	Uh...
107560	108720	Draw-ing?
108720	110040	Draw- how do you...
110040	113680	Each one is a unique picture, and each X as you kill them is unique, too.
113680	116640	It adds a sense of personalization to the level,
116640	118800	along with finding work for the artist to do.
118800	120680	It's a pity they were paid in exposure.
121800	123040	Number two!
123040	125000	Owl Swoom Immigary!
125000	129440	This sounds a lot like the previous one, but there's a big difference between simply looking cool...
130640	132520	It's as boring as I expected.
132520	135520	...and using your visuals to enhance the story's meaning.
135520	138480	Braid does both, so it gets two different points.
138800	140440	Look at these little guys.
140440	142160	Don't they remind you of something?
142680	144320	Hmm, what about this guy?
144320	145920	And the design of this area?
146320	147440	Juuump...
147440	148040	Pfft...
148040	149440	Maaan?
149440	151240	The princess is in another castle.
151240	152680	What does that remind me of?
152680	154960	And you collect stars, too?
154960	156440	This is Mario!
156440	158040	The game's Mario-ing you!
158040	159040	But why?
159360	161400	Far more than for a cheap reference,
161400	165080	the game presents itself as an alternative version of a Mario game.
165080	170320	Miyamoto's fairly open about how saving a princess is really just a quick excuse for the gameplay to happen.
170360	172720	That's why it's the same premise as Zelda.
172720	176800	The actual story in early games was treated as genuinely unimportant.
176800	178520	Braid offers a different version of events,
178520	181720	where instead of a literal journey to save an actual princess,
181720	184800	Mario's on a deeper, almost spiritual quest for meaning,
184800	187200	where meaning might even be unattainable.
187200	190360	You know, if you watch Mario backwards, Mario's actually the bad guy,
190360	194400	leaving the princess in Bowser's clutches before walking out backwards for some reason,
194400	197040	and resurrecting bad guys on his way back home.
197040	198520	Wow. Rude.
