start	end	text
0	2300	You already know who Sherlock Holmes is.
2300	5240	He's one of the most famous characters in all of Western canon.
5240	11160	He was in dozens and dozens and dozens of stories by Sir Arthur Conan Doyle from 1891 to 1927.
11160	16760	He's a pop-culturally important icon and a foundational figure in the crime and mystery genres of fiction
16760	19080	that have continued all the way to the present day.
19080	24200	The character has been adapted and reimagined and referenced more than any other fictional character,
24200	26040	except, of course, for Jesus Christ.
26040	27360	["Aaaaaaahhh!" sound effect plays in the background.]
27360	32840	The character's so instantly recognizable that, if you strap a hat and coat and pipe onto a teddy bear
32840	34720	and put it in the window of your shop,
34720	39360	people will come in asking how many thousands of pounds they can give you for the Sherlock bear.
40360	43200	["Three. Three thousands of pounds."
43200	44800	["Oh, here it is." sound effect plays in the background.]
44800	50560	There's many direct film adaptations, including, uh, two fun romps made by Guy Ritchie, of all people.
50560	56120	There's a bunch of old film serials, and there's a whole bunch of famous actors who've had a turn playing him.
56160	58440	There's multiple different television versions,
58440	62880	an animated series set in the 22nd century where he got frozen for hundreds of years
62880	65640	and also Watson is a robot for some reason,
65640	71440	and a Canadian children's TV series starring Sherlock's great-grandniece Shirley Holmes.
71440	74680	["Those last two are canon. I can prove it!" sound effect plays in the background.]
74680	78960	And there's perhaps an uncountable amount of books, shows, films, and other properties
78960	83000	directly inspired by or based on the stories and characters,
83000	86160	one of the most obvious and best in recent history being House MD,
86160	91440	a show I've seen all the way through multiple times, starring huge Laurie as Dr. House
91440	94920	and Robert Sean Leonard as Dr. James... Wilson.
94920	95480	You get it?
95480	99280	And my goodness, we haven't even talked about the anime adaptations ye-
99280	100280	Let's not do that.
100280	104440	Then there are the two recent and still active television adaptations.
104440	107080	Elementary plays out like a police procedural in tone,
107080	111520	which is fitting because that type of story is arguably a natural descendant of the original genre,
111520	116760	and it's set in the U.S., this time with Dr. Joan Watson, played by Lucy Liu, and it's pretty good.
116760	120680	It's not as good as House, but it's a well-put-together show and it's very... comfy.
120680	121320	["Sigh." sound effect plays in the background.]
121320	123240	And then there's Sherlock.
123240	128600	Sherlock is an overproduced, overwritten, over-pissed pile of garbage
128600	132760	and the greatest reason ever made to dodge paying your TV license.
132760	136600	But what's so wrong about it? And why do so many people like it?
136600	140280	Or rather, why did so many people think they liked it until season four came out
140280	143160	and everyone collectively realized it was bad and always had been?
143160	145160	And why did that happen?
145160	149560	All these questions and more are going to be answered over the course of this primal, hallucinatory nightmare-
149560	150920	I mean, video essay.
150920	154520	And I hope I can properly impart why this show is such a horrible travesty.
154520	156120	And just to make it clear in advance,
156120	161880	I'm going to do it without ever getting Benedict Cumberbatch's name wrong on purpose for a lazy, overused joke.
161880	163080	Not even once.
163080	164680	Okay, I'm gonna do it once.
164680	166840	Benedict Cumberbad.
166840	168360	Okay, now it's out of my system.
168440	177640	♪ ONAGIRU NARA KONO SORA WO DAITE KAGAYAKU SHOUNEN YO SHINWA NI NARE! ♪
188200	190840	This isn't just the story of one bad show.
190840	196200	Really, it's the story of the life and times of its lead writer, Stephen William Moffat.
196200	199480	Moffat got spat out of a hole in the ground in Paisley in 1961
199480	203880	with the straightforward mission of systematically destroying all of English pop culture,
203880	205800	and no one stopped him yet.
205800	207000	Okay, that's not fair.
207000	209880	Moffat is himself a staple of modern English pop culture,
209880	213320	having written or been involved with a couple of really good shows in his life,
213320	219160	including Coupling, one of the more experimental, creative, and genuinely funny romantic sitcoms ever made.
219160	223240	It's loosely based on how he met his wife, who, by the way, produced the show,
223240	225320	which is probably why he had so much creative freedom.
225320	230120	Although it does raise some questions about how insular the higher-level production staff at the BBC have become.
230120	231560	I'm sure that won't come up later.
231560	233480	After that, during the reboot of Doctor Who,
233480	237400	perhaps the only other British pop cultural staple as iconic as Sherlock Holmes,
237400	241720	Moffat came on and wrote numerous really good episodes that are loved by the fanbase,
241720	246600	giving him massive critical acclaim and winning him, among other things, a Hugo Award and a BAFTA.
246600	250520	If you don't know what those awards are or what they mean, it's okay. No one does.
250520	252520	He's been a fan of Doctor Who all his life,
252520	256360	and in 1999, he even wrote the Doctor Who parody episode,
256360	257880	The Curse of Fatal Death.
257880	260120	Why'd you have chairs on a Dalek spaceship anyway?
260920	263480	Wait, we'll explain later.
264120	267000	This special is one of the best contributions to the series ever,
267000	272520	and somehow still more progressive than the real Doctor Who ever managed to be.
272520	275160	It ends with the Doctor regenerating into a woman.
275160	276040	Scandalous.
276040	280040	Now there's a guy who should be running Doctor Who, the fanbase collectively said aloud.
280040	282200	His writing is scary, dramatic.
282200	286680	He has genuine, established comedic chops, both within and without the science fiction genre.
286680	290840	He might even, you know, make there be a Doctor...
291880	292680	...not played by a man.
293640	294840	You know, maybe.
294840	300600	And in a television miracle, the likes of which hasn't been seen before or since in science fiction,
300600	305080	when Rusty Davies stood down as showrunner, the fans got what they wanted.
