start	end	text
0	2920	In the beginning, there was Morrowind.
2920	6600	I never played Morrowind because I just never really got into it.
6600	11800	I thought the combat was weird, but apparently it was really good, and I trust the people who said that.
12240	15960	And then I played some of Oblivion. It was just really boring, and I stopped immediately.
16360	21560	They paid to have Patrick Stewart in, and they just killed him. Why would they even do that? It was incredibly stupid.
21920	23480	But then,
23480	28640	everyone lost their shit for Skyrim. Skyrim from the creators of the award-winning
29240	31000	Fallout 3,
31000	33000	which, as we all know,
33040	39080	won many awards from people who cannot be trusted. And then it came out, and the world
39920	46480	got their clammy little hands on their shrink-wrapped copies of Skyrim,
47920	49640	and went, yeah,
49640	52080	this is gonna be good. They were wrong,
52360	58600	but everyone thinks it's good because no one is as clever as me. Because today, the time has come
59600	61800	for the truth. And now,
62560	66680	the world can finally know that...
68240	70840	I think Elder Scrolls is a bit shit, me, to be honest.
82080	93840	Oh, my fucking head. I've never actually put this on before. I don't know which way the strap goes.
98080	104920	Oh, God, I forgot how bloody long the opening was. They learned nothing from Fallout 3. It's just,
105320	108640	it's fucking sitting in a carriage for like 20 minutes.
113080	115080	God, you know, this is, you know,
115520	120080	I've made this point in the Fallout one as well, like, oh, they modded the opening out.
120160	124040	But, you know how they mod it so the dragons are like, you know,
124640	126640	Randy Savage or whatever? Like,
127120	129560	people do that because they have to sit through this
130240	136200	every bloody time, unless they mod the opening out completely. But they think, oh, well, I'm here for the opening,
136200	138200	I might as well watch it. So I'm gonna put in,
138560	141960	I'm gonna put, you know, have, you know, Shrek fly in,
142560	146360	because that will at least be a fucking payoff for this garbage opening.
146360	153040	It's just so, I've just been, like, just ranting to myself right now, just for, just, just saying, and nothing's happened.
153720	155720	Like,
156840	160080	I can't even, I can't even be bothered to, and the best part is,
160360	166640	they keep re-releasing this for every new console, every new thing. We got some new fucking water textures.
166840	174360	We got the next, the next Skyrim's more. Is there a Skyrim VR yet? I fucking bet there is. Now there's the Switch version.
175200	177200	Do you want to play Skyrim again on the Switch?
179880	182520	It's the same, again, it's again.
185320	189360	Don't buy it. You will be Dover skint.
190760	195560	Skint, you will, it's not worth, it's not worth the money.
197000	199000	Um.
201600	205800	I give this game a fuss-ro, don't buy.
209920	211920	Thank you all very much for watching.
212320	218840	As always, I'd like to say a big thank you to all of my supporters on Patreon. I really couldn't do this without you.
219560	222560	And I'll see you all, see you all next time.
222560	236560	Um, I'm, I'm, I appreciate all your support, let me build this whole set, and eventually I'll be able to replace the bulbs and all these broken lights, so, bye!
282560	284560	Do you want to play Skyrim again on the Switch?
284560	286560	It's the same, again, it's not worth the money.
286560	288560	Um, I'd like to say a big thank you to all of my supporters on Patreon.
288560	290560	I really couldn't do this without you.
290560	292560	And I'll see you all, see you all next time.
292560	294560	Bye!
312560	314560	Thanks for watching!
342560	344560	If you enjoyed this video, please consider subscribing.
344560	346560	Also, check out my other videos.
346560	348560	Thanks!
372560	374560	Bye!
402560	404560	Thanks for watching!
492560	494560	Thanks for watching!
522560	524560	Bye!
1062560	1064560	This is the end of the video.
1064560	1066560	If you enjoyed this video, please hit the like button.
1066560	1068560	And if you want to watch more videos like this,
1068560	1070560	You can subscribe to my channel.
1070560	1072560	See you next time!
1072560	1074560	Bye!
1092560	1094560	Thanks for watching!
1122560	1124560	This is the end of the video.
1124560	1126560	If you enjoyed this video,
1126560	1128560	Please hit the like button.
1128560	1130560	And if you want to watch more videos like this,
1130560	1132560	You can subscribe to my channel.
1132560	1134560	See you next time!
1134560	1136560	Bye!
1152560	1154560	This is the end of the video.
1154560	1156560	If you enjoyed this video,
1156560	1158560	Please hit the like button.
1158560	1160560	And if you want to watch more videos like this,
1160560	1162560	You can subscribe to my channel.
1162560	1164560	See you next time!
1164560	1166560	Bye!
1182560	1184560	This is the end of the video.
1184560	1186560	If you enjoyed this video,
1186560	1188560	Please hit the like button.
1188560	1190560	And if you want to watch more videos like this,
1190560	1192560	You can subscribe to my channel.
1192560	1194560	See you next time!
1194560	1196560	Bye!
1212560	1214560	This is the end of the video.
1214560	1216560	If you enjoyed this video,
1216560	1218560	Please hit the like button.
1218560	1220560	And if you want to watch more videos like this,
1220560	1222560	You can subscribe to my channel.
1222560	1224560	See you next time!
1224560	1226560	Bye!
1242560	1244560	This is the end of the video.
1244560	1246560	If you enjoyed this video,
1246560	1248560	Please hit the like button.
1248560	1250560	And if you want to watch more videos like this,
1250560	1252560	You can subscribe to my channel.
1252560	1254560	See you next time!
1254560	1256560	Bye!
1272560	1276560	I'm not even joking, Skyrim just legit crashed while I was trying to record the footage.
1302560	1304560	I'm not even joking, Skyrim just legit crashed while I was trying to record the footage.
1332560	1334560	This is the end of the video.
1334560	1336560	If you enjoyed this video,
1336560	1338560	Please hit the like button.
1338560	1340560	And if you want to watch more videos like this,
1340560	1342560	You can subscribe to my channel.
1342560	1344560	See you next time!
1344560	1346560	Bye!
1362560	1364560	Thank you for watching!
1392560	1394560	If you enjoyed this video,
1394560	1396560	Please hit the like button.
1396560	1398560	And if you want to watch more videos like this,
1398560	1400560	You can subscribe to my channel.
1400560	1402560	See you next time!
1402560	1404560	Bye!
1422560	1424560	If you enjoyed this video,
1424560	1426560	Please hit the like button.
1426560	1428560	And if you want to watch more videos like this,
1428560	1430560	You can subscribe to my channel.
1430560	1432560	See you next time!
1432560	1434560	Bye!
1452560	1454560	If you enjoyed this video,
1454560	1456560	Please hit the like button.
1456560	1458560	And if you want to watch more videos like this,
1458560	1460560	You can subscribe to my channel.
1460560	1462560	See you next time!
1462560	1464560	Bye!
1482560	1484560	If you enjoyed this video,
1484560	1486560	Please hit the like button.
1486560	1488560	And if you want to watch more videos like this,
1488560	1490560	You can subscribe to my channel.
1490560	1492560	See you next time!
1492560	1494560	Bye!
1512560	1514560	If you enjoyed this video,
1514560	1516560	Please hit the like button.
1516560	1518560	And if you want to watch more videos like this,
1518560	1520560	You can subscribe to my channel.
1520560	1522560	See you next time!
1522560	1524560	Bye!
1542560	1544560	If you enjoyed this video,
1544560	1546560	Please hit the like button.
1546560	1548560	And if you want to watch more videos like this,
1548560	1550560	You can subscribe to my channel.
1550560	1552560	See you next time!
1552560	1554560	Bye!
1572560	1574560	If you enjoyed this video,
1574560	1576560	Please hit the like button.
1576560	1578560	And if you want to watch more videos like this,
1578560	1580560	You can subscribe to my channel.
1580560	1582560	See you next time!
1582560	1584560	Bye!
1602560	1604560	If you enjoyed this video,
1604560	1606560	Please hit the like button.
1606560	1608560	And if you want to watch more videos like this,
1608560	1610560	You can subscribe to my channel.
1610560	1612560	See you next time!
1612560	1614560	Bye!
1632560	1634560	If you enjoyed this video,
1634560	1636560	Please hit the like button.
1636560	1638560	And if you want to watch more videos like this,
1638560	1640560	You can subscribe to my channel.
1640560	1642560	See you next time!
1642560	1644560	Bye!
1662560	1664560	If you enjoyed this video,
1664560	1666560	Please hit the like button.
1666560	1668560	And if you want to watch more videos like this,
1668560	1670560	You can subscribe to my channel.
1670560	1672560	See you next time!
1672560	1674560	Bye!
1692560	1694560	If you enjoyed this video,
1694560	1696560	Please hit the like button.
1696560	1698560	And if you want to watch more videos like this,
1698560	1700560	You can subscribe to my channel.
1700560	1702560	See you next time!
1702560	1704560	Bye!
1722560	1724560	If you enjoyed this video,
1724560	1726560	Please hit the like button.
1726560	1728560	And if you want to watch more videos like this,
1728560	1730560	You can subscribe to my channel.
1730560	1732560	See you next time!
1732560	1734560	Bye!
1752560	1754560	If you enjoyed this video,
1754560	1756560	Please hit the like button.
1756560	1758560	And if you want to watch more videos like this,
1758560	1760560	You can subscribe to my channel.
1760560	1762560	See you next time!
1762560	1764560	Bye!
1782560	1784560	If you enjoyed this video,
1784560	1786560	Please hit the like button.
1786560	1788560	And if you want to watch more videos like this,
1788560	1790560	You can subscribe to my channel.
1790560	1792560	See you next time!
1792560	1794560	Bye!
1812560	1814560	If you enjoyed this video,
1814560	1816560	Please hit the like button.
1816560	1818560	And if you want to watch more videos like this,
1818560	1820560	You can subscribe to my channel.
1820560	1822560	See you next time!
1822560	1824560	Bye!
1842560	1844560	If you enjoyed this video,
1844560	1846560	Please hit the like button.
1846560	1848560	And if you want to watch more videos like this,
1848560	1850560	You can subscribe to my channel.
1850560	1852560	See you next time!
1852560	1854560	Bye!
1872560	1874560	If you enjoyed this video,
1874560	1876560	Please hit the like button.
1876560	1878560	And if you want to watch more videos like this,
1878560	1880560	You can subscribe to my channel.
1880560	1882560	See you next time!
1882560	1884560	Bye!
1902560	1904560	If you enjoyed this video,
1904560	1906560	Please hit the like button.
1906560	1908560	And if you want to watch more videos like this,
1908560	1910560	You can subscribe to my channel.
1910560	1912560	See you next time!
1912560	1914560	Bye!
1932560	1934560	If you enjoyed this video,
1934560	1936560	Please hit the like button.
1936560	1938560	And if you want to watch more videos like this,
1938560	1940560	You can subscribe to my channel.
1940560	1942560	See you next time!
1942560	1944560	Bye!
1962560	1964560	If you enjoyed this video,
1964560	1966560	Please hit the like button.
1966560	1968560	And if you want to watch more videos like this,
1968560	1970560	You can subscribe to my channel.
1970560	1972560	See you next time!
1972560	1974560	Bye!
1992560	1994560	If you enjoyed this video,
1994560	1996560	Please hit the like button.
1996560	1998560	And if you want to watch more videos like this,
1998560	2000560	You can subscribe to my channel.
2000560	2002560	See you next time!
2002560	2004560	Bye!
2022560	2024560	If you enjoyed this video,
2024560	2026560	Please hit the like button.
2026560	2028560	And if you want to watch more videos like this,
2028560	2030560	You can subscribe to my channel.
2030560	2032560	See you next time!
2032560	2034560	Bye!
2052560	2054560	If you enjoyed this video,
2054560	2056560	Please hit the like button.
2056560	2058560	And if you want to watch more videos like this,
2058560	2060560	You can subscribe to my channel.
2060560	2062560	See you next time!
2062560	2064560	Bye!
2082560	2084560	If you enjoyed this video,
2084560	2086560	Please hit the like button.
2086560	2088560	And if you want to watch more videos like this,
2088560	2090560	You can subscribe to my channel.
2090560	2092560	See you next time!
2092560	2094560	Bye!
2112560	2114560	If you enjoyed this video,
2114560	2116560	Please hit the like button.
2116560	2118560	And if you want to watch more videos like this,
2118560	2120560	You can subscribe to my channel.
2120560	2122560	See you next time!
2122560	2124560	Bye!
2142560	2144560	If you enjoyed this video,
2144560	2146560	Please hit the like button.
