start	end	text
0	2640	Hi there, would you like to sign my petition?
2640	9840	Colleges and universities are literally teaching teenagers that every white person is a racist.
9840	15840	♪♪
15840	18440	♪♪
18440	22160	Are you still worried about video game feminism?
22160	25480	Has your endless yelling and screaming for years about a lady you don't like
25480	29000	yielded no positive changes and only made the climate more toxic?
29000	34760	Are you starting to feel the darkness closing in as it turns out your ideas make no fucking difference
34760	36840	and the world isn't changing around you?
36840	40280	Well, maybe it's time to demand the academics you hate do it for you!
40280	41720	Sorry, not academics.
41720	43640	U-Universities.
43640	46040	What, like, as a concept?
46040	49320	Dear universities, please stop the bad people for me.
49320	53240	And you know they're bad because I paid someone else to draw propaganda—
53240	59880	Sorry, a realistic and rational cartoon of a woman telling institutions to stop the bad people for her.
59880	62760	And to stop whoever she is, we need you!
62760	64200	U-Universities.
64200	69640	We're calling for the teaching of social justice courses in universities to be temporarily suspended.
69640	71240	What follows is up for debate.
71240	72120	Oh, good.
72120	75800	Once universities have magically stopped all the things he doesn't like,
75800	77720	then we can have a discussion.
77720	80040	Not now. That would require too much effort.
80040	80760	Read the letter.
80760	82680	Ooh, don't mind if I do.
82760	83320	Oh—
83320	86360	(*laughing*)
86360	88760	He couldn't even be bothered.
88760	91400	There isn't even a list of which courses should be dropped.
91400	96440	It's literally just asking universities to please cancel social justice.
96440	102040	We need to stop these feminazi armchair slacktivists with a petition.
102040	103080	Oh, wait.
103080	107640	Okay, so Carl's reasoning might be poor, but luckily he recommends you read the comments on the petition.
107640	110440	And I'm sure that's a really convincing and great idea—
110440	112360	Wait, where's that music coming from?
112360	113720	Oh, no!
113720	115320	OH, NOOOOOO—
115320	120840	I sign because I really think social justice is killing the free speech and the free thought.
120840	122520	This is getting out of control.
122520	126680	At what point do you step in when someone is finally injured?
126680	127640	Finally—
127640	128760	Holy shit.
128760	135240	Expanding a dangerous wave of thought that spreads more racism and sexism than the one it wants to stop.
135240	137560	Switch and regressives need to stop.
137640	144760	Destructing the civilized world as we know it to build a new Orwellian dystopia for to free speech and the free thought.
144760	147640	What is happening in universities is despicable.
147640	151720	People running to safe spaces when they hear different opinions,
151720	155000	believing that the world and everyone in it is out to get them,
155000	158920	preventing anyone with conflicting ideas from organizing events.
158920	160840	The list goes on and on.
160840	167560	I believe the right to free speech matters more to the world than the feelings of so-called oppressed groups.
167560	170600	Ooh, what an edge-stir in Australia there.
170600	174680	I'm tired of being ordered to flagellate myself on the Altair!
174680	176520	I believe in free speech.
177800	182440	Martin Luther King Jr. once stated his dream of a world where his children would be judged
182440	186280	not by the color of their skin, but by the content of their character.
186280	192360	Clearly we've gone from one extreme end to the other, and King is rolling in his grave.
192360	197240	It's cult behavior, teaching original sin on a completely ignorant and new racist way.
197240	204280	Teaching students to be racist to oppose racism is the very sort of backwards logic that has no place in university.
204280	207160	Holy shit, Danielle Dutcher, what?
207160	209640	Salk justice is going too far!
209640	217400	I am signing because I am tired of hearing these stories about Eschew getting on their high horse
217400	220520	and doing horrendous things to everyday people
220520	224840	because they like to generalize and put people into groups!
227720	229240	Holy shit!
229240	234120	Social justice is becoming fascism, and it needs to stop!
234120	238120	I want to get this removed to help everyone I have meet in college!
238120	241240	Biology is sexist. Hashtag end sexual dimorphism.
241240	246360	That's just what little information these social justice teachers have pushed onto our impressionable youth.
246360	253560	Snoop Dogg says I am signing this because social justice is something that needs to be stopped.
253560	259160	If we do not nip social justice in the butt, the USA is screwed.
259160	260520	Oh no.
260520	264920	Oh my god, there's a lot of this. Holy shit, it just keeps going.
264920	267320	I'm a moderate fucking person!
267320	269320	I've never raped!
269320	271320	It's gone too far!
271320	278840	I'm signing because I enrolled in a sociology class but found myself in a leftist indoctrination ritual!
278840	280840	I care about the future!
281720	286520	Wait, half of these comments are complaining about how upset they are at being called racist.
286520	290440	These university courses are doing nothing but coddling these students
290440	298200	into thinking that literally everyone and everything is racist, sexist, homophobic, transphobic, and problematic.
298200	302680	And the other half are saying that feminists are the real racists because they're anti-white.
302680	306440	We were forced out of a basket of racist, sexist, and discriminatory ideas.
306440	309720	We were told that whiteness is evil. We were told that men are scum.
309720	313720	These people are evil, misleading, and manipulating racists and sexists
313720	317080	who need to be stopped from indoctrinating other people who are helpless.
317080	322600	Hey, guys, I know you're really mad about what you imagine feminists are like and you want to do something about that,
322600	330280	but maybe first you should get together and figure out if racism is wrong or who the real racists are?
330280	332680	I get kind of mixed messages when one comment says,
332680	335400	they call you racist to try to shut down your ideas,
335400	338440	and the next says, we need to shut down these racists.
338440	339720	Now, I know what you're thinking.
339720	341560	Because I can read your mind.
341560	345400	Isn't petulantly demanding institutions stop teaching things you don't like
345400	350600	literally the sort of thing probably Sargon and his fellow probably freethinkers like to pretend they're against?
350600	352520	As evidenced by this very image?
352520	353560	Actually, you're wrong.
353560	357560	The only way to be anti-censorship is to censor people I say are pro-censorship.
357560	360200	And you can believe me because I have the support of the people.
360200	362120	Oh, no, sorry. These are the fucking EDL.
362120	363720	The actual fucking EDL.
363720	365800	Sorry, I don't know how this footage got in the edit.
365800	366600	How do I stop this?
367400	369240	And Carl's totally trustworthy.
369240	373480	After all, people gave him over 8,000 pounds to make a video game and that's going swimming.
373480	374680	Oh, it was cancelled.
374680	376360	Sorry, I better forget that part.
376360	377560	What a surprise!
377560	381480	One of the de facto leaders of a group that claimed they were about ethics in game journalism
381480	383560	took money to not make a game.
