start	end	text
0	7940	♪
7940	9240	In June 2000,
9240	11480	Ion Storm released Deus Ex.
11480	13980	Deus Ex is one of the best games ever made.
13980	15820	Its engaging free-form gameplay
15820	17980	and complex storytelling quickly cemented it
17980	20160	as one of the true classics of the medium.
20160	25860	♪
25860	27500	So the developer went bankrupt.
27500	29800	If that line sounds familiar to you,
29800	31460	get used to it. Like, 12 more videos
31460	32460	are gonna start this way.
32460	34260	Eidos Interactive, the game's publisher,
34260	36600	was the 51% shareholder in Ion Storm,
36600	38060	so when the company closed its doors
38060	39840	and the creators quit or got let go,
39840	41500	the Deus Ex intellectual property
41500	43180	didn't belong to any of the people who,
43180	44440	you know, made it,
44440	46940	but to a bunch of executives at a publishing company.
46940	49040	Then Eidos Interactive's parent company,
49040	50040	also named Eidos,
50040	51720	which made researching this very confusing,
51720	54020	got bought and merged with another game publisher,
54020	55420	Sales Curve Interactive.
55420	57060	Then they hit major financial trouble
57060	59260	and realized they need to make games to survive
59280	61380	and opened a new development studio in Canada
61380	64060	which began development on the next Deus Ex game.
64060	65060	While that was happening,
65060	66720	things were going great at SCI.
66720	69120	Just kidding, it went so bad the CEO got fired.
69120	70120	To get a fresh start,
70120	72560	they renamed the company to Eidos.
72560	73560	Hold on a second.
73560	75060	Then they got bought again,
75060	76560	this time by Square Enix.
76560	78500	Square Enix said they were going to leave Eidos
78500	80400	to themselves, then changed their mind
80400	81900	and forcibly merged the company
81900	83700	with their European branch and oh, my God,
83700	86080	isn't the game industry so normal and fine?
86080	87780	While all of that was happening,
87800	89200	the team at Eidos Montreal
89200	91340	had to somehow make a video game.
91340	93980	The making of documentary for this new Deus Ex game
93980	96140	begins with a bunch of talk about how great it is
96140	98940	to work with Eidos from French-Canadian developers
98940	101020	wearing t-shirts with the Eidos branding.
101020	103980	Eidos has a very rich IP portfolio.
103980	106360	I mean, their projects are just great.
106360	107980	Their IPs are very rich.
107980	109560	Partway through, Eidos disappears
109560	112060	from the story completely because they stopped existing
112060	114560	and they suddenly had completely different bosses.
114560	117460	Being owned by Square Enix came with some benefits though.
117480	119680	They got to reference Final Fantasy a few times.
119680	122060	One of the bosses, a big guy with a gun for an arm,
122060	123520	got to be named Barret.
123520	125520	They put a poster on some character's walls
125520	127720	for a Final Fantasy 27, you know,
127720	129320	because it's the future. It's cute.
129320	130820	So it wasn't all bad.
130820	132200	Just kidding. It was bad.
132200	133820	The executives at Square Enix
133820	135900	weren't going to let them do this.
135900	137320	They didn't want to risk damaging
137320	138740	the Final Fantasy brand
138740	140120	any more than Kingdom Hearts already.
140120	142660	The team at Eidos Montreal had to argue their way up
142660	144240	the corporate chain of the business
144240	147380	that just bought them all the way up to Yoichi Wada,
147380	149880	the president and director of the entire company,
149880	152300	to get permission to put a funny poster
152300	154460	in the background of their game.
154460	157020	Deus Ex used to be a series that criticized
157020	159140	the bizarre machinations of corporations
159140	161340	so big no one knows who they're working for,
161340	164060	where intellectual property and brand management
164060	165520	mattered more than people,
165520	169100	a world where one company can own half your childhood,
169100	171520	a system governed more by tax incentives
171520	173400	and corporate subsidies than people.
173400	176940	It asked important questions about the future of mankind,
176960	179180	about who wielded power over others
179180	181260	and what their interests really were,
181260	183720	a story sometimes so accurate in its guesses
183720	186300	it seems less fictitious now than ever.
186300	190640	But then, many years and corporate acquisitions later,
190640	193480	comes Deus Ex Human Revolution,
193480	196640	the game that dares to ask the question,
196640	199360	what if we had robot arms?
199360	210800	♪♪
210800	213420	Deus Ex Human Revolution is pretty good.
213420	215420	It's fun. Yeah.
215420	217420	I have a tendency to make videos about things
217420	219420	I either really love or really hate,
219420	222020	so just to clear up any potential confusion here,
222020	224060	this game is fine. Good job, guys.
224060	226100	I'm about to spend, uh, oh, my God,
226100	227900	complaining about it, but I need to say,
227900	230680	this was the first game by a new studio,
230680	233140	and it was being made while they were being bought out
233140	236060	by Square Enix by a team that had never previously worked
236060	238520	on any games even remotely like Deus Ex.
238520	240160	I might not think the game is perfect,
240160	242820	but it is a genuine achievement that it's this good.
242820	244740	So why am I talking about it then?
244740	246460	That's a good question. Me?
246460	247740	Well, here's the thing.
247740	250540	The original Deus Ex belonged to a special subgenre
250540	252800	of games named the immersive sim.
252800	254660	In a sentence, immersive sims are games
254660	256960	that feel just that little bit more like worlds
256980	258160	you're taking part in.
258160	259980	They prioritized the player's freedom
259980	261700	to choose how to solve problems
261700	264540	and then dealing with the consequences of those choices
264540	267540	and being able to find creative and unexpected solutions,
267540	270000	often ones the developers themselves hadn't thought of,
270000	272080	by being built in a way that could respond well
272080	273420	to player creativity.
273420	274580	There's a lot of different ways
274580	276260	you can define an immersive sim,
276260	277880	but there's only one real one.
277880	280680	Can you solve a problem intended to be solved with a gun
280680	282920	by stacking a bunch of boxes and going over it?
282920	284920	In the late 90s and early 2000s,
284940	286980	immersive sims were coming out fairly often,
286980	288600	and people still look back fondly
288600	290020	on many of those games,
290020	293360	but then almost overnight, they disappeared.
293360	297600	An entire genre of games basically died out for years,
297600	298700	but a couple of years back,
298700	300200	we started to get more of them again,
300200	301860	and they're amazing and beautiful
301860	304160	and a lot like the games that people remember.
304160	307080	Human Revolution is a fascinating orphan of history.
307080	309540	It came out between the two golden ages
309540	311660	of the immersive sim when this type of game
311660	314160	wasn't considered popular or profitable enough,
314160	315280	so while they were making it,
315280	316780	the team made a lot of changes
316780	318780	to try and make it a bit like other games
318780	320040	people liked at the time,
320040	322420	trying to streamline it and make it more accessible
322420	323740	for a console audience.
323740	325540	I'll give you three guesses why they decided
