start	end	text
0	8400	If you watch any big movie trailer released in the last 150 years, as long as it's not a romantic comedy,
8400	14540	you can almost guarantee at some point the trailer devolves into a cacophony of motion, noise, explosions, and fights.
14540	19840	Action inherently tells a story. It's confusing, scary, visceral. Something is happening.
19840	23340	It demands your attention to try to find out what's going on and why.
23340	26160	These trailers continue to get made because they work.
26200	29020	If even one of these quick visuals catches your eye,
29020	35360	if one of those six frames of a lightsaber with a cross guard made of more lightsaber really catch your fancy,
35360	37460	that, my friends, is a ticket sale.
37460	41820	Hello, Pirate Bay? Two tickets to StarWars7.mp4, please.
42860	47000	But when you sit down and watch the film for real, what makes an action scene good?
47000	53300	I've watched at least ten films in my time, and I think I've isolated what makes a good action film down to two specific points.
53300	55500	In my experience, good action scenes
55500	57800	COMMUNICATE the action well.
57800	60600	In other words, the physical space of the scene and what's happening in it,
60600	66800	but also advance the story by developing the theme or providing characterization.
66800	70000	Let's start by looking at a film you've never heard of that does neither.
70000	76100	Death Wish 3 is a film about a man who protects the downtrodden by shooting a lot of bad people.
76100	82100	The action itself has a degree of viscera to it, blood, explosions, and so on, but it doesn't get across any particular ideas.
82100	87100	It's a man shooting people with his gun, and you know they deserve it because they dress evil and cackle,
87100	88700	and they're shooting at the good guy.
88700	90100	The violence is huge.
90100	95400	Kersey kills over 70 people on screen in this film, and he does it with an array of massive weapons.
95400	101800	In a good film, action is the result of story, and you're engaged in the action because you care about the characters.
101800	105600	Bad films have bad stories, or no stories at all, and uninteresting characters,
105600	108400	and try to regain your attention with the action.
108400	115000	This isn't a hard-and-fast rule, but when a film has to pull out an actual machine gun and a missile launcher to keep your attention,
115000	117900	that's an admission the film doesn't have any other way of doing it.
117900	122800	Numerous scenes are dedicated to telling you how cool the guns are just to make sure you know.
122800	125600	Oh, a .44 Magnum is a pistol cartridge,
125600	132100	and a .475 Wildey Magnum is a shorter version of the African big game cartridge.
132100	133600	Oh, is this not big enough for you?
133600	135200	How about this machine gun?
135200	137600	Here, look at it. Just look at it for a while.
137700	142500	No, really, there's literally a scene where a guy shows you the machine gun he has, and then they put it back.
142500	146900	Normally, you'd be getting invested in the characters and story, but instead the film has to stop and go,
146900	150400	No, keep watching. The action's coming, and it's gonna be big, we promise.
150400	155100	And then you actually get to the action, and, well, it's just the most uninterestingly shot action you can get.
155100	156900	Shot of Paul shooting he gun.
156900	158900	Shot of bad guys falling down.
158900	160800	Rinse. Repeat.
160800	162700	Dry your hands with the towel dispenser.
162700	166000	Oh, it's out. I'm gonna have to go into the stall and tear off a bunch of toilet paper.
166000	168900	There's one really good piece of action in the film, and it's here.
171600	175300	For 12 frames, this guy really knows how dead he is.
176800	180600	So not only does it not advance the story, but the action is uninteresting, too,
180600	183600	which is the cardinal sin of a crappy budget action film.
183600	188200	There's times when Death Wish Man talks to people, eats with them, and has a nice date with a lady half his age,
188200	191100	and we learn a little more about him and the people he's trying to protect.
191100	194000	But a good film would fuse action and characterization.
194000	196900	You'd learn about Death Wish Man while he was death-wishing
196900	200700	instead of having to stop everything and go have dinner with the nice people downstairs.
200700	204900	Death Wish 3 doesn't tick either of these boxes, but who cares about Death Wish 3?
204900	208800	Instead, let's look at The Avengers, one of the highest-grossing films of all time.
208800	212300	Avengers has some of the worst action scenes I've seen in my entire life.
212300	214500	This is my favorite scene to deconstruct.
216300	218900	It feels off, jarring somehow, doesn't it?
218900	220200	Well, here's why.
220200	222000	Obviously, their heads are nowhere near each other,
222000	223800	so they cut to this other angle for the headbutt,
223800	226300	since you can't see how far apart their heads are from here,
226300	228500	but because they've just cut from this angle,
228500	231400	it's really obvious to the viewer that she hasn't actually hit him
231400	233200	because we know how far apart they are.
233200	235100	It automatically reads as fake,
235100	237600	but then before it cuts back to the previous angle,
237600	240100	this henchman walks right in front of the frame,
240100	242900	so when they cut back to this angle, it's super jarring.
242900	246400	In these two shots, Black Widow flippy-doos off a guy to crush this guy
246400	249600	before he can go for his gun, which he presumably dropped.
249600	252000	I say presumably because whoever shot this scene
252000	255000	never shows if he has a gun or if he dropped it or where it went.
255000	256500	He's clearly reaching for something.
256500	259400	They seemingly accidentally obscured what he's reaching for
259400	262100	and forgot to get a pickup shot or put it in the edit,
262100	264500	but since I'm such a nice guy, I decided to help out.
264500	266800	Here's a shot of a hand reaching for a gun that was dropped,
266800	269100	and here's a shot of Scarlett Johansson reacting to that.
269100	272400	Feel free to edit this into the director's cut of the film, Joss,
272400	276300	unless you're too busy smoking Whedon.
276300	277700	Oh, cut this part out.
277700	281200	In other words, the scene fails to communicate what's happening in it.
281200	284000	The editing and cinematography are ridiculously jarring.
284000	285900	Why is this shot sideways?
285900	287600	Why is it back to normal? What?
287600	288800	It's sideways again.
288800	290200	Please help me.
290200	292200	Avengers is hurting my brain.
292200	294400	Mistakes like this are all over the series.
294400	297200	It would be too easy to blame Joss Whedon or Jimmy Huzitz
297200	299500	or whoever directed the nightmare that is the Hulk reboot.
299500	301200	Heck, the cinematographer for this scene,
301200	303500	the worst scene in film history, let me remind you,
303500	307500	is Seamus McGarvey, who also did the 2014 Godzilla film,
307500	311300	a.k.a. the best looking thing ever made before Fury Road came out.
311300	312500	So the guy's not an idiot.
312500	314500	The sheer consistency of these mistakes
314500	316400	leads me to believe that the deeper problem
316400	318300	is with a large company trying to put out
318300	320400	a huge, cohesive, expanded universe
320400	322700	comprising over a dozen movies and counting.
322700	324500	Inevitably, the production is either rushed
324500	326200	or reined in by the corporate types
326200	327500	trying to keep the whole thing together
327500	331100	and on track for 2018 when phase 7 billion starts.
331100	332200	Stoke for Avengers?
332200	334000	I hear Marvel got really hands on this time.
334000	335800	They really pinned in Joss Whedon creatively,
335800	337400	so how could that go wrong?
337400	340200	Ironically, this was the problem with Death Wish 3 as well.
340200	341900	The film was produced by the Canon Group,
341900	344100	famous for rushing all aspects of production
344100	347700	and being run by two of the most cinema-illiterate people of all time.
347700	350000	So what kind of stories can a director unhemmed
350000	353100	by the need to fit a giant pre-existing production pipeline do?
353100	354900	Here's the part where I talk specifically about
354900	357400	Quentin Tarantino for far too long, sorry.
357400	359400	But that's because Tarantino is really good
359400	361200	at telling a story using action.
361200	362600	I mean, look at this famous shot
362600	364100	where you don't even see what's happening.
364100	365700	The camera slides away,
365700	367300	screams, music,
367300	369700	and eventually, Mr. Blonde enters the frame
369700	372500	carrying a fake plastic human ear.
372500	374600	He hasn't just put this guy through something awful.
374600	376100	He's put you through it too
376100	378000	by making you imagine it happening
378000	379700	instead of simply showing it to you.
379700	382800	This makes the audience reflexively hate Mr. Blonde.
382800	385400	It makes you wish that someone could save the cop.
385400	387500	And the fact that now you care
387500	389800	and now you're invested,
389800	392700	that's one of my favorite things that can happen in cinema.
392700	394700	Don't! Don't! Don't!
403400	405300	This is made surprising because the camera work
405300	407300	does everything it can to avoid reminding you
407300	409000	that Mr. Orange is in the room with them.
409000	410200	Even when it pans away,
410200	412600	Mr. Orange would be lying on the ground right down there,
412600	415100	but they angle it just right so you don't see him.
415100	416400	You forget he's there.
416400	419000	This makes the re-emergence of Mr. Orange into the scene
