start	end	text
0	2500	We need to save Tracer's victory pose.
2500	4300	The feminazis are coming to get us!
4300	6800	Oh no, he's too sexy! Change him!
6800	8080	Change him! EEEEH!
8080	10700	["Metal Gear Solid 3 Main Theme"]
10700	11400	["Metal Gear Solid 3 Main Theme"]
11400	14300	An argument I see fairly often is that male characters in video games
14300	17500	set just as many ridiculous standards for men as their female counterparts
17500	19400	and are objectified just as much.
19400	22200	So the question is, objectified by who?
22200	25800	To understand objectification, we really need to understand power fantasy.
25800	28600	A power fantasy is designed to make you feel powerful.
28600	30400	Stop me if I'm going too quickly for you.
30400	34200	Games are especially good at this because player interaction gives a sense of direct involvement
34200	35400	in the events on screen.
35400	39000	You get to pretend you're the muscle man badass inside your flicker box,
39000	42300	and given that you're literally controlling their actions, you kind of are.
42300	44800	When beated in God of War, the player doesn't say,
44800	48600	"'Oh dear, Kratos, the character over whom I exert control has been killed,'
48600	49300	they say,
49300	50500	"'I'm dead!'
50500	51300	I'm dead.
51900	54000	Noooo! They killed me!
54000	56500	The player is encouraged to identify with Kratos
56500	60400	and vicariously feel the effects of his actions, which they literally control.
60400	64800	And together, the player helps Kratos get his various flimsily justified revenges
64800	68400	by being very good at committing killicide on a variety of fantasy creatures
68400	70000	and having sex with ladies.
70000	72500	The game even gives you an achievement for it, as if to say,
72500	74500	"'Yeah, well done. You did it.'"
76500	79600	He's also ridiculously buff because it's nice to briefly pretend
79600	82000	to be someone the opposite sex might find attractive.
82000	85300	But is Kratos an actually, objectively attractive character?
85300	88800	Or is he merely what the creators and players might think is attractive?
88800	92400	There's the old joke that men grow beards in order to try and look more attractive to women,
92400	96900	but their newfound hirsute pursuits tend to only get them compliments from other straight men.
97300	101100	Brad Pitt thinks he looks really cool in this picture,
101100	104300	but women think Brad looks really cool in this picture.
104700	107000	Is it generalizing to say women don't like beards?
107300	110400	No. No women like beards. They all hate them.
110400	113900	If you say you like beards, you are wrong! You hate them!
113900	115500	Obviously, there are lots of tastes out there,
115500	120700	but would you say a majority of wombs or gams want to go out on the town and run into this guy?
120700	122900	Watch out! He might score you an achievement,
122900	127100	but he might tie you to a gear and murder you just to keep the washroom open.
127100	129900	Kratos doesn't set ridiculous standards for men
129900	134200	because the objective is to make the male player feel like they already are that person
134200	135900	through the simulation of the game world.
135900	140000	Let's stop and think for a moment about how players view their avatars as they play games.
140000	141300	Let's look at Bayonetta.
141300	145800	In Bayonetta, the plot is laid out in such a way that Bayonetta engages with it directly,
145800	147300	but you don't.
147300	150400	Two hours in, they're still introducing characters you haven't seen before,
