start	end	text
0	2000	Ah.
2640	4640	You know, if there's one thing the Internet needs,
4680	10000	it's about 20 to 30 more hot takes on why the new Ghostbusters no one's seen is bad.
10500	12500	Oh, hey, what's this?
14920	16480	That's a David Serrini video.
16480	21640	I said I wouldn't do any more stuff about him because people who focus on the same thing over and over are really weird,
21640	23640	you know?
23640	33140	You know, I just realized I am really weird. Plus, I've been looking for an excuse to open the vodka.
43560	45560	As they say in Russia,
46800	48800	Na zdorovie, eschews.
48800	60800	That's right, when he's not busy diagnosing his former business partners with serial killer or acting entitled to other old writers as they try to distance themselves from him,
60800	65800	David Serrini has some deep analytical thoughts about a Ghostbusters film he hasn't seen.
65800	69800	I wonder what amazing insights he'll bring to the table. Let's check it out, shall we?
69800	76800	The problem with Ghostbusters 2016 is that the main cast is all female.
77800	80800	You've gotta love the guy's honesty.
80800	88800	The reason Ghostbusters doesn't work with a female cast is because at the core, it is a male story.
88800	92800	Yeah, only men can hunt for ghosts. I'm sure he's about to justify this.
92800	94800	Now I'd like to step back for a moment.
94800	96800	No, he just leaves it hanging. Okay.
96800	103800	Davis then goes into detail about how the term strong female character is a misnomer because women are less physically strong than men.
103800	109800	Strength, physical strength, is one of the defining aspects of masculinity.
109800	112800	When you contrast the sexes, there's no contest.
112800	117800	Ignoring for a moment that the Ghostbusters' physical strength has never been one of their central characteristics.
117800	120800	In fact, they're mostly characterized as science nerds.
120800	122800	I collect spores, molds, and fungus.
122800	125800	The average man is stronger than 95% of women.
125800	130800	This is why I find the phrase strong female characters so interesting.
130800	135800	It sets women up to fail, competing in an arena where men are the superior sex.
135800	138800	And as we all know, that's the only definition of strong there is.
138800	140800	There's no alternative meanings.
140800	144800	Dictionaries are part of the reptilian agenda to make people understand what words mean.
144800	154800	Or it requires that they be empowered by the director, who winds up giving superhuman abilities to 120-pound Scarlett Johansson.
154800	158800	This results in cognitive dissonance for the audience.
159800	161800	That's right, cognitive dissonance.
161800	163800	Davis has finally done it.
163800	169800	After years of testing, he's finally found the most unbelievable, unrealistic member of the Avengers.
169800	170800	The woman.
170800	176800	And as we know, presenting women as strong and good at fighting is a recipe only for box office disaster.
179800	181800	See? She's weak.
181800	185800	So she, like all weak fools, has to compensate by using a gun.
186800	189800	Someone who's strong is someone who's powerful.
189800	192800	But strength isn't the only form of power.
192800	196800	In Game of Thrones, neither Tyrion nor Varys are strong physically.
196800	201800	And yet both of them are powerful and admirable despite physical weakness.
201800	205800	Ah, I see. Davis finally recognizes that the term strong has multiple meanings.
205800	208800	You can be strong without being physically strong.
208800	210800	But wait a second.
210800	214800	If you don't have to be physically strong to be strong, why do you have to be male?
214800	216800	Men are good at some things.
216800	218800	Women are good at different things.
218800	219800	What are women good at?
219800	223800	Davis doesn't say here, but I think he addressed this in his Star Wars article.
223800	225800	Women bleed on the birthing bed.
225800	228800	This short documentary is pretty hilariously self-defeating,
228800	231800	but it's not quite perfect because it's mostly still images
231800	235800	interspersed with footage borrowed from someone else's music video.
235800	237800	It's lacking what most of the rest of his videos have,
237800	241800	namely a long, uncut shot of Davis gesticulating to the camera
241800	244800	while pretending to sip his whiskey every time he thinks he's made a hot take
244800	247800	or needs to stop to think of what he's going to say next.
247800	249800	Why is it a problem now?
253800	257800	For someone who manages to never go 30 seconds without taking a sip,
257800	259800	he doesn't seem to actually consume much of it.
259800	262800	I've pointed this out before, but it's a truly amazing talent.
262800	264800	You'd think you'd absorb some through osmosis
264800	267800	if you touch it with your lips constantly for 20 minutes,
267800	271800	but no, this is just how real manly men drink alcohol.
271800	273800	By not drinking it.
273800	275800	I'm a big boy now.
275800	277800	And maybe I'm crossing a cultural boundary here,
277800	282800	but who puts four or five huge pieces of ice in a nice whiskey like that?
282800	284800	That completely removes the taste and the aroma.
284800	286800	You might as well be drinking water.
286800	288800	So let's return to Ghostbusters.
288800	290800	The real Ghostbusters.
290800	292800	Oh, yeah!
293800	295800	Oh, man, I love the real Ghostbusters.
295800	297800	It was my favorite show when I was growing up.
297800	299800	I was born a year after it went off the air,
299800	302800	but I've been nostalgic for other people's childhoods my whole life.
303800	304800	Oh.
305800	307800	No, he just made a very poor choice of words
307800	309800	when describing the original Ghostbusters film.
309800	310800	Oh, okay. Fine.
310800	313800	What's this movie really about?
313800	315800	When you strip away all of the makeup,
315800	319800	the setting, the ghosts, the gags, and the big-name actors...
319800	321800	If you ignore everything about the film,
321800	323800	apart from the fact the main characters are male,
323800	325800	then Ghostbusters is about being a man.
325800	327800	Beat that, feminists!
327800	330800	What is the kernel of narrative that you find?
332800	335800	It's a movie about four friends putting together a small business
335800	338800	and the difficulties they have to deal with.
338800	341800	This is a masculine story at its core.
341800	344800	He doesn't even say what made the original film good.
344800	347800	He openly admits he's ignoring everything about the film
347800	350800	except the physical sex of the principal characters,
350800	352800	then makes a vague statement about the story
352800	355800	being about four friends starting a business together.
355800	356800	That isn't even accurate, either.
356800	358800	The film's about three friends starting a business,
358800	361800	and Winston is a new recruit they hire later,
361800	364800	so even his summary of the original film is wrong.
364800	367800	But based on this reductive, misremembered plot outline,
367800	371800	he then concludes that this premise simply could not work if there were women.
371800	373800	Women don't start businesses.
373800	375800	The reason it's a masculine story
375800	380800	is because of the psychological inheritance we received from our ancestors.
380800	383800	Men evolved to go out and prove themselves to women,
383800	386800	to take big risks, to bite off more than they can chew.
386800	389800	Women evolved to find security in the home environment
389800	392800	so that they could raise their children successfully.
392800	394800	Of course it's about having children!
394800	396800	That's what women are for, am I right, guys?
396800	397800	So did the men.
397800	400800	Because of this, our ancestors were the risk-taking men
400800	403800	who would do something like gamble on Ghostbusting
403800	405800	Ghostbusting being a successful business model.
405800	408800	Therefore, we weren't evolved to be Ghostbusters, Davis!
408800	410800	Ghosts do not exist!
411800	413800	Etsy, what?!
420800	422800	Women were evolved for Etsy!
422800	425800	And men were evolved to be Ghostbusters!
425800	426800	...reasons for this.
426800	428800	Reasons that are so obvious I won't even...
430800	432800	But when it comes to Ghostbusting...
432800	434800	...undermines the conflict.
434800	436800	We're gonna go back.
436800	440800	Ghosts and magic nuclear proton packs I can suspend my disbelief about,
440800	443800	but WOMs opening a ghost-hunting business?
443800	444800	Come on!
444800	446800	Where'd you study evolutionary biology, Davis?
446800	448800	The university of your own mind?
448800	451800	Roosh Legalize Rape V's Internet Forum?
451800	453800	Now, I'm sure that's my academic bias.
453800	455800	You don't have to have a degree to know this stuff.
455800	457800	I'm sure he cites his sources to support the idea
457800	460800	that running a business is an evolutionarily male thing in the descri...
