start	end	text
0	15480	Oh, I'm definitely not going to get this video finished on time.
15480	19520	Happy holidays, friends, enemies, frenemies and splenemies.
19520	45440	Paris Bomberguy here, and I'll see you in the next video.
45440	47140	Okay, right, I can explain.
47140	49040	I recorded the Halloween segment of that video
49040	51280	as a funny joke about how it takes me a while
51280	55400	to make videos, and then I actually missed last Christmas.
55400	57520	So here we are in the apocalypse.
57520	61760	Let's all watch last year's Christmas video.
61760	63740	This year, now that it's done,
63740	67640	this means I technically got a seasonal video out on time,
67640	69400	which means I'm good at my job.
69400	70740	Fuck you.
70740	73240	I'm just chilling out here in my house,
73240	76180	enjoying the best that the clearance aisle had to offer.
76180	80080	This Fortnite Funko Pop Tower Recon Specialist.
80080	83080	Okay, this tasteful Coraline mug
83080	85000	you can drink out of Coraline's head.
85000	87800	Start off your morning routine with Coraline.
87800	90440	Uh, not dishwasher or microwave safe.
90440	93440	And this friend's makeup set where every color
93440	96440	is a reference to a show that ended 15 years ago.
96440	98120	Fukuyama was right.
98120	101800	History ended in 2004 when Rachel got off the plane.
101800	104200	And yes, I'm actually going to give this as a gift
104200	106560	at my family's secret Santa this year.
106560	109280	I guess you know who got you your gift, Luke.
109280	110800	I hope you've seen friends.
110800	113400	I also hope you'll stop being such a Ross.
113400	115160	Ah, but the sad thing is,
115160	116760	when I give my family these gifts,
116760	119160	which are as good as they deserve, on Christmas Day,
119160	122720	I won't even be allowed to say Merry Christmas as I do it
122720	127040	because of the liberal, communist, atheist conspiracy
127040	130600	to destroy the Christian religion by eroding its traditions.
130600	133160	Political correctness, whoever that is,
133160	137640	literally says it's racist to say Christmas now.
137640	140000	At least that's what I reckon is happening.
140000	141760	And that's the same thing as checking.
141760	144440	Our culture is being crushed underfoot
144440	147760	by radicals who want to destroy polite society
147760	149520	to achieve their own ends.
149520	154400	Oh, those hecking, gosh darned, flipping bastards.
154400	156320	Christianity comes under attack.
156320	157520	There's a war on Christmas.
157520	159880	They outlawed Merry Christmas a few years ago,
159880	160720	and you know it.
160720	164640	Christmas becomes ever more about shallow displays
164640	166280	of political correctness.
166280	168280	Happy holidays, not Merry Christmas.
168280	171400	Kids no longer have Christmas vacation, holiday vacation.
171400	173520	Christmas parties, holiday parties.
173520	175720	The war on Christmas.
175720	176960	Whoever's watching this right now,
176960	178240	think of something you love
178240	180800	that brings you a sense of peace and decency,
180800	183720	and they will somehow link it to the patriarchy
183720	186400	and the rest of their politically correct nonsense.
186400	188280	Christianity is being bigoted against.
188280	189320	We're under attack.
189320	192280	You couldn't even say Merry Christmas at Walmart.
192280	194080	Obama said Merry Christmas a few times,
194080	196320	but he still made sure to neuter the Christmas cards
196320	198760	and also the Christmas decorations at the White House.
198760	201760	What we're seeing happening has been a recent phenomenon,
201760	204760	the war on Christmas, the war against religious liberty.
204760	206680	Of course it's a war on Christmas.
206680	211040	Christmas has lost all meaning thanks to cultural Marxism.
211040	213280	Ah, it's those bloody cultural Marxists
213280	214760	ruining everything again.
214760	216800	That's why society's getting worse.
216800	218920	It can't possibly be because of the policies
218920	220760	of the people who keep getting elected.
220760	223000	But don't worry, peace-loving citizens.
223000	225080	I'm here to lead the charge in fighting back
225080	226960	against these imaginary ghosts,
226960	230160	so grab a slice of anonymous holiday meat
230160	233480	and settle into your festive-season Anderson shelter
233480	236040	before the political correctness bombs hit
236040	238480	because it's time for the war on Christmas.
238480	240920	Ooh, I won.
240920	243280	Ho, ho, ho!
243280	244680	Merry Chri-
244680	245960	Whoa!
246960	248440	In most Western countries,
248440	250840	the winter season plays host to many religious
250840	252120	and cultural traditions.
252120	253520	Some people say the phrase,
253520	255440	happy holidays, exists as a way of trying
255440	257560	to be more inclusive to other people's traditions
257560	259840	in the modern era, but this is inaccurate.
259840	262120	I did literally five minutes of Googling
262120	265800	and found happy holidays being used as far back as 1863,
265800	267480	and who knows how far back further
267480	268720	it would have turned out to have gone
268720	270880	if I'd done any more research.
270880	273000	It turns out that people like to have
273000	275200	more than one phrase to say.
