start	end	text
0	7960	Are you worried about video game feminists?
7960	13520	Well now, for the low, low price of $15,000 a month for an undisclosed amount of time,
13520	18280	you, yes you, can be a part of gaming history and make two dudes have more money than before.
18280	23360	Help Jordan Owen and Devo Sarini afford a new camcorder and maybe some fucking makeup.
23360	25520	She's a professional victim, I tell you.
25520	28160	She fled her home and she's a professional.
28160	32800	Those things are technically, it's technically accurate, goddammit.
32800	33800	$15,000.
33800	39080	Why would I waste money on a mere feature-length documentary when I can watch Jordan Owen ranting
39080	43160	on his couch about Anita Sarkeesian for 14 fucking hours for free?
43160	47040	But now we have to go on the run, the feminists drop Davis in the forest and he doesn't want
47040	49480	to get dirt on his turtleneck.
49480	52760	Come on Davis, we have to, no, stop lecturing me about ethics, we have to get out of here
52760	57160	and can you please stop trying to start a forest fire?
57160	58160	$15,000.
58160	62880	I can't wait to be told what to think by this guy, I mean, he has such amazing thoughts
62880	64200	about ethnic minorities.
64200	71760	You should be absolutely furious with the niggers, not the blacks, the fucking niggers.
71760	77000	Whites had been working for the past several hundred years to eliminate slavery throughout
77000	82480	the globe and even when we bought the black slaves, we treated them extremely well.
82480	89880	Oh, of course he has a trilby, of course, why wouldn't he?
89880	93920	I mean, what else would you hang on your novelty toy skull?
93920	94920	$15,000?
94920	100120	But don't worry though, these guys are totally cool with women, hell, women love them, they
100120	101800	get plenty of ass.
101800	103160	At the strip club.
103160	108040	And I'll tell you right now, my favourite dancer at my favourite club is Molly at Tattletales.
108040	109560	Go look her up and you'll find out why.
109920	113920	But enough of that bullshit, all this talking about murdering video game women's making
113920	120880	me Ayn Randi, if you know what I'm fucking saying, that was a pun.
120880	125160	Being befuddled to talk about objectivity, the hottest legs in Atlanta just walked down
125160	126160	the sidewalk outside.
126160	129240	What did the guy they were attached to have to say for himself?
129240	131440	$15,000 a month.
131440	136000	If Atlas shrugs any harder, he'll fall off his dad's fucking couch.
136160	140120	$11 billion Canadian US dollars.
140120	146360	This should be the kind of thing that people are mobilising over.
146360	152560	We should be out in the streets, en masse, destroying video game feminism.
152560	155040	Yeah, you're really fucking out there right now.
155040	159080	Is that Corinthian leather or did you make it out of all those fucking belts?
159080	160080	What?
160080	163080	Why are there belts in the corner?
163080	164080	$15,000.
164080	170440	David Serrini has a fucking blog.
170440	172680	Oh, sweet.
172680	176520	He's a master of text, not just audio and visuals.
176520	179400	A better class of people hiked up those mountains.
179400	183760	Politics just melt away, leaving a bunch of fat, pasty white guys.
183760	187440	The colour just melted right off all my black friends that I totally have.
187440	190160	Actually, they didn't want to go hiking with me for some reason.
190160	193120	On paper, I have nothing against white nationalism.
193120	197520	I am a huge white nationalist on paper.
197520	199760	This guy knows exactly what women are like.
199760	205080	Women in our culture have become the most decadent sluts since the fall of Rome.
205080	209040	Going out for gang bangs every weekend and despising the men that would actually treat
209040	211760	them with love, dignity and respect.
211760	212760	$15,000.
212760	214840	But enough about women, let's do some Bible study.
214840	218520	So, a series of videos on theology.
218520	222160	I don't think these are going to be the most popular videos I ever record.
222160	224920	Not the plastic fucking niggers.
224920	230560	So it starts out, Eve allows herself to be tricked by the serpent.
230560	237360	Any of you men out there with experience with women, know that women are so prone to this.
237360	239320	They want to be seen.
239320	242760	The Bible, the number one authoritative source on women.
242760	245600	Oh my god.
245680	248680	Oh my god.
248680	249680	Holy shit.
249680	250680	It just keeps...
250680	251680	Holy fucking...
251680	252680	$15,000.
252680	262080	Don't get him started on Karl Marx, a guy who's worked, he's totally red.
262080	264000	You see it with the Marxists.
264000	268160	The Marxists say the capitalist class stole all the money.
268160	273640	So we're going to go burn down their houses and rape their children and torture them and
273640	279240	hang them and take their property, then we'll have a socialist utopia.
279240	283480	He knows, he knows, he knows.
283480	285720	$15,000.
285720	291280	My opinion is so expensive that wearing normal clothes wouldn't do it justice.
291280	296440	If you give me $15,000, I'll be able to make a suit out of money and that will justify
296440	297440	my opinion.
297440	298440	Okay, fuck it.
298440	302280	I'll watch one more of these and then I'm just going to forget these guys.
302280	303280	Hold on a second.
303360	304840	Is he playing the Sims while he..
304840	305840	Holy f...
305840	306840	What.
306840	307840	What the fuck.
307840	308840	What?!
308840	309840	What?
309840	310840	How many of those do you...
310840	311840	He moves it between shots.
311840	312840	He just keeps...
312840	313840	Oh my fu...
313840	314840	I'm crying.
314840	315840	I'm dying.
315840	316840	I'm dying.
316840	317840	Holy fuck.
317840	318840	I'm dying.
318840	319840	Holy fuck.
319840	320840	I'm dying.
320840	321840	Holy fuck.
321840	322840	I'm dying.
322840	323840	I'm dying.
323840	324840	Holy fuck.
324840	325840	Holy fuck.
325840	326840	I'm dying.
326840	327840	What the fuck?
327840	328840	What?
328840	329840	What?
329840	330840	What?
330840	331840	What?
331840	332840	What?
332840	333840	What?
333840	334840	I'm dying.
334840	335840	I'm dying.
335840	336840	I'm dying.
336840	337840	I'm dying.
337840	338840	I'm dying.
338840	339840	I'm dying.
339840	340840	I'm dying.
340840	341840	I'm dying.
341840	342840	I'm dying.
342840	343840	I'm dying.
343840	344840	I'm dying.
344840	345840	I'm dying.
345840	346840	I'm dying.
346840	347840	I'm dying.
347840	348840	I'm dying.
348840	349840	I feel like I should say something at least semi-serious in this if people are going to
349840	350840	end up watching this.
350840	354840	In one of his videos, David Sorini openly admits that whenever he says anything that
354840	359140	sounds even vaguely progressive, he gets a bunch of shit off of white nationalists.
359140	363820	Like, they see him saying something that's not pro-white people, and they get pissy with
363820	364820	him.
364820	369740	Obviously, this is a terrible thing, and the people who do that are the worst kind of scum,
369740	374020	but the real question is why so many white nationalists watch his videos in the first
374020	375020	place?
375020	379540	Like, have you considered that maybe you're attracting the wrong audience when you talk
379540	384580	about how bad black people are, or women in general?
384580	385580	Come on now.
385580	389940	I actually, like, watched through some of that stuff, so I could make some kind of long-winded
389940	397740	fucking 40-minute rebuttal, but all I could f- it- all you can do is laugh.
397740	401340	You don't- you don't need to bother, like, it's-
401340	407940	I can't- I can't believe there's fucking skulls all over the place.
407940	409260	I hope it's not real.
409260	411140	Oh my god, is it real?
