start	end	text
0	5700	Austin Jorgensen's series Lisa is one of those cult hits,
5700	9900	the kind where it's quite genuinely formed a cult of people who are really into it,
9900	13600	but not many people outside the in-group really know that much about it.
13600	16100	This is probably because it's hard to talk about.
16100	17900	It's got a lot of really funny moments,
17900	21900	some excellent examples of great writing or perfect comedic timing,
21900	23700	but unlike, for example, Undertale,
23700	27800	the story's content has some pretty gruesome and uncomfortable material.
27800	31400	It enters into an artistic territory where you'd need to know someone pretty well
31400	33200	to feel okay recommending it to them.
33200	36000	It explores themes that can be quite difficult to talk about
36000	38700	and which plenty of people quite justifiably don't want to,
38700	42100	and the game is too good at focusing on what it wants to be about
42100	44900	that you can't ignore it and just focus on something else.
44900	48500	There's a process in modern game discourse I like to call memification.
48500	52300	To be a little bit cynical, if you wanted to for easy clicks,
52300	55300	there are some games you can invent reasons to talk about if you need to.
55300	58900	The game's story and themes are loose and friendly and open enough
58900	61500	that you can reapply the critical lens over and over
61500	65300	and always have a new, somewhat facile element to explore for an audience.
65300	67700	You can speculate for all time about some games
67700	70100	if they have certain features that make it easy to do so.
70100	72800	You could even do a needlessly in-depth analysis
72800	76500	of one character's relationship with anime.
76500	78100	No way, that one was mine, wasn't it?
78100	80200	But when someone like that attempts to play Lisa,
80200	85100	a game whose themes are unavoidable and specific and beautiful and horrific and sad,
85100	86900	the best one could say is,
86900	88800	this reminds me of Undertale.
88800	92600	The only way to relate the experience through such a critically dysfunctional perspective
92600	96700	is by using the lens of one of the two or three games you can talk about endlessly
96700	99500	before going back to talking about them endlessly.
99500	102900	Also, um, Lisa came out quite a bit before Undertale.
102900	103700	Just saying, man.
103700	107600	This is not a criticism of Undertale or the pretend-to-think-about-games economy,
107600	110000	although I guess on some level it kind of is both of those.
110000	113100	Rather, I'm laboring to point out that Lisa doesn't get talked about too much
113100	117500	because by its nature, the reasons why it's good can be hard to talk about.
117500	119700	With that in mind, I'm going to talk about it here
119700	122600	and spoil aspects of the plots of all three of the games
122600	125800	while not specifically summarizing them in explicit detail.
125800	129700	I would highly recommend pausing the video here and playing the games for yourself.
129700	131500	They're all either cheap or free,
131500	133100	so there isn't much of an excuse not to,
133100	136000	and I don't want to preemptively ruin your experience.
136000	138400	See you in, I don't know, 20 hours?
138400	141900	♪♪
141900	145800	Most people probably at least vaguely know of Yume Nikki or Dream Diary,
145800	148400	a free game made in an early version of RPG Maker
148400	151800	in which you control a girl named Madotsuki who refuses to leave her room.
151800	154400	Instead, she can go to bed and enter her dreams.
154400	156100	The game is light on plot,
156100	160700	instead relying on exploration and curiosity about the dream worlds you visit and how they work.
160700	163000	You can collect items which have some uses,
163000	166100	but I wouldn't really say the game has puzzles, per se.
166100	169500	It functions more as a dream itself, floating from area to area
169500	172700	as interesting and sometimes random events happen at you.
172700	175500	The game's well-known largely because of some of these events,
175500	178700	like when hitting a light switch sometimes makes this face appear.
178700	181400	♪♪
181400	184800	This face probably made Yume Nikki popular,
184800	187500	and this has a 1 in 64 chance of even happening.
187500	189500	I, uh, actually had to steal this footage.
189500	191200	While the game doesn't really have a plot,
191200	195400	it has buckets of story if you feel like interpreting the ideas it throws at you.
195400	197600	Consistent imagery of car crash victims,
197600	200900	grasping hands, staring eyes, being chased,
200900	204100	the sudden outbursts of quite scary visuals and music.
204100	207000	The reasons Madotsuki doesn't want to go out into the world for real
207000	209400	are made astonishingly clear in her dreams.
209400	212800	The game is, really, an exploration of one character's psyche
212800	215700	and what they think about in their most unguarded moments.
215700	218100	People think they can escape into their dreams,
218100	220100	but you bring your mind with you,
220100	223700	and if the thing you're trying to escape from had such a big impact on you,
223700	225400	you're not getting away so easily.
225400	228600	While the game is often praised for being weird or random,
228600	231200	Yume Nikki has a good deal of clarity of purpose
231200	232600	and probably resonates with people
232600	236300	because the experiences and ideas it explores are almost universal.
236300	240400	Almost everyone knows something bad could happen to them if they went outside,
240400	242700	so playing to the paranoia that can come from that
242700	244900	reaches a lot of people in parts of themselves
244900	246400	they don't often realize are there.
246400	249500	Yume Nikki was pretty impactful for a free RPG Maker game.
249500	253400	There's several fan games and even more original but overtly inspired works,
253400	256400	and one of them is Lisa, now called Lisa the First.
262400	266900	Lisa is a story about a girl trapped in an abusive home trying to imagine her escape,
266900	270500	but even in her own imagination, her experiences follow her everywhere.
270500	273600	The similarities are already clear, but the differences are interesting.
273600	277600	Trying to find an escape does involve collecting and using various items to progress,
277600	280000	which is a little more direct than how Yume Nikki does it,
280000	282200	but the themes are also much more direct,
282200	284100	making them somewhat more impactful.
284100	287300	Almost every character is portrayed by Lisa's abusive father,
287300	291000	and trying to play to the bizarre whims of this rather singular cast
291000	293500	is in its own way kind of depressing and scary.
293500	295800	I'd recommend people play as much of the game as they can
295800	297900	until they find a puzzle they don't know how to solve
297900	300900	or get sick of dying to the spiders with the father's face on them
300900	303800	and then watch a playthrough of someone who knows what they're doing on YouTube.
303800	305500	It doesn't really hold up as a game,
305500	309000	but as a story, as an exploration of a mind, as an atmosphere,
309000	311200	it's emotionally quite an experience.
311200	313900	An idea that starts here and prevails throughout the series
313900	317400	and is one of its best features is the reuse of music from previous areas,
317400	318600	but at different speeds.
327200	329400	These stories put you in the mind of characters
329400	331800	whose psyche is damaged by their experiences,
331800	335200	and having even the music second-guess your memory of how it sounds
335200	336700	is really disconcerting.
336700	339100	It's cool getting the opportunity to see a work
339100	341200	very openly inspired by something else,
341200	343900	but also full of elements unique to itself.
343900	346400	Or should I say you-may-neek to itself?
346400	347400	What am I talking about?
347400	350600	The ending terminates disturbingly with this game over screen,
350600	353100	and this is actually the last we ever physically see of Lisa
353100	355100	in a series named for her,
355100	357000	though characters have visions of her everywhere
357000	359400	and her presence looms large in the rest of the story.
369100	373300	♪
373300	376400	Lisa, the Painful, also made in a version of RPG Maker,
376400	378800	has a very different approach entirely to storytelling
378800	380700	and more traditional RPG elements,
380700	383500	and what's surprising about it is that this doesn't distract
383500	385500	from giving the player an emotional through-line.
385500	389300	RPGs have a tendency to sharply divide their gameplay and story.
389300	392300	You level your characters and gather equipment and items and fight
392300	395300	and then reach the next story beat in the form of a cutscene.
395300	399000	Quite often you see fans of the expansive scope and story of RPGs,
399000	401800	but who aren't hugely into the parts where they have to battle monsters
401800	403600	or level grind between those bits,
403600	406100	or the opposite where they might even skip the story
406100	408000	to get to the part that engages them better,
408000	409300	the actual gameplay.
409300	412200	If you like both, you kind of have to like them separately
412200	413700	on different levels from one another
413700	416700	because they're ultimately very disparate aspects of the game.
416700	419600	The Painful's greatest quality is that it does everything it can
419600	421600	to be a synthesis of both of these elements,
421600	423700	making them complement each other so directly
423700	426100	that you can no longer really delineate them at all.
426200	428300	All the most involving story moments
428300	430700	also have direct importance on gameplay.
430700	432800	Losing all your characters or a party member
432800	434300	or having to play Russian roulette
434300	435900	and risk literally losing characters
435900	438900	to random chance to continue can be devastating
438900	440600	in the same way that in several battles
440600	442900	it's possible for a character to straight-up get killed
442900	443900	instead of KO'd.
443900	447800	♪
447800	450200	♪
450200	453300	By inflicting all the deaths and loss of the story
453300	454600	on the player mechanically,
454600	457200	by genuinely taking away everything they'd found
457200	458500	or characters they play with,
458500	460500	they're forcing the player to experience
460500	463100	the story aspects of the game on a direct level.
463100	464400	When something bad happens,
464400	466600	it's not just bad because you theoretically care
466600	467700	about these characters.
467700	470200	It's bad because you need those people
470200	471900	and you want those things.
471900	473600	Stop taking my things!
473600	476100	Speaking of things, those things are important.
476100	477400	Take, for example, firebombs.
477400	478500	They do a ton of damage
478500	480400	and inflict the fire effect on your enemies
480400	482300	and are very useful in boss battles
482300	484500	or with bigger fights against larger groups
484500	486900	or if you've already lost a lot of party members.
486900	490000	You might actually genuinely need the items you can find
490000	491400	as opposed to a lot of RPGs
491400	493200	where most of the stuff feels optional
493200	495400	or just, like, another potion or something.
495400	497200	This causes the player to invest more
497200	498700	in trying to find these things
498700	500200	which makes the game more engaging
500200	502700	and very effectively puts you into the role
502700	504900	of someone scavenging a broken wasteland
504900	506300	for anything of value.
506300	508900	I made a video last year exploring ludonarrative,
508900	511100	the idea that while games can have stories,
511100	513400	the actual story was the player's experience
513400	515300	of the game itself through its mechanics
515300	518500	and really engaging games forge an emotional perspective
518500	519600	for the player to occupy
519600	521500	through good execution of those mechanics
521500	525100	and Lisa might be the best game I've ever seen at this.
525100	527600	It's one of few games where I've had a bad outcome,
527600	529400	lost someone permanently in a hard fight
529400	530900	a long way off from my last save
530900	533700	or almost all of my party to Russian roulette
533700	535900	and continued because I'd come so far
535900	537600	and didn't want to have to go all the way back
537600	540400	or worse off, had no idea how much worse it would be
540400	541600	if I tried again.
541700	544000	I save scum like a madman in games when I can,
544000	545800	like I have a folder on my hard drive
545800	548800	full of Darkest Dungeon and XCOM saves just in case
548800	551800	but Lisa makes pressing on despite what comes by you
551800	553300	feel like the right thing to do
553300	556000	and always makes it inconvenient enough
556000	558000	that the alternative, loading a save,
558000	560700	feels like a punishment itself that you want to avoid.
560700	562700	You have to press on because the last save point
562700	563800	was way back there
563800	566500	and who knows how many people you'll lose next time.
566500	568200	There are several points where the player is told
568200	570600	to make a choice between losing everything they have
570600	572900	or a person's life or one of Brad's arms.
572900	575600	These choices aren't reversible and can't be worked around.
575600	577800	Losing one or both arms permanently alters
577800	580200	the mechanics and abilities of the one party member
580200	581400	you'll always have,
581400	583000	losing a party member whose abilities
583000	584800	you probably need to survive,
584800	587000	losing all the firebombs and equipment
587000	588300	keeping you alive.
588300	590100	These are all choices that are difficult
590100	592900	and each genuinely make the game harder.
592900	595400	You actually want, because of the game's mechanics,
595400	597200	to keep all of these people
597200	599700	because they're relevant not to the game's story
599700	602200	but to your ability to get through the game
602200	604200	and this means being forced to choose
604200	607500	is more painful than most other decisions in video games.
607500	609300	If these characters were just other characters
609300	611000	in the story that was also happening
611000	613800	while I was playing an unrelated RPG in fights,
613800	615100	this wouldn't have mattered at all,
615100	617200	but when someone threatens Terry,
617200	619700	your best friend, more on Terry later,
619700	621500	that means something.
621500	623900	These characters have mechanical value to the player
623900	626500	who might well have come to rely on them in fights.
626500	628700	Fascinatingly, most of the characters in your party
628700	631400	in Lisa don't matter to the main story whatsoever,
631400	633400	but I cared more about their survival
633400	635500	because they were important to me.
635500	637500	Having to choose to go without items to keep them
637500	639300	or learn to press on without them
639300	641200	because losing all your healing items
641200	643500	and money and firebombs just isn't manageable
643500	646100	is a real choice that you have to account for.
646100	648900	I can imagine having characters or items taken away
648900	650700	being frustrating for some players,
650700	653400	but it's absolutely fitting to this one story
653400	656700	and I do think that frustration is itself compelling.
656700	659100	The same way that having to send Simpsons hentai
659100	661000	to the brothel to keep them from losing their mind
661000	663000	completely was in Darkest Dungeon.
663000	664800	There's also a lot of random events
664800	667000	that trigger when you sleep to recover your health,
667000	668900	events like losing party members
668900	670000	and having to get them back
670000	671800	or everyone getting badly poisoned
671800	673200	or just stuff getting stolen.
673200	675800	These sorts of things create a quite genuine paranoia
675800	678800	in the player because, again, you want all that stuff.
678800	681800	You learn to only take the risk when you really need to,
681800	684300	and this paranoia puts you into the same sort of mindset
684400	686800	as Brad who sees Lisa everywhere,
686800	688400	looking down and judging him.
688400	691200	This, again, builds on a mechanic from Yume Nikki.
691200	692800	Random events happened in that game,
692800	695700	but they didn't affect the gameplay all that much
695700	697600	and they didn't even really affect the story
697600	699200	unless you're a pretentious weirdo
699200	700700	who likes to read into things.
700700	703200	Lisa builds a universe where you can randomly lose
703200	706500	someone important to you and that's scary and threatening
706500	709000	and makes you afraid to go to sleep in the game,
709000	711300	and while that's not technically a fair mechanic,
711300	713500	it's a powerful mechanic
713500	715300	and that's actually more important
715300	717200	than the game being balanced or fair.
717200	720000	The gameplay and story exist to get across the same ideas
720000	721500	and do it by affecting each other
721500	723900	in much more direct ways than most RPGs.
723900	725300	There's even a section where,
725300	727200	upon being told to choose between losing
727200	729700	what will probably be at that point your second arm
729700	731600	or losing all your items,
731600	733600	you have the third option of asking the character
733600	735100	why they're doing this to you,
735100	737300	and while you're briefly offered the chance
737300	739000	of seeing past this facade,
739000	741800	he then takes both your arm and all your items
741800	744100	as a seemingly purposeful attack on games
744100	745300	that offer easy ways out,
745300	747400	where you can sweet-talk your way past a choice
747400	748500	that it should have been hard.
748500	750100	The player is punished for believing
750100	751400	it would be so simple.
751400	754000	While it would have been easy to load a save here,
754000	755000	the first time through the game,
755000	757100	it felt so right for this to have happened,
757100	760200	to be punished for trying to avoid making a hard decision,
760200	762200	that I pressed on to the end regardless.
762200	764500	The game's use of tons of different status effects
764500	765800	with their own particular challenges
765800	767700	is also really fun, by the way.
767700	769100	They can be devastating,
769100	771000	meaning the player has to work to deal with them
771000	772400	instead of trying to muscle through it
772400	773900	by being higher leveled
773900	775700	or dealing as much damage as they can
775700	776700	and hoping that's enough,
