start	end	text
0	13160	♪♪
14440	17880	Christmas and New Years are always a time of sadness and horror for me.
17880	19660	Not because I don't get on with any of my relatives.
19660	22600	They're great and I've forgiven them for almost all of their crimes.
22600	26400	No, the last decade of holidays have been a nightmare for me
26400	31880	because I've had to prepare for yet another knife in the back of Doctor Who.
31880	35160	I mean, who can forget the Christmas Invasion
35160	38360	in which the Doctor farts around in bed for 40 minutes
38360	42840	and then at the end he wakes up and has a sword fight in his pajamas with Bloodskull Man.
42840	44280	That's his name. Don't go and check.
44280	46960	Partway through the fight, he loses a hand, but not really.
46960	49000	It comes back and he wins.
49000	51160	Yay! Woo!
51160	55640	Oh, by the way, that hand turns out to be an incredibly important plot device 22 episodes later,
55640	58040	so I hope you were paying attention on Christmas Day.
58040	59920	Oh, and 16 episodes after that,
59920	62480	the Doctor doesn't want to change his appearance while regenerating,
62480	65040	so he pours his excess energy into the hand
65040	67280	and it forms a new version of the Doctor
67280	69840	who goes off to live with Rose in an alternate universe.
69840	74480	Look, all I'm saying is this Christmas special has a lot to answer for
74480	76080	and it will not be forgiven.
76080	79360	I've brought you...
79360	80720	No second chances.
80720	83240	["Jingle Bells"]
83240	86240	["Jingle Bells"]
86240	87400	["Buzzer"]
87400	90280	Or who can forget the 2007 Christmas special,
90280	91480	Voyage of the Damned,
91480	94160	which is set on the Titanic but in space
94160	95960	and Kylie Minogue is in it
95960	97880	and there's robot angels
97880	101640	and they portray the Doctor as a literal messiah figure
101640	103360	on Christmas Day.
103360	108640	This episode incurred criticism not only from fringe religious groups for, you know, this,
108680	113720	but also from the last living survivor of the actual Titanic.
113720	117840	But a spokeswoman for the show insisted no offense was intended.
117840	121320	Voyage of the Damned is set on a spaceship called the Titanic
121320	122840	and not a boat.
122840	126120	This year, however, might at least prove to be the last
126120	128840	bizarre Christmas nightmare I'll have to endure
128840	132320	because this year is the end of Stephen Moffat's...
132320	135920	occupation of the Doctor Who showrunner position.
135920	138320	His regime is ending.
138320	141560	And that means this year might truly be cause for celebration,
141560	144520	even more than spending time with your loved ones.
144520	147720	Let's take a look at Moffat's final episode of the show
147720	150680	and then speculate about what Doctor Who can get up to
150680	153560	now that it's finally free of his grasp.
153560	156800	["Jingle Bells"]
156800	159040	It-it talks if you press it,
159040	161800	but in the last take, I, like, threw it at the camera
161800	164360	and it hit the ground and stopped making the noise.
164360	166080	So we're gonna have to roll that take now.
167080	172080	["Jingle Bells"]
172080	177080	["Jingle Bells"]
177080	182080	["Jingle Bells"]
182080	183080	["Jingle Bells"]
183080	184080	["Jingle Bells"]
184080	185080	["Jingle Bells"]
185080	187080	If you've seen my Sherlock video,
187080	189080	which, um, I think a couple of you might have done,
189080	191080	you'll already know that Moffat's relationship
191080	192080	with Doctor Who is lifelong.
192080	194080	He was a fan of the original series
194080	196080	and he wrote the children-in-need charity spoof
196080	198080	of Doctor Who, which was actually the first appearance
198080	200080	of the Doctor on television for quite some time.
200080	202080	It ended, perhaps fittingly,
202080	204080	with the Doctor regenerating into a woman.
204080	206080	Now, when I saw this years ago,
206080	208080	I thought, wow, wouldn't that be nice?
208080	210080	But I realize in retrospect,
210080	213080	after reading some recent comments by Moffat,
213080	215080	that this, to him, was meant as a joke.
215080	217080	And, of course, my sonic screwdriver.
217080	220080	Oh, look, it's got three settings.
220080	222080	Doctor, stop that!
222080	225080	Ha-ha, the Doctor keeps dying in silly little ways
225080	226080	and regenerating.
226080	228080	What's the next comical thing he can regenerate into?
228080	230080	Oh, a woman. Ha-ha-ha.
230080	231080	Oh, I imagine.
231080	233080	A woman Doctor, that's a laugh, right?
233080	235080	Back before Moffat was showrunner,
235080	237080	when all he'd done was work on several
237080	239080	critically praised comedies
239080	241080	and the best episodes of the show so far,
241080	243080	and that one other really, really bad show,
243080	245080	which we pretended didn't happen, you know,
245080	247080	we did him a favor, it was easy to interpret
247080	249080	having the Doctor regenerate into Joanna Lumley
249080	251080	as this cool, progressive thing,
251080	254080	like, hey, why not have a female incarnation?
254080	257080	But Moffat's actual intent is made much more clear
257080	259080	by closer inspection and, of course,
259080	261080	by his more recent statements.
261080	264080	This isn't a show exclusively for progressive liberals.
264080	266080	This is also for people who voted Brexit.
266080	268080	That's not me politically at all.
268080	271080	But we have to keep everyone on board.
271080	273080	I haven't actually met a Scottish person before.
273080	275080	Okay, firstly, credit to Stephen
275080	277080	for recognizing the mysterious correlation
277080	279080	between people who voted Brexit
280080	282080	with a female Doctor, but secondly,
282080	284080	isn't it telling that he views
284080	286080	casting a woman as a move
286080	288080	for progressive liberals?
288080	290080	Like, is that really the only reason
290080	292080	anyone would ever think
292080	294080	to cast a woman in this role?
294080	296080	Moffat's approach rears its head in the special itself
296080	298080	with the first Doctor's, shall we say,
298080	301080	ironic sexist comments?
301080	303080	Older gentlemen, like women,
303080	305080	can be put to use.
305080	307080	You can't say things like that.
307080	309080	Look how silly this old man is being.
309080	312080	Hey, remember casual misogyny? Hilarious.
312080	314080	Look how far we and the Doctor have come.
314080	316080	But writing like that loses its appeal
