start	end	text
0	7200	You know, it's been pretty great over the last couple of years developing something of an audience, you know, a following and YouTube subscribers and
7720	12320	fans and people on Twitter who want to know what I have to say about stuff.
12720	16560	But to be honest, it's getting kind of annoying. I'm kind of sick of having them.
17160	21240	So I thought the best way to get rid of them would be to start a new YouTube video series
21540	27040	exploring the theory and philosophy and politics of various aspects of film that I feel aren't explored enough.
27200	31360	That should do the trick and along the way I might remind people of some of my more
31840	37400	contrarian opinions like the fact I think the Star Wars prequels are actually pretty good. Stuff like that. I just did it then, didn't I?
38440	40680	Welcome to Scanline.
57040	69960	If you're older than the age of 20 or have parents that don't throw things out,
70280	74160	then you probably have at least a couple of these things in an attic or a shed somewhere.
74720	80860	These are video home system cassette tapes, commonly known as VHS tapes. They entered use in the late
81320	86200	1970s and were a very popular way of watching films and TV shows in your own home anytime you wanted,
86200	89280	which for the time was a really novel and new concept.
89280	92360	With SelectaVision, you can go to the movies at your house!
92360	96160	I know this because I looked it up on the Wikipedia page when I was writing this script.
96160	98760	But let's get into what the world's largest ence,
99280	102440	Lie-clopedia, doesn't want you to know.
107760	113120	If you weren't in front of the TV when a show aired or hadn't gone to the cinema when a film was out, your primary
113280	118360	interaction with most pieces of modern entertainment and culture would have been through the medium of VHS.
118640	125360	Almost every piece of audio-visual art you consumed, no matter what it was made with, shot on, or how advanced the budget and special effects,
125360	129680	you saw it via the signal produced from the magnetic reels in these plastic boxes.
129680	133440	If you fell in love with a story, it was probably thanks to these tapes.
133760	136680	It's a pity, then, that they look like shit.
137160	141760	A standard PAL VHS recording consisted of roughly 320 horizontal lines and
142400	144400	576 vertical lines of visual information.
144720	148680	Worse, you wouldn't actually be getting your films at that resolution.
148680	151680	Since most films were produced in wide or super wide screen,
151680	155040	but VHS was for the 4x3 resolution of contemporary televisions,
155040	157160	you had a problem even showing a film.
157160	161520	You could crop out the sides of a film and move the screen around, what's called pan and scan,
161520	166200	which could totally ruin the story of films where multiple things were happening on different sides of the frame,
166200	169440	or you could scale the whole thing down and add black bars to the top and bottom,
169680	172160	creating what was called the letterbox effect.
172160	176200	On the pan and scan version of A New Hope, the opening text crawl doesn't fit the screen,
176200	179240	so you have to wait until it gets here before you can even possibly read it.
179240	183880	In the widescreen version, you can see the entire line of text as soon as it enters the frame,
183880	186480	but it's scaled down, so it's just as hard to read.
186480	190640	I always really liked the scene from Aliens where Burke is trying to be friendly with Ripley in hospital,
190640	195160	so he brings Jonesy in and sits backwards in his chair and spins playfully in it while the camera pulls in
195160	199200	and gets more intimate, so he can then tell her that she's been frozen for 57 years.
199200	202360	There's lots of good moments of subtle acting and characterization,
202360	207440	and I like the cinematography of this cool sci-fi room, and there's a cute cat in the frame, too.
207440	212520	The pan and scan version of this scene just barely manages to get both characters in the frame at once.
212520	217800	It completely removes a lot of Burke's body language as he tries to be nice while preparing to break the news to her,
217800	219800	and poor Jonesy's head is cut off.
219800	221920	Jonesy isn't in this film after the beginning.
221920	224800	Does Jonesy over here look happy with pan and scan?
224800	226840	I don't think he does, but I can't actually tell.
226880	229920	Even worse, because of the vile machinations of capitalism,
229920	232880	the first preferred solution by movie studios was pan and scan,
232880	234800	so they sold all the films like that,
234800	239120	and then, once they figured out that directors hated having their films recut to fit the new frame
239120	243320	and widescreen was basically objectively superior because it displayed the entire film,
243320	248720	they got to sell you the films all over again with the promise that this time it was better.
248720	251520	Now, for the first time on video,
251520	256640	you can savor the true experience of these blockbusters in their original format.
256640	258200	Widescreen.
258200	260440	My copy of the Aliens special edition—
260440	262920	sorry, the Aliens special edition?
262920	265360	Apparently I bought this tape from a xenomorph?
265360	269560	Opens with a commercial for the widescreen versions of Alien and Die Hard.
269560	270840	Fuckers.
270840	274520	And guess what? This version of Aliens is in pan and scan!
274520	276880	This is already the special edition of Aliens,
276880	281760	and now you're telling me I'm gonna have to buy it again when the widescreen special edition comes out?
281800	287600	20th Century Fox? More like 22nd Century Weyland-Yutani?
287600	288800	I'm sorry.
288800	290080	And that was it.
290080	292440	That was how people watched films.
292440	296080	They picked their poison between a tiny version of the original film
296080	302680	or a recut, reframed, gutted, despicable, cat-erasing version of the original,
302680	306280	and whichever one you picked, you got it in this flickery format.
306280	309720	You got this facsimile of the film that you wanted to see.
309720	312160	And that was how we consumed media.
313400	315280	For decades.
315280	321240	Some versions of the above-average fantasy film series Star Wars only ever widely existed on this format.
321240	325280	Many fans of Star Wars all over message boards and forums and my mentions
325280	328880	fell in love with the films because of tapes they rented or bought.
328880	329960	Because of this.
329960	331280	But wait a minute.
331280	334200	We can talk about specs and make fun of the video quality all day.
334200	337560	People still watched them, people still used them to record shows off the TV,
337560	340400	and people still shared and circulated those recordings.
340400	343560	Thanks to people wanting to see things and needing tape to do so,
343560	348880	homemade tapes are still the only way to find copies of shows that weren't available in any official format.
348880	353680	Many episodes of Mystery Science Theater didn't get a proper release for years after their initial air date,
353680	355080	and many still don't.
355080	358560	Prior to high-speed internet, the only way of accessing these old episodes
358560	362520	was through home recordings people happened to have made at the time the show aired.
362520	365640	You'd be amazed at what hoops folks would jump through to see a show they liked,
365680	367800	even on a low-res home tape recording.
367800	372400	And what if you were a fan of anime in the era prior to major home video releases of foreign animation?
372400	377040	Why, you would have to hope you knew a store with crazy import stuff with really poor fan translations
377040	382320	or hope someone had taped the shows that did make it over at the crazy times they turned up.
382320	384400	In retrospect, the format wasn't great,
384400	387520	but it was certainly good enough for audiences who wanted to watch something
387520	389880	in the comfort of their own homes whenever they wanted to,
389880	393520	and it was basically the first format that allowed people to do this.
393520	397840	It led to widespread consumption of material that would otherwise be forgotten or go unseen.
397840	400320	In the 70s and 80s, for the first time ever,
400320	404040	a regular person could have an archive of shows or films they enjoyed
404040	407400	without having to get a projector and go in search of film reels on eBay,
407400	412160	which would be really hard to do, considering that eBay didn't exist until 1995.
412160	415280	A person could learn about and consume elements of their culture
415280	419000	and develop an understanding of film so much more easily than the decades prior.
419000	423800	In fact, Quentin Tarantino and Kevin Smith worked in local video stores before becoming directors,
423800	427240	giving them an opportunity to further incubate their own passion for film
427240	429000	as well as share it directly with others
429000	433960	before going on to make some of the most influential films, for better or worse, of the 1990s.
433960	438000	The advent of VHS ushered in a new era of accessibility for film fans.
438000	442240	Tastes in film and appetites for film could be developed much more rapidly than ever before.
442240	446120	It marked the beginning in a radical and permanent shift in media consumption.
446120	449240	You were no longer reliant on what was playing in your local multiplex
449240	452760	or what old French films the weird art schools were projecting that month,
452760	455480	and you no longer had to adhere rigidly to TV schedules
455480	458960	or catch films or TV shows deigned worthy of being shown.
458960	461760	The shift was so radical that film companies panicked.
461760	465440	Then-MPAA head Jack Valenti, in an act of comical hyperbole,
465440	469160	said in a congressional hearing that the VCR is to the American film producer
469160	473400	and the American public as the Boston Strangler is to the woman home alone.
473400	477160	Universal Studios even sued Sony on the grounds of copyright infringement
477160	479640	over their Betamax video recording format.
479640	482880	Luckily, it was ruled that home recording devices operate under fair use,
482880	488240	and of course, once film companies realized how profitable home video could be, they backed off.
488240	491200	Many films started being made with their sales on the burgeoning
491200	494560	and seemingly never-endingly hungry VHS market in mind,
494560	497480	or even without the intent of ever being screened in a theater.
497480	499200	Some were barely even films.
499200	502960	They were instructional videos or Christmas-themed cat nightmares
502960	507160	or musical propaganda for a Christian cult that lived in the woods.
507160	511560	Lots of popular films did well on tape, but still others did hugely well on tape,
511560	515400	more so than you could expect from their cinematic release or critical reception.
515400	517200	The question here is why.
517200	523200	What is it about being available on VHS that made people suddenly become connoisseurs of horror or independent film?
523200	525080	Well, those reasons tend to get overlooked.
525080	526360	Let's look at some of them right now.
526360	528640	[♪ Music begins to fade out ♪
529600	533920	When making the film Jaws, which would come to be regarded as the first ever summer blockbuster,
533920	536760	Spielberg and co. discovered some problems with the shark prop,
536760	541600	a prop many would regard as quite important in a film about a shark that eats people.
541600	544600	The animatronics kept breaking down, bits kept falling off of it,
544600	547400	and most importantly, it kept sinking.
547400	550880	The fake shark had trouble floating in water.
550880	554840	Spielberg instead had to rely on using shots of almost everything but the shark
554840	556920	to demonstrate the horror of its presence,
556920	561280	show the aftermath, show explosions of blood in the distance, show the actor's reactions.
561280	565240	The result was a film where you barely ever get to see the animatronic shark,
565240	567280	but its presence is felt regardless.
567280	571160	The shark is rendered even scarier by not being shown in all its glory,
571160	573880	and its glory wasn't really all that much to see anyway.
573880	576520	It was a broken mechanical shark.
576520	581600	Toby Hooper's Texas Chainsaw Massacre is an incredibly startling and foundational film in the horror genre.
581600	585320	When James Fuhrman, a British censor and secretary of the BBFC at the time,
585320	589800	tried to cut the film to reduce its violent and nightmarishly oppressive atmosphere,
589800	593640	he found, to his own personal shock, that he couldn't.
593640	596680	There isn't all that much actual violence or blood in the film.
596680	600760	There are no single pieces or shots you could remove to diminish its effects.
600760	604600	Instead, it's a cumulative effect of all the properties of the entire film
604600	609080	in setting a tone and creating a mood without needing to show you anything in particular.
609080	613080	In the end, the Texas Chainsaw Massacre was refused a certification by the BBFC,
613080	615560	effectively banning it in the United Kingdom.
615560	618760	What these stories tell us is that even in visual mediums,
618760	620920	supposedly all about showing people things,
620920	623960	for achieving some effects, often less is more.
623960	626840	The human mind is incredibly good at scaring itself,
626840	630520	and sometimes not being shown what you're supposed to be scared of is the worst thing.
630520	635400	Confusion settles in, fear of what could be there, what could happen fills your head,
635400	637960	and your imagination, with its own particular fears,
637960	640520	gets to substitute those over whatever's actually there.
640520	644680	Texas Chainsaw Massacre did fantastically well when it was released in 1981,
644680	647400	allowing many Brits access to the film for the first time,
647400	649080	but many horror films did well on tape,
649080	651880	even if they relied much more on gore or were poorly cut,
651880	655240	and this is because of a particular form of this principle.
655240	656920	Let's think about VHS again.
656920	659720	That awful, tiny resolution, flickery screen,
659720	662040	even pure blackness is off-kilter.
662040	664360	If you walked into a room with this playing,
664360	669160	you might even think you're watching a scene of something hiding in darkness.
669160	672680	I bet you can almost make out a figure hidden there in all the noise.
672680	674440	You see where I'm going with this now, don't you?
675080	680360	Here's Alien, one of the best, most emotionally intense and scary films ever on VHS,
680360	684120	and through these tapes, Alien was flipping terrifying.
684120	688440	I remember being out of my mind scared by this low-res monstrosity,
688440	690760	and it wasn't just because of the great acting,
690760	693240	directing, editing, creature design, or music.
693240	696280	It was because in all the tensest and darkest moments,
696280	699320	you could never really quite be sure what you were looking at.
699320	702520	Abstract shapes in the background could almost look like something else.
702520	704280	The flickers and noise in the darkness
704280	706760	were easily confused for glimpses of the monster.
706760	709000	Even when you were sure nothing was there,
709000	710760	you could never really be sure.
710760	714040	When the monster actually turned up, it was almost a relief.
714040	716840	Like, at least now, you knew where the creature actually was.
716840	718600	-♪ You never let it go ♪
718760	720760	-♪ You never let it go ♪
720760	721800	Dallas?
721800	724520	In other words, a lower-resolution format
724520	727320	can increase the emotional impact of a scene.
727320	731160	Horror and suspense have the chance to strike people like it never had before.
731160	733400	No wonder films like this did well.
733400	736280	In some ways, modern high-resolution versions of these films
736280	738840	can't quite capture that particular magic.
738840	740760	Here's a scene from the Blu-ray version.
740760	743160	It looks great, but it's not as scary
743160	746360	because you can quite definitely see that nothing's there.
746360	749880	You know the character is alone in ways that you couldn't be certain of before.
749880	752280	Really good films actually put this principle into practice
752280	753720	within the medium itself.
753720	756520	For example, Alien and Aliens both have sequences
756520	759240	that prominently feature the use of cameras and video feeds
759240	760680	with a very poor signal.
760680	762920	Even if the higher-resolution version of the film
762920	764840	does diminish some of the horror elements,
764840	768040	these segments still hold up exactly like they always did
768040	770600	because the effects of viewing low-resolution video
770600	772600	are worked into the aesthetic of the film.
772600	775480	As a kid, David Cronenberg rotated his TV antenna
775480	777560	to pick up signals he wasn't supposed to access
777560	780120	late at night when there wasn't supposed to be anything on the air.
780120	784040	Well, what if the images that you pulled up
784040	789320	were really quite extreme, disturbing, possibly illegal,
789320	791000	and what would you think then?
791000	793880	Would you keep seeking out those channels
793880	796600	or would you call the police or what would you do?
796600	798200	How would you respond to that?
798200	801880	The fear and excitement he felt in anticipation of what he might see,
801880	804600	that fear of what was out there hidden in the static,
804600	806280	inspired him to make Videodrome,
806280	808200	so at least one great horror film
808200	811000	was conceived entirely because of this effect.
