start	end	text
0	5440	The largest things in the universe are black holes. In contrast to things like
5440	10040	planets or stars, they have no physical size limit and can literally grow
10040	14040	endlessly. Although in reality, specific things need to happen to create
14040	18560	different kinds of black holes, from really tiny ones to the largest single
18560	25040	things in the universe. So how do black holes grow? And how large is the largest
25040	27480	of them all?
30000	38840	This video will not discuss how black holes work or how they form, since we've
38840	42880	looked at that in detail in our black hole and neutron star series. You can
42880	47040	check them out afterwards. For now, we're interested in finding the largest thing
47040	54200	in the universe. Let's start really, really small. Primordial black holes. The
54200	59080	smallest kind of black holes may or may not exist. If they do, they're probably
59120	64240	the oldest objects in the universe, older even than atoms. They would have formed
64240	68520	just after the Big Bang, when the universe was so dense with violent energy
68520	72120	that any tiny pocket that was just slightly more dense than its neighbors
72120	76880	could produce a black hole. The smallest primordial black hole that could still
76880	82240	be around would be a trillion kilograms or so, the mass of a big mountain. And yet
82240	86960	they would be no bigger than a proton. A primordial black hole with the mass of
86960	91240	Earth would barely be larger than a coin. This makes them very hard to find,
91240	96520	so we haven't actually observed any yet. If they exist, they may even be the
96520	101680	mysterious dark matter that holds galaxies together. Let's move on to the
101680	108120	kinds of black holes that we know for sure are out there. Stellar black holes.
108120	112960	To make a black hole, we need to compress enough matter so that it collapses into
113080	118800	itself. After that, the more mass we throw at it, the larger it becomes. In today's
118800	122620	universe, only the most violent cosmic events can create the necessary
122620	126720	conditions, such as the merger of neutron stars or when the core of a very massive
126720	131680	star collapses in a supernova. To have a unit to work with here, we'll use the
131680	137800	mass of our Sun, about 2 million trillion trillion kilograms. The smallest known
137800	142320	black hole has 2.7 times the mass of the Sun, which works out as a sphere
142320	147480	around 16 kilometers in diameter, large enough to cover Paris. Another
147480	153760	lightweight black hole is the companion to the V723 Mon red giant star. This star
153760	159080	is 24 times larger than our Sun, 30 million kilometers in diameter, and yet
159080	165320	it's thrown around by a tiny black hole just 17.2 kilometers wide. This tiny
165320	169600	thing bullying the star is so much smaller that we can barely even show
169600	176160	them in comparison. One of the largest known stellar black holes is M33 X7. It
176160	182040	currently spends its time eating a 70 solar mass blue giant bit by bit. As all
182040	186080	that stolen matter circles towards the black hole, like water going down a drain,
186080	190480	friction heats it up to temperatures high enough to shine 500,000 times
190480	198160	brighter than our Sun. And yet, X7 is only 15.65 solar masses and 92
198160	204160	kilometers wide, just big enough to cast a shadow on Corsica. To grow much larger,
204160	208640	black holes have to either devour a lot of stars, or better, merge with one
208640	212920	another. The instruments that make it possible to detect these mergers are
212920	217940	very new, so we're currently discovering a lot of exciting things, like two
217940	222600	massive black holes that we detected in a galaxy 17 billion light-years away. As
222600	227160	they spun around each other violently, they released more energy in the form of
227160	231120	gravitational waves than the combined light from all the stars in the Milky
231120	237640	Way in 4,400 years. The new black hole they formed is about the size of Germany
237640	245720	and is 142 solar masses. And here, we hit a curious gap in scale. There are lots of
245720	251080	black holes up to 150 solar masses, and then there's nothing for a long time,
