start	end	text
0	5360	Hello everybody. Today we're doing something different. An exclusive preview.
6080	10800	We'll listen to the introduction and a chapter from the Kurzgesagt book Immune,
10800	15840	a journey into the mysterious system that keeps you alive, written by Kurzgesagt founder and
15840	21840	head writer Philip Debmer. It's about the epic story of the immune system, the most important
21840	26400	thing you don't know enough about, and will forever change how you think about your body.
27040	31840	Immune will be released on November 2nd and you can pre-order it right now.
32640	38240	Links in the description. So now, get comfy for a rare audio-only experience.
41120	41840	Introduction
44400	50080	Imagine waking up tomorrow feeling a bit under the weather. An annoying pain in your throat,
50080	55360	your nose is runny, you cough a bit. All in all, not bad enough to skip work, you think,
55360	58960	as you step into the shower, pretty annoyed about how hard your life is.
59600	64560	While you are totally not being a whiny little baby, your immune system is not complaining.
65200	69920	It is busy keeping you alive so you can live to whine another day.
69920	74880	And so, while intruders roam your body killing hundreds of thousands of your cells,
74880	80720	your immune system is organizing complex defenses, communicating over vast distances,
80720	85920	activating intricate defense networks, and dishing out a swift death to millions,
85920	91600	if not billions of enemies, all while you are standing in the shower, mildly annoyed.
93040	99200	But this complexity is largely hidden. Which is a real shame, because there are not many things
99200	105840	that have such a crucial impact on the quality of your life as your immune system. It is all-embracing
105840	110880	and all-encompassing, protecting you from bothersome nuisances like the common cold,
110880	116480	scratches and cuts, to life-threatening stuff from cancer and pneumonia to deadly infections
116480	122800	like COVID-19. Your immune system is as indispensable as your heart or your lungs.
122800	128560	And actually, it is one of the largest and most widespread organ systems throughout your body,
128560	131200	although we don't tend to think about it in these terms.
131200	137760	For most of us, the immune system is a vague and cloud-like entity that follows
137760	143760	strange and untransparent rules, and which seemed to sometimes work and sometimes not.
144320	150160	It is a bit like the weather, extremely hard to predict and subject to endless speculations
150160	156320	and opinions, resulting in actions that feel random to us. Unfortunately, many people speak
156320	161280	about the immune system with confidence, but without actually understanding it. It
161280	168080	can be hard to know which information to trust and why. But what even is the immune system,
168080	174240	and how does it actually work? Understanding the mechanisms that are keeping you alive as
174240	180320	you read this is not just a nice exercise in intellectual curiosity, it is desperately needed
