start	end	text
720	6480	The desire to be free from the limits of the human experience is as old as our first stories.
7040	14000	We exist in an endless universe, only bound by the laws of physics, and yet our consciousness
14000	20320	is trapped in mortal machines made of meat. With the breathtaking explosion of innovation
20320	26800	and progress, for the first time the concept of leaving our flesh piles behind and uploading our
26800	34080	minds into a digital utopia seems possible, even like the logical next step on our revolutionary
34080	40880	ladder. Mind uploading and digital immortality are some of the core themes of the game Cyberpunk
40880	47520	2077. It plays in a grim dystopian future where humanity has progressed far beyond today's
47520	54240	technology and explores what this could mean for humanity. About a year ago, CD Projekt Red asked
54240	58800	us if we would like to make a video about some of these ideas and we were immediately on board.
59360	65520	So, let's explore this topic together. Is it possible to upload your mind into a computer?
66320	68400	Well, it's complicated.
77200	83360	Upload what exactly? Mind is one of those words that are really hard to define.
84000	88400	It's thought to be the collective abilities of your consciousness and intelligence, the thing
88400	95040	that lets you imagine, recognize, and dream. Mind uploading is the hypothetical concept of making
95040	100480	a copy of this inner world and transferring it into a computer to run a simulation of your
100480	107440	consciousness. But even defining the premise gets really hard, really fast. The possibility of mind
107440	114400	uploading is based on three assumptions. Assumption 1. Your mind is in your brain's
114400	120240	structure, arrangement, and biochemistry. The idea that everything about the mind can be found
120240	125680	in the brain is called physicalism and it keeps our discussion within the domain of natural law.
126960	133280	Assumption 2. At some point, we will understand the brain well enough and possess the technology
133280	136960	to simulate all of its aspects to make a digital mind copy.
138000	144960	Assumption 3. Computer software can host your mind, which means the mind is computable.
145920	149440	There is no physical property in the brain, including consciousness,
149440	153360	that cannot be simulated accurately even if it requires a lot of code.
154400	158800	All of these assumptions have been proposed and challenged by scientists and philosophers
158800	164000	and they remain the subject of passionate debate. With so many fundamental questions
164000	167840	still unanswered, it's hard to discuss the topic without annoying someone.
168800	173680	Whatever your position, every discussion of mind upload has to begin with the brain.
174800	181120	The brain in a nutshell. The brain is the most complex biological structure known
181120	185440	and deserves its own entire video, so let's just take a brief look at it.
186320	192240	Around 100 billion neurons are communicating via 1 million billion connections that are sending
192240	198240	signals up to 1000 times each second, which is 1 quadrillion events every second of your
198240	204640	waking life. And it's not just neurons, there are billions of supporting and immune cells
204640	209760	of various types performing different jobs. On a macro level, the brain can be divided
209760	214160	in two sections with different roles, from breathing and heart rate, to coordinating
214800	220720	movement and involuntary reflexes. The most developed parts, the neocortex,
220720	226400	or the outermost layer of the brain, hold memories, our ability to plan, think and imagine,
226400	232880	hope and dream. Where exactly the you part of the brain is situated is not entirely clear.
233760	238480	We know that areas like the precuneus cortex have the greatest influence on our consciousness,
238480	243520	but also that several areas can network together to share tasks none of them can do alone.
244240	247360	The brain's building blocks are not exactly simple either.
248160	254960	Neurons are not just wires, they alter and process information. Synapses, where signals are handed
254960	259840	over from one neuron to the next, contain receptors for hundreds of chemical signals,
259840	265120	opening them up to outside influence. We have a basic understanding of how these work,
265120	270000	and we can accurately predict their behavior at small scales, but there's a lot more to the brain
270080	276400	than just nerve signals. Hormones play a huge role, like serotonin, which affects our mood,
276400	282080	or histamine, which helps us learn. The brain is influenced by our other parts too,
282080	287600	from heart nerves to gut bacteria. What seemed like a very complicated system to begin with
287600	293280	gets even more complicated the more we learn about it. To get this wildly interconnected mess
293280	298320	of cells and meat and chemicals into a computer, we need a model that we can simulate in our
298320	305680	digital world. Some sort of scan. Unfortunately, our scanning technology, like fMRI machines,
305680	310640	is not nearly good enough to attempt such a thing. But there is a different method that seems very
310640	316320	promising. Cutting a brain into tiny slices and scanning them with a high resolution electron
316320	323440	microscope to create an accurate map of all the cells and connections. In 2019, scientists
323440	328720	successfully mapped a cubic millimeter of mouse brain, roughly the size of a big grain of sand.
329680	335760	It contained 100,000 neurons with a billion synapses and four kilometers of nerve fibers.
336960	344480	This grain of brain was cut into 25,000 slices. Five electron microscopes ran continuously for
344480	349920	five months, collecting more than 100 million images. It took three months to assemble the
349920	356880	images into a 3D model. The completed data set fills up 2 million gigabytes of cloud storage.
357760	362400	To scan a whole human brain, we would have to repeat this effort a million times,
362400	367840	which is much easier said than done. Even worse, to correctly simulate a brain,
367840	371920	we might even have to map out much smaller building blocks to include the billions of
371920	378240	underlying proteins or even individual molecules that cause all the behaviors we see at the cellular
378240	383920	level, which might produce more data than the capacity of all data storage on earth.
