start	end	text
0	8340	it's the most wonderful time of the year again the 12,019 human era calendar is
8340	13320	out go get our new limited edition now or regret it forever we heard your
13320	17440	comments on last year's edition so we've updated the design each illustration is
17440	22280	now featured on a full page with so much more space to take notes below exactly
22280	26800	two point three six six eight nine times as much as in the old layout also the
26800	30840	calendar has a spiral binding shiny silver letters on the cover and is
30840	35560	printed on high quality paper that's nice to touch the calendar looks awesome
35560	39040	on your wall but it's also the easiest way to tick off your whole present list
39040	43160	for Christmas if you order now it will arrive before the holidays and it's the
43160	47240	perfect gift for your friends kids grandma doggo mortal enemies or random
47240	51520	strangers you meet on the street on the inside you find 12 brand-new beautiful
51520	55360	illustrations of early human cultures and craftsmanship prior to the first
55360	60440	civilizations and the use of metal this topic is endlessly fascinating to us our
60440	64240	ancestors achievements from 10,000 years ago paved the way for our modern
64240	67800	civilization so we can only dream of what might be possible in the future
67800	71800	through human cooperation by the way if you're wondering about the date we
71800	76560	explained why 12,019 should be our current year in our a new calendar for
76560	80680	humanity video order your calendar now it will be available as a limited
80680	86600	edition until our stock is sold out and then never again the human calendar is a
86600	91280	super fun side project we got to do for the third time thanks to your support we
91280	94600	loved getting mails tweets and pictures with your calendars from over 80
94600	98000	countries last year so we're already looking forward to all your messages
110680	112740	you
