start	end	text
0	6000	Wrapping your mind around your life is pretty hard because you're up to your neck in it.
6000	10000	It's like trying to understand the ocean while learning how to swim.
10000	13000	On most days, you're busy just keeping your head above water,
13000	18000	so it's not easy to figure out what to do with your life and how to spend your time.
18000	21000	There are a million distractions.
21000	26000	Your family, friends and romantic partners, boring work and exciting projects,
26000	29000	video games to play and books to read.
29000	33000	And then there's your couch that somebody needs to lie on.
33000	40000	It's easy to get lost, so let's take a step back and look at your life from the outside.
49000	53000	The average Kurzgesagt viewer is around 25 years old,
53000	56000	which is a pretty good time in the life of most people.
56000	59000	The insecurities of the teenage years have begun to recede.
59000	63000	Maybe you find yourself in a job or a long-term relationship.
63000	67000	Maybe you've started a family or are working on an advanced degree.
67000	72000	Maybe you're not doing any of that and still want to enjoy life, whatever that means to you.
72000	77000	Or maybe you feel stuck and don't know where to go yet.
77000	81000	About 1 in 20 people watching this video will get to live to 100.
82000	84000	Let's assume you are one of the lucky ones,
84000	90000	which means you had a total of 5,200 weeks of life at your disposal when you were born.
90000	95000	You spent the first 600 weeks of your life being a kid and 400 being a teenager.
95000	101000	During this time, you were pretty useless for society and also not very free to make your own decisions.
101000	106000	As a payoff, you were somewhat spared from the consequences and responsibilities of adulthood,
106000	112000	mostly because well-meaning adults protected you by cleaning up your mess and giving you time to find yourself.
112000	117000	This time is necessary to make you, at least in theory, a functioning human,
117000	120000	although most people probably don't feel like that after puberty.
120000	127000	In any case, by the time you're 20, over 1,000 of your 5,200 weeks have passed.
127000	133000	Depending on what you aspire to, at this point you're either working already or have entered further education.
133000	137000	The amount of fun you can have in this phase of your life varies a lot.
137000	143000	If you pick up a trade or need to work to support yourself or others, the serious side of life begins earlier.
143000	147000	If you go to university, you get to push back work life a bit longer.
147000	151000	In any case, most people start working for real in their 20s at the latest,
151000	157000	which begins the productive or potentially grindy or soul-crushing period of your life.
157000	160000	People tend to work until the age of 65,
160000	166000	which means that you'll spend at least 2,000 weeks of your life with serious adult work,
166000	171000	hopefully in a job that makes you feel good and appreciated or that makes the world better.
171000	179000	This is such an important thing that we'll look at work and how you can try to find a satisfying career in another video.
179000	182000	This is the main block of life for most people,
182000	188000	the time when you might have kids and travel a bit and climb the career ladder and build a house,
188000	191000	may get divorced and fall in love again.
191000	198000	In this phase, you transition from being young to middle-aged to old, not old-old, but the young-old of your 60s.
198000	204000	At 65, you've used up 3,400 of your 5,200 weeks.
204000	207000	The last phase of your life begins.
207000	210000	If you've managed to acquire enough wealth to retire,
