start	end	text
0	3000	The future of humanity seems insecure.
3000	7000	Rapid climate change, political division, our greed and failings
7000	10000	make it hard to look at our species with a lot of optimism,
10000	13000	and so many people think our end is in sight.
13000	16000	But humans have always thought they lived in the end times.
16000	20000	Every generation assumes they're important enough to witness the apocalypse,
20000	22000	and then life just goes on.
22000	25000	This is a problem because it leads to short-term thinking
25000	30000	and prevents us from creating the best world for ourselves and our descendants.
30000	33000	What makes this worse is that we may actually be living
33000	36000	at an extremely critical moment in human history.
36000	41000	To understand why, let's look at the temporal window of humanity
41000	44000	and ask, when will the last human be born,
44000	47000	and how many people will there ever be?
55000	58000	These sorts of estimates come with a lot of uncertainties,
58000	61000	so please take them with a gigantic grain of salt.
61000	64000	To get a sense of how many people there will be,
64000	67000	let's see how many people have already lived.
67000	70000	Modern humans arose some 200,000 years ago.
70000	74000	They were uniquely good at making tools, telling stories,
74000	77000	thinking abstractly, planning and working together in large groups
77000	79000	beyond their close family.
79000	82000	Still, there were not that many of us.
82000	88000	Surpluses of food were scarce, survival was hard, life expectancy was low.
88000	93000	It took us 150,000 years to grow to a population of 2 million.
93000	98000	Improvements were gradual and eventually led to the agricultural revolution,
98000	101000	arguably the biggest change in our history.
101000	104000	This was when our numbers really started growing.
104000	107000	It took 10,000 more years to get to 300 million.
107000	111000	But that increase was dwarfed by the industrial revolution.
111000	114000	In 1800, there were a billion of us.
114000	120000	The human population doubled in just 120 years, and then again in 50.
120000	123000	Today, we number around 8 billion.
123000	126000	In total, over the last 200,000 years,
126000	129000	about 117 billion humans were born and lived,
129000	132000	and 109 billion also died.
132000	137000	Which means that about 7% of all humans that ever lived are alive right now.
137000	142000	As many as were born in the first 150,000 years of human history.
142000	147000	Every minute, 270 babies join the party.
147000	149000	But there aren't just more people.
149000	153000	Never before have we been as healthy and well-off or lived longer.
153000	157000	With growing living standards, our birth rates collapsed.
157000	160000	The UN estimates that around the year 2100,
160000	166000	we will hit our population peak and there will be 125 million people born each year.
166000	169000	It's pretty unlikely that birth rates will stay stable forever,
169000	173000	but let's pretend to make our thought experiment simpler.
173000	178000	How many people there will be in the future depends on when our species will die out.
178000	181000	And here, we find a lot of uncertainties.
181000	184000	We are able to destroy ourselves through our own inventions,
184000	189000	but we are also able to find solutions to avert catastrophic risk.
189000	192000	We can change the direction of planet killer asteroids,
192000	194000	but we've also invented nuclear weapons.
194000	200000	We discovered antibiotics, but also carry diseases across the globe in a matter of days.
200000	203000	Our industrial system gives us an incredible standard of living,
203000	206000	but also change the atmosphere in the process.
