start	end	text
0	6000	Look around you. Where are you? Where is this place you're occupying?
6000	13000	Somewhere in a room, maybe in a city, on a continent, on a planet, orbiting a star in a galaxy among billions.
13000	16000	But where is all of that?
16000	24000	While this may feel like a daft question, it turns out that the concept of an absolute position is something humans made up.
24000	28000	In a nutshell, the universe is a big bag of space that has things in it.
28000	35000	If someone removed all these things, the stars and planets and black holes and dust, there would just be empty space left.
35000	39000	In empty space, the concept of having a position loses all meaning.
39000	43000	Empty space is uniform, the same everywhere.
43000	47000	The space we occupy is not like a stage under our feet.
47000	52000	We can't mark specific points or staple something to space-time as an anchor.
52000	55000	Without things, there is no position.
55000	60000	We are really ever only at a position in relation to something else.
60000	66000	Which also means that things we take for granted, like up and down, are actually relative, too.
66000	73000	Okay, let's fill the universe up with things again and try to find out where you are right now, relative to everything else.
73000	88000	Let's start this video at a familiar place and then get increasingly weird.
88000	93000	From your perspective, the world is seemingly flat, and you can move in three dimensions.
93000	102000	It's what physicists call a frame of reference, the perspective you have of the universe and how you see things moving around you, where your up and down is.
102000	108000	Your frame of reference is correct for you, but not for the rest of the universe.
108000	114000	Around five kilometers from you, where the horizon begins, the ground noticeably curves away from you.
114000	119000	If you could see through the ground, you'd see people from below or sideways.
119000	124000	But they don't fall down off the planet because gravity doesn't actually pull them down.
124000	127000	Down is an illusion of your reference frame.
127000	131000	To Earth's reference frame, gravity just pulls in.
131000	137000	But for humans, there is an up and down, because within our frame of reference, that just makes sense.
137000	144000	Which is also why we think that the planet itself has an up and down, north and south, and we made our maps accordingly.
144000	149000	But an observer looking at the solar system might disagree.
149000	154000	Our maps make sense to us because we're used to them, not because they are correct.
154000	161000	Okay, so this is step one. Your position on what feels like a flat surface, but is actually a sphere.
161000	165000	But this sphere is always moving, never staying in one position.
165000	169000	Earth is orbiting a star, the Sun at the center of the solar system.
169000	176000	While we usually imagine this is pretty orderly, someone looking at us from the outside would see something pretty messy.
176000	181000	To see this more clearly, we'll exaggerate all these movements. This is not to scale.
181000	187000	First of all, our orbit really is an ellipse, so we spend half the year sinking a little bit closer to the Sun,
187000	191000	speeding up, and half the year rising up a bit and slowing down.
191000	196000	And the ellipse itself changes its shape every 100,000 years too.
196000	204000	And in another cycle of 112,000 years, the ellipse itself is drifting, which at least creates a beautiful shape.
204000	209000	In the end, we get an orbital path that looks like a wobbly circle with wavy edges.
209000	213000	It gets worse as the Moon now starts to mess things up too.
213000	217000	As the Moon is a pretty massive thing, it pulls on Earth.
217000	224000	Both objects orbit their common center of gravity that lies around 4,700 kilometers off to the side of Earth's core.
224000	231000	In practice, this means that as the Moon orbits Earth, it's jerking Earth around a bit, enough to make it jiggle.
231000	239000	Okay, so you're standing on the surface of a rotating planet that is jiggling around the Sun in an elliptical orbit that changes a bit every year.
239000	242000	But who's to say the Earth is right?
242000	246000	From the perspective of the Sun, the plane of the solar system is arbitrary.
246000	251000	It's defined as the plane the Earth orbits in because that is convenient for us.
251000	256000	In reality, the other planets are just a little bit inclined with respect to our plane.
256000	260000	From their point of view, we're the ones with a slightly bent orbit.
260000	262000	But this isn't it. Far from it.
262000	267000	The solar system as a whole is orbiting the center of the Milky Way galaxy.
267000	275000	If we look at the Milky Way, we can clearly make out a galactic plane in which the solar system orbits the center every 230 million years.
275000	278000	But of course, it's not that simple.
278000	283000	First of all, the plane of the solar system is not aligned with the plane of the galaxy.
283000	284000	Nothing really is.
284000	291000	Just like the planets in the solar system orbit the Sun on their own planes, so do all the stars orbiting the galactic center.
291000	296000	The solar system as a whole is tilted about 60 degrees towards the galactic plane,
296000	300000	speeding through space at almost a million kilometers per hour.
300000	305000	Someone in the center of the galaxy would see the orbits of the planets moving through space in a helix shape,
305000	312000	which you can imagine as a corkscrew motion on the tilted plane of the solar system relative to the plane of the galaxy.
