start	end	text
0	7340	Here in the Kurzgesagt labs, we test very important ideas to see what happens when you blow things up or play with black holes.
8100	11780	Many of you suggested that we look into an idea that sounds reasonable.
12300	14540	Shooting nuclear waste into space.
14860	20740	It's one of those concepts that seems like an easy fix for one of the main problems with the nuclear energy.
20860	27540	But it turns out this idea is not just bad, but horribly bad, and it gets worse the longer you think about it.
27740	29740	Why is that?
30000	36000	What is nuclear waste?
37000	45000	Nuclear waste is a fuzzy term and comes in categories which vary from country to country.
45000	48000	But in general, there are three broad levels.
48000	58000	90% is low-level nuclear waste, tools, gloves, or trash used at a nuclear facility that could be weakly contaminated with some short-lived radioactivity.
58000	61000	This stuff is generally safe for normal disposal.
61000	71000	7% is intermediate-level nuclear waste, mostly materials that have been in close proximity to a reactor core long enough to become dangerously radioactive.
71000	78000	With proper handling, it's either safely buried or melted down and mixed into glass or concrete and stored deep underground.
78000	83000	So 97% of nuclear waste is similar to toxic byproducts from other industries.
83000	87000	Not great, not terrible. We can handle it.
88000	91000	The remaining 3% is where our problems begin.
91000	97000	High-level nuclear waste is very concentrated spent fuel taken out of a reactor core.
97000	103000	Formerly uranium, it's now made of various dangerous and often highly radioactive elements.
103000	108000	As a bonus, it's also incredibly hot and not easy to handle at all.
108000	111000	This is what we want to shoot into space.
111000	119000	All in all, around 440 active nuclear reactors create about 11,000 tons of high-level nuclear waste each year.
119000	125000	Since 1954, we've accumulated 400,000 tons of dangerous radioactive waste.
125000	130000	Most countries are dealing with it by not dealing with it and kicking the can towards the future.
130000	133000	Great, so let's launch it into space.
134000	142000	According to scientists, space is big and nobody lives there, so it seems perfect for yeeting away this mess.
142000	145000	There are a few tiny problems though.
149000	154000	Even though spaceflight is getting more affordable, it's still extremely expensive.
154000	160000	Just to get something into low Earth orbit costs on average about $4,000 per kilogram.
160000	168000	Putting that into perspective, it costs about $1,600 to mine, separate and fabricate one kilogram of nuclear fuel,
168000	174000	so launching waste into space has suddenly made nuclear fuel for reactors way more expensive
174000	178000	and greatly increased the cost of the electricity they produce.
178000	185000	To launch one reactor's worth of nuclear waste would cost at least $100 million per year.
185000	190000	To deal with all the 440 operational nuclear power plants' high-level nuclear waste
190000	197000	would cost some $44 billion per year for space launch before packaging, transport and security costs are added.
197000	200000	Okay, let's pretend we don't care.
200000	204000	Currently, we couldn't shoot all the nuclear waste into space even if we wanted to.
204000	207000	There just aren't enough rockets.
207000	212000	In 2021, we saw a record 135 launches into space.
212000	216000	If we repurposed each of those rockets and filled them all with nuclear waste,
216000	223000	the total amount that could be lifted into a low Earth orbit, which is the closest orbit above the atmosphere, is nearly 800 tons.
223000	228000	We'd need at least 14 times more rockets to handle just today's nuclear waste,
228000	232000	let alone get rid of the hundreds of thousands of tons in temporary storage.
232000	239000	We would need to create entire new space industries to keep up with the demand for giant, toxic space trash trucks.
239000	242000	And it gets worse.
242000	245000	Problem two, space is hard.
