start	end	text
960	5840	Here in the Kurzgesagt labs we only work on the most important scientific problems like
5840	11440	what if we nuke stuff or how about we make this elephant explode or who could forget
11440	17600	look at this thing it's really big continuing this proud tradition let's explore the scientific
17600	23760	mystery of what would happen to you if earth suddenly turned into gold the midas apocalypse
23760	29280	based on the ancient tale of king midas who was cursed so everything he touched turned into gold
30160	36240	before we can explore this scenario with science we'll first define the premise midas's curse is a
36240	42560	very special phenomenon called magic which allows us to modify physics so what happens
42560	57600	when midas touches something and it turns to gold an atom of gold has 79 protons and 180 neutrons in
57600	63120	its nucleus the electric force of the protons on the electrons around them shapes the atom
63120	67920	and gives gold its chemical properties like that it doesn't rust and that it's kind of shiny and
67920	74960	bending so to make not gold into gold we have to change atoms let's say midas touches a duck
75600	81680	all the light elements like hydrogen carbon and oxygen gain electrons and protons and neutrons
81680	88000	to become gold not only is the duck suddenly 33 times more massive it's also much too dense
88800	93360	the gold atoms are far closer together than they like and repel each other violently
93360	99360	causing the golden duck to explode with the energy of half a ton of tnt leaving only gold dust and a
99360	106320	very dead midas this is clearly not a very good way for midas's power to work so what if instead
106320	112160	midas's power uses the atoms that are already present and simply rearranges all particles in
112160	118480	the matter he touches into gold no matter is created or destroyed instead atoms dissolve
118480	124880	and the protons neutrons and electrons are reassembled to make gold however gold is very
124880	131600	dense about 20 times denser than a duck without adding any matter the gold duck would be a very
131600	137760	awkward kind of foamy gold with lots of tiny microscopic gaps this is funky and doesn't
137760	143280	explode which is progress now that we've established a sort of magic that works
143280	151040	what would happen if midas stumbles what if he touches earth itself let's freeze time for just
151040	157360	a moment and rearrange all the matter in the earth just like the duck the earth is now solid gold but
157360	163440	with many tiny atomic scale gaps while these gaps weren't a huge deal for the duck they're a big
163440	169840	problem for the earth a spongy planet is not a thing that can exist as gravity compresses earth
169840	176000	squeezing it together to close up the gaps as a result the earth contracts shrinking to two-thirds
176000	181920	of its radius if you're standing on earth's surface you'll suddenly find yourself in freefall
181920	188080	like on a roller coaster as the ground sinks away beneath you but since the ground is falling too it
188080	193280	doesn't move away from you it feels like someone turned off gravity and you and everything else
193280	199120	would begin to float but the ride doesn't last forever it takes only 10 minutes for everything
199120	206640	to crash down and a weird 10 minutes it is indeed and then as abruptly as it started it stops
206640	212320	the collapsing earth has reached its desired size and gravity is suddenly turned back on for you
212320	217120	hopefully you enjoyed your minutes of floating because the ground and you with it crash into
217120	223120	the planet at 30 000 kilometers an hour making your body splatter like a water balloon as it hits
223120	229200	in one instant basically all the humanity gets smashed into red puddles this is only the start
229200	235040	of our problems though since earth imploded supersonically the kinetic energy of the implosion
235040	240480	is basically equivalent to detonating a planet made of tnt crushed together under incredible
240480	246720	forces earth's core reaches a million degrees celsius a temperature closer to the core of a
246720	252560	star than anything we're used to finding on earth as the earth crashes into itself it generates an
252560	257920	enormously powerful shock wave which plows upwards catapulting the atmosphere up and off
258960	264160	the earth's surface temperature reaches hundreds of thousands of degrees and everything on it is
264160	271040	instantly vaporized to a fluffy plasma cloud that starts to expand but not by much many of the
271040	276400	atoms that may have been new get mixed into this cloud while others boil off escaping from the
276400	282800	atmosphere the golden plasma outshines the sun while the enormous radiation lifts tons of
282800	289360	material off into space over the coming days the plasma cloud cools and eventually freezes into a
289360	297760	shiny little golden ball okay maybe this type of magic doesn't work so if replacing atoms made the
297760	303440	earth so overdense that it exploded and disassembling and reassembling atoms made the earth
303440	309600	so under dense that it imploded there must be a sweet spot where the earth does neither what if
309600	315440	midas's power is such that an object is suddenly replaced by an object with the same volume made
315440	322240	from solid gold that magic is a little bit more magic and cuts a few extra corners but let's see
322240	330160	where this leads us so midas stumbles again even though our new pure gold earth is not expanding
330160	336720	or contracting it's suddenly much more massive the density of gold is three and a half times
336720	342720	greater than the earth meaning the earth is going to get three and a half times more massive for
