start	end	text
0	7380	Kurzgesagt is lying to you, in every video, even in this one, because our videos distill
7380	14300	very complex subjects into flashy 10-minute pieces and, unfortunately, reality is, well,
14300	15300	complicated.
15300	20340	The question of how we deal with that is central to what we do on this channel and something
20340	21620	we think about a lot.
31000	35500	What we mean by lying is the concept of lies to children.
35500	40500	The idea that on the path to explaining something complicated, you start off with a little lie,
40500	45540	a useful oversimplification that makes it easier to grasp a concept.
45540	49940	For example, as a kid you learned that the Earth is a sphere orbiting the sun with planet
49940	50940	bodies.
50940	55280	But it's not actually a sphere and the bodies are super different in size and not close
55280	57140	to each other at all.
57140	62700	By beginning at a place of oversimplification, you're building a framework, a foundation,
62700	67960	that you can then build upon and add nuance and complexity later on.
67960	73080	Step by step, you're getting towards the real gist of the complicated subject.
73080	79480	Science communication has to use lies to children to some degree or it turns into science education.
79480	84140	And getting a proper education in all of the scientific fields would take years of intense
84140	86480	study to become fluent in them.
86480	91260	As a species, we have a major interest in summarizing science and its advancements and
91260	95640	educating as many people about it as possible because we all benefit if more people have
95640	98940	a fact-based scientific worldview.
98940	103540	We will discuss what science is and how it works in different videos in more detail,
103540	108600	but for now let's just say it's a process to advance, organize, predict, and test our
108600	111100	knowledge about the universe.
111100	115520	If you understand the current state of scientific knowledge, then you can make better decisions
115520	121420	based on facts and testable ideas rather than outdated belief systems or our intuition
121420	126380	that evolved to protect our ancestors from lions but is no longer suited for the complexity
126380	128580	of our modern world.
128580	133540	Our brains are comically ill-prepared to navigate the fast-moving world we happen to live in
133540	137860	today, a world ironically created by science.
137860	142180	A few hundred years ago, it was possible to be knowledgeable at an expert level in pretty
142180	144500	much every field of study.
144500	151260	In the information age, this is a futile endeavor since knowledge and data are increasing exponentially.
151260	156180	So to even have a chance of grasping the world we live in, we need summaries that give us,
156180	160620	if not a true understanding of all the details, a solid overview.
160620	165320	Explaining science to many people is not about enlightening the ignorant but necessary for
165320	168220	the progress of our species at large.
168220	172520	To make this possible, we need to find metaphors and stories that capture the true nature of
172560	177280	things as much as possible while using a language that our brains can deal with.
177280	180560	A great example here is physics.
180560	185160	Quarks are often depicted as blue, red, and green with different spins.
185160	190680	But just saying spin and using colors forces our brain to imagine colorful spinning balls,
190680	195300	which is great to visualize the different types and the relationships between quarks
195300	200040	but also creates a very wrong image of reality in our heads.
200080	203940	Examples are nothing like the neat diagrams that we're taught in school, but buzzing
203940	208980	and vibrating entities held together by something we call charge that describes how certain
208980	213520	things want to be close or escape each other for some unknown reason.
213520	217600	We're describing phenomena that we're pretty sure exist in some form or another because
217600	222440	the maths works out and we can do real-world experiments and predict their results before
222440	223940	we do them.
223940	230000	In reality, these are models, tricks to summarize what we know, make up a coherent story, and
230000	233600	prepare the ground for more in-depth explanations.
233600	238760	Don't confuse the description of a thing for the thing itself.
238760	241360	Simplifications like these are not just meant to dumb things down.
241360	244000	They're actually useful for experts themselves.
244000	249620	For example, chemists who use wrong electron shell models to work out chemical bonds or
249620	254560	scientists using simplified models as the basis for discussion with colleagues across
254560	257320	different scientific fields.
257400	262240	The simplification of science can also be problematic for a bunch of reasons.
262240	266400	Finding the true nature of reality is super hard because our brains did not evolve for
266400	270640	this job and the universe doesn't care if we understand it.
270640	276560	Science is a process to work towards gaining knowledge and not an absolute truth generator.
276560	281920	The answers it provides are multi-layered and nuanced, and that complexity can get lost
281920	286500	when it's simplified, especially when it's done so for headlines.
286500	291420	When interesting cancer study turns into a potential cure, a healthy food becomes the
291420	294280	basis for a new diet.
294280	300060	Such simplifications give a misleading definiteness to science, which goes against its process-like
300060	301200	nature.
301200	306640	When cures don't materialize and diets don't turn out to be magical, we lose confidence
306640	312140	in science and start to think of all science communication as misleading.
312140	314180	Then there's the opposite effect.
