start	end	text
0	4400	In nearly every corner of the earth, ants wage war against each other.
4920	11200	Their weapons are what nature gave them. Some have strong armor, deadly stingers, or sharp mandibles.
11200	15120	And then there's this tiny and not very impressive ant.
15280	19340	But it rules the biggest empire any ant has ever built.
20000	24720	A colony spanning continents and fighting wars that leave millions of casualties.
25120	28000	Let's take a look at this unlikely warrior-esque.
42000	46560	This story begins in the floodplains around the Paraná River in South America.
47120	52480	It's a crowded ant megalopolis, where dozens of ant species fight for dominance,
52480	57520	including fire ants, army ants, and the rather unimpressive Argentine ant.
58080	62720	It measures only two to three millimeters in length, and with its small mandibles,
62720	66240	it's surprising that it survived among its buff competitors.
67040	72240	Their homes are equally unremarkable. Their colonies range from fairly small to very large,
72240	78400	and can be found anywhere. Under logs, in loose leaf litter, or the former colonies of other ants.
79280	84560	Here, Argentine ants prepare their most effective weapon against their competitors' bodies.
85360	88960	Most ant species have only one queen to produce ants,
88960	96000	while Argentine ants went all in on numbers. For every 120 workers, there's one queen,
96000	103680	laying up to 60 eggs a day. So their colonies grow fast and have millions or billions of individuals.
104480	109200	Teams of queens and workers frequently branch out and found new colonies.
110000	115120	But this strategy has a downside. As colonies grow and produce a lot of offspring,
115120	120800	mutations occur and new colonies adapt to new environments. Their DNA slowly changes from
120800	126240	generation to generation, and differences accumulate. So after a while, the ants that
126240	131120	left the colony will become more like distant cousins and start to compete with their mother
131120	138000	colony. In their native South American range, this is how Argentine ants behave. Within their
138000	143440	colonies, they are very cooperative and well organized. But they fight vicious wars against
143440	149840	other Argentine ant colonies and other ant species. With equally strong opponents on every side,
149840	155920	the Argentine ant became extremely aggressive, fighting for every inch of ground. But it could
155920	162800	never dominate its neighbors until humans showed up. We did what humans do and transported things
162800	168800	around the world by ship. On one of them, a few Argentine ant queens hitched a ride as stowaways
168800	175520	from South America to Madeira and New Orleans. The Argentine ants suddenly found themselves in
175520	182560	a strange world. Instead of being surrounded by deadly enemies, they found only victims. Nobody
182560	188160	could fight them effectively. Because only a few Argentine ant queens were introduced to the
188160	194960	outside world, the resulting colonies had very low genetic diversity. On top of that, the introduced
194960	201440	Argentine ants kill up to 90% of their queens every year. Fewer queens, less genetic variation.
202000	207680	So as these colonies spread across the landscape, ants that left the colony were no longer considered
