start	end	text
0	6980	It's the most wonderful time of the year, the 12,020 human space era calendar has arrived.
6980	10880	You can order it now until we sell out and then never again.
10880	14340	In the last few years we've looked back at the achievements of our ancestors that
14340	18560	paved the way for our modern world more than 10,000 years ago.
18560	23220	This year we'll turn our gaze to the future of humanity and how we will explore space
23220	25360	in the next 10,000 years.
25680	30720	Twelve illustrations will take you to the liquid gas oceans on Titan, colonies on Mars,
30720	36280	the storm clouds on Uranus, and many more stops on humanity's biggest journey yet.
36280	42360	Enjoy solar system-wide delivery, shipping from the US and finally also from Europe.
42360	46840	Order now to get our limited edition calendar in time for the holidays to make your kids,
46840	52940	family and friends happy, or to distract yourself from the looming void within, you know, whatever
52940	54240	works for you.
54240	58200	You can get the calendar together with a duck kushy, a hoodie or a poster if you want,
58200	60160	we've put together a few deals.
60160	64140	Thank you so much to the thousands of people who got the calendar last year.
64140	68400	Because of you, we can keep this channel free for everyone and make even more beautiful
68400	69400	things.
69400	71840	A happy interstellar year, 12,020.
