start	end	text
0	10000	Since the Industrial Revolution, humans have released over 1.5 trillion tons of carbon dioxide, or CO2, into the Earth's atmosphere.
10000	15000	In the year 2019, we were still pumping out around 37 billion more.
15000	22000	That's 50% more than the year 2000, and almost three times as much as 50 years ago.
23000	25000	And it's not just CO2.
25000	31000	We're also pumping out growing volumes of other greenhouse gases, such as methane and nitrous oxide.
31000	39000	Combining all of our greenhouse gases, we're emitting 51 billion tons of carbon dioxide equivalents each year.
39000	42000	And emissions keep rising.
42000	45000	But they need to get down to zero.
46000	50000	In recent years, the consequences have become more serious and visible.
50000	53000	Almost every year breaks some horrible record.
53000	61000	We've had more heat waves, the most glaciers melting, and the lowest amount of ice ever recorded at the North Pole.
61000	65000	Of the last 22 years, 20 have been the hottest on record.
65000	72000	The only way to limit this rapid climate change is to decrease our collective emissions quickly.
73000	81000	But although all countries agree on this goal in principle, they do not agree who is responsible or who should bear the heaviest load.
81000	85000	The developed countries point at their own efforts to reduce emissions,
85000	92000	and the fact that the large developing countries on the rise, especially China, are currently releasing much more CO2.
92000	97000	On the other hand, developing countries argue that emissions by the West are lifestyle emissions,
97000	101000	while for developing countries, they are survival emissions.
101000	106000	Others call rich countries hypocrites that got rich by polluting without restraint,
106000	110000	and now expect others not to industrialize and stay poor.
110000	115000	So, who is responsible for climate change and CO2 emissions?
115000	120000	And, regardless of the past, who needs to do the most today?
120000	124000	In this video, we'll talk exclusively about nation states.
124000	128000	We'll look at the fossil fuel industry in another video.
129000	135000	Question 1 of 3. Which countries emit the most carbon dioxide today?
135000	140000	In 2017, humans emitted about 36 billion tons of CO2.
140000	143000	More than 50% came from Asia.
143000	148000	North America and Europe followed with 18% and 17%,
148000	154000	while Africa, South America, and Oceania together only contributed 8%.
154000	162000	China is by far the world's largest emitter, with 10 billion tons of CO2 every year, or 27% of global emissions.
162000	168000	It's followed by the USA with 15%, and the European Union with around 10%.
168000	173000	Together, this is more than half of the world's CO2 emissions.
173000	177000	So it's clear that without the willingness and action of these three industrial blocs,
177000	183000	humanity will not be able to become carbon neutral and prevent severe climate change.
183000	189000	Next on our list is India at 7%, Russia at 5%, Japan at 3%,
189000	196000	and Iran, Saudi Arabia, South Korea, and Canada, all just short of 2%.
196000	203000	Together with the first three, the top ten are responsible for 75% of global emissions.
203000	209000	But if we only look at the current situation, we're not getting the full picture.
209000	215000	Question 2 of 3, which countries have emitted the most in total?
215000	221000	If we look at emissions throughout history until today, the outlook changes drastically.
221000	226000	The US and the EU both knock China off the top spot.
226000	231000	The US is responsible for 25% of the world's historical emissions,
231000	236000	emitting 400 billion tons, mostly in the 20th century.
236000	240000	In second place is the EU at 22%.
240000	247000	China comes in third at just under 13%, around half of the USA's contribution.
247000	253000	India's contribution shrinks to 3%, along with the whole of Africa and South America.
253000	258000	The UK is responsible for 1% of annual global emissions,
258000	263000	but takes 5% of the historical responsibility.
263000	269000	Germany, producing 2% of emissions per year today, has contributed almost 6%,
269000	273000	as much as the whole of Africa and South America combined.
273000	279000	So the narrative that rapid climate change is really the responsibility of the developing world
279000	283000	is hard to defend if facts matter to you.
