start	end	text
0	5880	Imagine you were alive back in the 1980s, and were told that computers would soon take
5880	10820	over everything, from shopping, to dating, and the stock market.
10820	14640	That billions of people would be connected via a kind of web.
14640	20080	That you would own a handheld device, orders of magnitude more powerful than supercomputers.
20080	24080	It would seem absurd, but then all of it happened.
24080	28440	Science fiction became our reality, and we don't even think about it.
28440	31780	We're at a similar point today with genetic engineering.
31780	33920	So let's talk about it.
33920	38480	Where it came from, what we're doing right now, and about a recent breakthrough that
38480	43120	will change how we live and what we perceive as normal forever.
43120	60120	Humans have been engineering life for thousands of years.
60120	64720	Through selective breeding, we strengthened useful traits in plants and animals.
64720	69760	We became very good at this, but never truly understood how it works, until we discovered
69760	74360	the code of life, deoxyribonucleic acid, DNA.
74360	78720	A complex molecule that guides the growth, development, function, and reproduction of
78720	80680	everything alive.
80680	83920	Information is encoded in the structure of the molecule.
83920	88860	Four nucleotides are paired and make up a code that carries instructions.
88860	92800	Change the instructions, and you change the being carrying it.
92800	96560	As soon as DNA was discovered, people tried to tinker with it.
96560	101760	In the 1960s, scientists bombarded plants with radiation to cause random mutations in
101760	103360	the genetic code.
103360	107300	The idea was to get a useful plant variation by pure chance.
107300	109940	Sometimes it actually worked, too.
109940	115220	In the 70s, scientists inserted DNA snippets into bacteria, plants, and animals to study
115220	120560	and modify them, for research, medicine, agriculture, and for fun.
120560	126000	The earliest genetically modified animal was born in 1974, making mice a standard tool
126000	128720	for research, saving millions of lives.
128720	131400	In the 80s, we got commercial.
131400	135240	The first patent was given for a microbe engineered to absorb oil.
135240	140320	Today, we produce many chemicals by means of engineered life, like life-saving clotting
140320	144880	factors, growth hormones, and insulin, all things we had to harvest from the organs of
144880	146700	animals before that.
146700	152600	The first food modified in the lab went on sale in 1994, the flavor-saver tomato, a tomato
152600	157200	given a much longer shelf life via an extra gene that suppressed the buildup of a rotting
157200	158840	enzyme.
158840	164040	But GM food and the controversy surrounding them deserve a video of their own.
164040	168080	In the 1990s, there was also a brief foray into human engineering.
168080	172060	To treat maternal infertility, babies were made that carried genetic information from
172060	177920	three humans, making them the first humans ever to have three genetic parents.
178240	184800	Today, there are super muscled pigs, fast-growing salmon, featherless chickens, and see-through frogs.
184800	187560	On the fun side, we made things glow in the dark.
187560	191760	Fluorescent zebrafish are available for as little as $10.
191760	196600	All of this is already very impressive, but until recently, gene editing was extremely
196600	200460	expensive, complicated, and took a long time to do.
200460	207360	This has now changed with a revolutionary new technology now entering the stage, CRISPR.
207360	211520	Tonight, the costs of engineering have shrunk by 99%.
211520	216060	Instead of a year, it takes a few weeks to conduct experiments, and basically everybody
216060	218540	with a lab can do it.
218540	222400	It's hard to get across how big a technical revolution CRISPR is.
222400	226400	It literally has the potential to change humanity forever.
226400	230600	Why did this sudden revolution happen, and how does it work?
230600	239380	Bacteria and viruses have been fighting since the dawn of life.
