start	end	text
880	6800	The human immune system is the most complex biological system we know after the human brain,
6800	14240	and yet most of us never learn how it works, or what it is. Your immune system consists of
14240	20800	hundreds of tiny and two large organs. It has its own transport network spread throughout your body.
20800	26560	Every day, it makes hundreds of billions of fresh cells organized like an army, with soldiers,
26560	31520	captains, intelligence officers, heavy weapons, and crazy suicide bombers.
32480	39920	It's not some sort of abstract entity. Your immune system is you. Your biology protecting you from
39920	44880	the billions of microorganisms that want to consume you, and from your own perverted cells
44880	50960	that turn into cancer. It's so manifold that it's impossible to cover in one video, so we'll make a
50960	57200	series looking at different aspects of it. Today, what happens when your body is invaded,
57200	62080	and your first lines of defenses are engaged in a fight for life and death?
71440	77760	It's been a normal day, when suddenly, the world explodes, and an asteroid rips the sky open.
78640	83680	Countless alien life forms invade, ready to destroy cities and infrastructure,
83680	87840	and eat civilians. Or, this is what your cells experience.
88880	94720	You look at your bleeding thumb that you just cut on a dirty twig in the park. How annoying.
95440	101840	But inside the wound, a horrible catastrophe has happened. There are dead cells and blood and dirt
101840	108240	everywhere. Even worse, countless bacteria invade the warm caverns between your helpless cells
108240	115200	to explore their new home, steal your resources, and poop everywhere. Immediately, the first stage
115200	122640	of your defense kicks in. The cells that survived the impact or are hurt or dying scream in panic,
122640	126960	releasing an onslaught of chemical alarm signals that awaken your immune system.
127680	134000	The first cells to show up are macrophages. If an average cell were the size of a human,
134000	140720	a macrophage would be the size of a black rhino. A stoic cell, in principle, but you wouldn't want
140720	148640	to annoy it. Bacteria do annoy them. Within seconds, the large cells attack and begin
148640	154560	killing them without mercy. They stretch out parts like the arms of an octopus and grab the bacteria
154560	161040	to swallow them whole and digest them alive. A macrophage can eat 100 bacteria before it's
161040	167040	exhausted. But there are too many enemies, so the macrophages call for reinforcements.
167680	171680	In your blood, hundreds of thousands of neutrophils pick up their signals
171680	177920	and move to the battlefield. Neutrophils are intense suicide warriors that only live to kill.
178560	183840	They're so enthusiastic about killing that they kill themselves a few days after birth,
183840	187600	so they don't have time to accidentally destroy your body from the inside.
188640	194320	As soon as neutrophils arrive, they begin vomiting deadly chemicals at bacteria or devour them.
