start	end	text
0	4000	Human history is told by the energy we use.
4000	9000	At first we had to use our muscles, then we learned to control fire.
9000	12000	We industrialized the world using coal and oil,
12000	16000	and entered the atomic age when we learned how to split a nucleus.
16000	21000	At each step we increased our energy harvest to a scale never seen before,
21000	23000	and advanced as a species.
23000	26000	Currently we're slowly transitioning to renewables,
26000	31000	and if we're lucky, fusion energy will become viable in the future.
31000	36000	As humanity progresses further, if we don't destroy ourselves or our habitat,
36000	40000	we will likely gain complete control of our planet's resources.
40000	46000	At that stage, we'll probably begin to look outwards for new places to expand into.
46000	51000	But space is hard, and establishing a serious human presence in the solar system
51000	54000	will require ungodly amounts of energy.
54000	57000	Luckily, we know where to find it.
57000	60000	The sun, the ultimate source of energy.
60000	66000	A furnace 100 quintillion times more powerful than our most efficient nuclear reactor.
66000	71000	It shines with the energy of a trillion nuclear bombs per second.
71000	73000	So how do we get this energy?
73000	76000	Not some of it, all of it.
85000	88000	If we want to collect the most energy physically possible,
88000	92000	we'll have to build the largest, most ambitious structure in the universe.
92000	93000	The Dyson Sphere.
93000	98000	A megastructure that encompasses a whole star to capture its power output.
98000	103000	For an intelligent species, building a Dyson Sphere is a technological leap
103000	106000	on a par with the discovery of fire for our ancestors.
106000	111000	The transition from a planetary species to an interstellar species.
111000	117000	It would usher in an age of exploration and expansion on a scale we can barely imagine.
117000	119000	So, what would it look like?
119000	123000	A solid shell enveloping the sun is probably not the way to go.
123000	128000	A large rigid body like that would be vulnerable to impacts, possibly shattering.
128000	132000	It would be liable to drift and could crash straight into the sun.
132000	136000	A more viable design for a Dyson Sphere might be a Dyson Swarm,
136000	141000	an enormous set of orbiting panels that collect the sun's power and beam it elsewhere.
141000	145000	Such a swarm would give humanity basically unlimited energy.
145000	148000	But building it won't be easy.
148000	152000	The sun is very big, so we need a lot of satellites.
152000	158000	If each satellite is a square kilometer, we'd need around 30 quadrillion to surround the sun.
158000	164000	Even if they're built as lightly as possible, we need about 100 quintillion tons of material.
164000	171000	And then we need the energy to actually put the parts together and deliver them to their positions around the sun.
171000	177000	On top of all that, we need to have a permanent infrastructure set up in space to start building.
177000	184000	Let's assume for the purposes of this video that our descendants will take care of that and want to create the megastructure.
184000	187000	We can sort the challenges into three main categories.
187000	190000	Materials, design and energy.
191000	198000	To get the vast amounts of raw materials required for our Dyson Swarm, we'll have to largely disassemble a whole planet.
