start	end	text
0	5600	The observable universe is a big place that's been around for more than 13
5600	11960	billion years. Up to 2 trillion galaxies made up of something like 20,000 billion
11960	18320	billion stars surround our home galaxy. In the Milky Way alone, scientists assume
18320	22960	there are some 40 billion Earth-like planets in the habitable zone of their
22960	28360	stars. When we look at these numbers, it's hard to imagine that there is nobody
28400	33660	else out there. It would change our perception of ourselves forever if we
33660	39120	found others. Just knowing that this vast place is not dead would shift our
39120	44360	perspective outwards and could help us get over our irrelevant quarrels. But
44360	49000	before looking for our new best friends or worst enemies, we have a problem to
49000	53400	solve. What are we actually looking for?
59320	64840	In a universe that big and old, we have to assume that civilizations start
64840	68760	millions of years apart from each other and develop in different directions and
68760	73920	speeds. So not only are we looking over distances of dozens to hundreds of
73920	78360	thousands of light-years, we're looking for a civilization ranging from cavemen
78360	83440	to super advanced. So we need a conceptual framework to enable us to
83440	88260	think better thoughts that make us able to search better. Are there universal
88260	93820	rules that intelligent species follow? Currently, our civilization sample size
93820	98780	is only one, so we may make incorrect assumptions based solely on ourselves.
98780	104260	Still, better than nothing. We know that humans started out with nothing but
104260	108740	minds and hands that could build tools. We know that humans are curious,
108740	114540	competitive, greedy for resources, and expansionist. The more of these qualities
114580	118660	our ancestors had, the more successful they were in the civilization building
118660	123940	game. Being one with nature is nice, but it's not the path to irrigation systems
123940	129380	or gunpowder or cities. So it's reasonable to assume that aliens are able
129380	135000	to take over their home planet also have these qualities. And if aliens have to
135000	138900	follow the same laws of physics, then there is a measurable metric for
139420	145300	Human progress can be measured very precisely by how much energy we
145300	150420	extracted from our environment and how we made it usable to do things. We started
150420	155140	with muscles until we learned to control fire. Then we made machines that used
155140	159700	kinetic energy from water and wind. As our machines got better and our
159700	164020	knowledge of materials expanded, we began to harness the concentrated energy from
164020	168460	dead plants we dug up from the ground. As our energy consumption grew
168460	174020	exponentially, so did the abilities of our civilization. Between 1800 and 2015,
174020	180060	population size had increased sevenfold, while humanity was consuming 25 times
180060	184860	more energy. It's likely that this process will continue into the far
184860	190420	future. Based on these facts, scientist Nikolai Kardashev developed a method of
190420	195020	categorizing civilizations from cave dwellers to gods ruling over galaxies.
195020	201300	The Kardashev scale, a method of ranking civilizations by their energy use. The
