start	end	text
0	6400	Climate change is just too much. There's never any good news. Only graphs that get
6400	11960	more and more red and angry. Almost every year breaks some horrible record, from the
11960	19040	harshest heat waves to the most rapid glacier melt. It's endless and relentless.
19040	23920	We've known for decades that rapid climate change is being caused by the release of greenhouse
23920	31520	gases. But instead of reducing them, in 2019 the world was emitting 50% more CO2 than in
31520	39400	the year 2000. And emissions are still rising. Why is that? Why is it so hard to just stop
39400	50080	emitting these gases?
50080	55200	Our collective CO2 emissions can be expressed as a product of four factors and their relationship
55200	61960	with each other. Two of them explain why worldwide CO2 emissions are still rising, and two explain
61960	69980	how we can stop that. Population size, economic growth, energy intensity, and emissions per
69980	79880	energy unit produced. Number one, population size. People need food, homes, and clothing.
79880	86720	And they demand luxury products from iPhones to $1 cheeseburgers. More people, higher CO2
86720	92120	emissions. It's a very simple equation. The global population is growing, and according
92120	100160	to the UN, it will level off at about 11 billion in 2100, which is 40% more than today. The
100160	105080	only way to slow down this growth is investment in healthcare and access to contraception
105080	110780	and education in developing countries. But even with massive investment, it will take
110780	115960	a few decades for the effects of lower birth rates to manifest themselves. So the global
115960	121920	population will keep growing for the foreseeable future, and as a consequence, global CO2 emissions
121920	129720	will rise over the next few decades. Number two, growth or getting richer. But it's not
129720	135920	just about our numbers. The richer and more developed we are, the more emissions our lifestyle
135920	143440	produces. A programmer in the US has a higher CO2 footprint than 50 farmers in Uganda. The
143440	149480	world's wealth is growing almost everywhere. And although it's far from evenly distributed,
149480	153920	economic growth has led to the highest standards of living and the largest reduction in extreme
153920	160400	poverty in human history. Growth has become the dominant mantra of the world's economies,
160400	166520	no matter what kind of political system they have. It's unlikely that rich countries will give up the
166520	172720	concept of growth anytime soon. But even if they were to, developing countries want to become rich
172720	179400	too. For billions of people, the end of growth would probably mean staying poor, and so developing
179400	184720	countries are not willing to stop growing their economies. All in all, we can be sure that growth
184720	191400	as a guiding economic ideology is not going to go away anytime soon. More countries and their
191400	196640	citizens around the world will grow and become richer, while the rich economies will continue
196640	202360	to grow their wealth. There are some signs that growth can be decoupled from CO2 emissions,
202360	208280	but we're not close to that yet. As a consequence of this growth, CO2 emissions will rise.
208280	213320	Okay, so far we've learned that because of population growth and economic growth,
213320	220560	humanity's CO2 emissions will increase, which is the opposite of what should be happening. We need
220560	227760	to slow, peak, and then reduce annual emissions. The next two factors describe how we can actually
227760	236240	do this. Number three, energy intensity. Energy intensity describes how efficiently we use energy.
236280	242360	A street food vendor in rural Brazil might burn coal to cook, while a street food vendor in France
242360	249360	might use an induction stove powered by nuclear energy. The latter is way more efficient. The
249360	255280	more efficient something is, the less energy we need to do something, be it powering a metropolitan
255280	261480	area or grilling a kebab. So making our technology more efficient and coming up with more efficient
261480	267120	ways to organize our societies is one of the most important ways to reduce the modern world's CO2
267120	273800	dependency. This can mean everything from reducing power consumption with AI, the electrification of
273800	279920	the transportation and industrial sectors, or sustainable concrete production. The opportunities
279920	287280	for improvement are almost limitless and human ingenuity can run wild. But we know that increasing
287320	295800	efficiency alone will not be enough, mostly for three reasons. One, direct rebound effects. This
295800	301160	means that once something becomes more efficient, it's used more and so overall the increased
301160	306680	efficiency does not lead to a reduction as impressive as you would first think. Or worse,
306680	313680	sometimes more efficiency makes humans not use less of a resource, but more of it. When planes
313800	320080	became more fuel efficient, ticket prices decreased and more people started to travel by plane. So
320080	326840	making things more efficient does not automatically mean less energy use in total. It might have the
326840	334320	opposite effect. Two, indirect rebound effects. Sometimes when you save money on a thing that's
334320	338720	become more efficient, you might spend it elsewhere. For example, if you buy a more
338720	344320	fuel efficient car, you save money on fuel and end up with extra funds in your bank account that
