start	end	text
0	5000	Number one, cosmic evolution. This is the origin of time, space and matter.
5000	11000	Meet Golden Crocoduck nominee Chris Johnson. He's going to talk about evolution being a religion.
11000	15000	But first he's going to give us six different definitions of evolution.
15000	22000	Second definition of evolution would be stellar evolution. The third definition would be chemical evolution.
22000	29000	The fourth definition would be concerning the origin of life. The fifth one would be macro evolution.
29000	33000	This is one kind of animal changing into a completely different kind of animal.
33000	37000	Hang on, these definitions have a familiar ring. Why, here they are.
37000	43000	From a presentation given years ago by someone who is not Chris Johnson, so who came up with them.
43000	48000	Maybe you're talking about macro evolution. That's where an animal changes into a different kind of animal.
48000	52000	That's right. None other than the lagermeister himself, Kent Hovind.
52000	57000	But sorry Chris, I interrupted. You were saying something about macro evolution.
57000	61000	Again, dogs produce dogs. You might get a big dog or a little dog.
61000	65000	It might have straight hair, it might have curly hair, but it's a dog every time.
65000	68000	Nobody's ever seen a dog produce a non-dog.
68000	74000	I mean, you may get a big dog or a little dog, I understand, but you're going to get a dog, ok? Every time.
74000	78000	Now the dog and the wolf and the coyote may have had a common ancestor.
78000	81000	Could be. The dog, the wolf and the coyote had a common ancestor.
81000	88000	And so on and so on. It's almost as if Hovind escaped from jail, got a bad haircut and went right back to preaching.
88000	93000	Unfortunately, Johnson has none of the charisma of the real Hovind.
93000	101000	At least the real Hovind had the imagination to make up his own lies and deliver them with the geniality and confidence of an aluminum siding salesman.
101000	105000	Johnson is just boring, repetitive and predictable.
105000	112000	All the observable science, scientific evidence has shown us that dogs produce dogs, which is exactly what the Bible says.
112000	114000	They bring forth after their kind.
114000	118000	No argument there, so let's move on to something that supports the title of your video.
118000	125000	Now if you want to believe something non-dog produced a dog, then you're going outside the realm of science.
125000	128000	Look, no one believes something non-dog produces a dog.
128000	133000	Didn't you ever study evolution before embarking on this Hovind cut and paste rant?
133000	140000	In fact, the theory of evolution is only viable if an animal of one species gives birth to an animal of the same species.
140000	144000	If dogs started giving birth to rats, the whole theory would collapse.
144000	147000	Again, dogs produce dogs every time.
147000	148000	We know!
148000	151000	If we go by the observable evidence, we see they bring forth after their kind just like the Bible says.
151000	154000	To go beyond that and say that a dog came from something non-dog goes beyond the observation.
154000	156000	The science shows that dogs produce dogs, that's what we've always seen.
156000	157000	Shut up!
157000	160000	There are experimentations and no experimentations that have ever shown us that a dog can produce a non-dog.
160000	162000	If you want to believe that something non-dog produced a dog, why not?
162000	166000	Say dog again! I dare you! I double dare you!
167000	169000	Dogs produce dogs, that's what we've always seen.
173000	174000	You want drugs?
174000	181000	Johnson may be confused because of something that is observable and forms a key part of the theory of evolution.
181000	187000	When a dog gives birth to another dog, the offspring is not an exact copy of either parent.
187000	189000	It's different in very subtle ways.
189000	192000	It could be hairier, it could be frightened of the colour red.
192000	195000	It could be more aggressive towards camels.
195000	197000	But it's still a dog.
197000	199000	The same goes for a salamander.
199000	203000	This Encirtina doesn't give birth to a rat or an albatross.
203000	208000	It gives birth to another Encirtina with, of course, slight genetic differences.
208000	212000	Over successive generations, these differences accumulate.
212000	219000	If some Encirtina move into new territory, their descendants are eventually going to look very different to the distant cousins they left behind.
219000	223000	But as the two Hovins would say, it's still an Encirtina.
223000	228000	If you like, it's the same kind because both species can interbreed successfully.
228000	236000	And that's exactly what happened to the Encirtina salamander, which biologists think originated in and around the state of Oregon.
