start	end	text
0	10780	Um, well, yeah, conspiracies exist, come on, say it with me, conspiracy, conspiracy.
10780	12640	Conspiracy theorists, I have a complaint.
12640	13640	You want a complaint?
13640	16200	Look at these shoes, I've only had them three weeks, now it's in your pocket.
16200	17200	Shut up.
17200	19240	It's about this conspiracy you tried to sell me.
19240	23680	I had a salesman show up at the door two years ago with what seemed like an incredible story
23680	29800	of fabricated evidence and dishonest scientists, and at first I have to admit I was taken in.
29800	32320	Especially by this.
32320	34560	But then I did some checking.
34560	39920	Now your salesman told me that hiding the decline referred to a decline in global temperatures,
39920	44440	but when I read the actual email from which this quote was lifted, it turned out that
44440	50320	he was talking about proxies, and a well-known phenomenon called the divergence problem.
50320	55320	But a lot of people are so gullible they'll still believe anything your salesman say,
55320	59600	and they were so convinced by this sales pitch two years ago they still cling to the belief
59600	64320	that the decline refers to global temperatures.
64320	68600	Now that bloody salesman is back again, peddling the same thing.
68600	72940	Five thousand emails, which filled twenty-five thousand pages when I put them into plain
72940	76400	text, of supposed fraud and conspiracy.
76400	80880	Okay, I admit that at first I was sucked in, just like last time.
80880	85200	I read a couple of emails which talked about destroying documents before any freedom of
85200	90000	information request is received, and I thought, they're at it again.
90000	94560	Ah, then I realised of course that these five thousand emails aren't new.
94560	97920	They're part of the same batch that was leaked in 2009.
97920	101680	Look, we already knew they were keeping their data secret.
101680	106520	I and many others criticised them for it, and since then they've released all the data.
106520	109400	So it's kind of old news.
109400	111360	Some of the emails aren't even new.
111360	116560	I thought I recognised this one, and yes, it's exactly the same email that was released
116560	119260	with the first batch in 2009.
119260	121380	By the way, I fell for this one too.
121380	125080	It turns out the figure being discussed isn't man's.
125080	130560	So not only are these emails contemporaneous, some of them, I have no idea how many, are
130560	132520	identical.
132520	136440	Now the problem I had with the salesman last time was that he was simply giving me quotes
136440	140680	that looked sinister, but when you actually read them in the context of the emails they
140680	144200	turned out to be just part of a debate about the science.
144200	147800	So I thought at least this time your salesman would have a different approach.
147800	153560	You know, show the whole email, explain what it's about and how it shows a conspiracy.
153560	156360	Ah, but no.
156360	159480	Here's a popular one, reprinted in the Daily Mail.
159480	164560	The trick may be to decide on the main message and use that to guide what's included and
164560	165920	what's left out.
165920	168680	Ooh, sounds suspicious, right?
168680	172360	But here's what Jonathan Overpeck said in context.
172360	177040	He's talking about condensing a lot of information into a small amount of space.
177040	181400	And that's why, he says, the trick may be to decide on the main message and use that
181400	184400	to guide what's included and what's left out.
184400	189680	For the IPCC, we need to know what is relevant and useful for assessing recent and future
189680	190960	climate change.
190960	196740	Moreover, we have to have solid data, not inconclusive information.
196740	199840	So that paints a very different picture.
