start	end	text
0	7320	I'll give you the truth. I'll give you the facts without spin.
7320	12680	Whenever YouTubers start a presentation with a statement like that, it's a red flag. Why
12680	16880	did they feel the need to make a great show of telling you how honest they are in the
16880	22280	same way that most undemocratic countries have to insist so forcefully that they're
22280	26480	democratic? Later in the video we'll check the guy in the beanie hat's sources and
26480	32360	see if he's as truthful as he claims to be. I was hoping to end this series on Covid,
32360	37960	but several people asked me to fact-check claims that PCR tests don't work, so without
37960	44100	further ado, let's go through the claims one by one, starting with this one, that PCR
44100	49580	tests can't distinguish between a live virus and a non-infectious virus. This picture going
49580	53920	around Facebook looks as though it comes from the Australian government, and in fact part
53920	60520	of it does. It can be found here. And this particular claim is true.
60520	66520	So we're off to a good start. PCR is a way of amplifying parts of DNA in order to make
66520	72360	sample sizes large enough to be identified. It can do the same thing with RNA, the stuff
72360	77540	SARS-CoV-2 is made of, by first converting it into DNA.
77540	82160	Now there is a method for estimating the viral load, and it's dependent on the number of
82160	88060	cycles a sample has to go through in order to be amplified enough for easy detection.
88060	93780	But that's a little technical. All we need to know is that PCR can detect a virus and
93780	100120	tell you whether someone is infected, but not necessarily whether they're still infectious.
100120	105420	But then the Facebook claim starts to unravel. This means the test cannot distinguish in
105420	114760	Covid from a cold or measles or Ebola. No, it doesn't mean that at all. And if you haven't
114760	119040	guessed, that part of the statement doesn't come from virologists advising the Department
119040	125640	of Health, it's just ungrammatical claptrap tacked on by some anonymous Facebook user
125640	131600	and then passed around. But hey, this is the internet, where ungrammatical claptrap is
131600	137140	just as good as scientific research. So if we want it to be true, all we have to do is
137140	144300	believe it and pass it on. Unfortunately, too many people don't use the internet as
144300	150820	a tool for serious investigation. It's a place where one person gets an idea and for no reason
150820	156560	other than a willingness to believe, someone copies it and passes it on. And before you
156560	161720	know it, it's gone viral and everyone is moving in the same direction without even
161720	168140	understanding how or why the movement got started. Do your own research basically means
168140	173300	checking to see if everyone else is following the same belief, and if they are, then it
173300	179220	must be right. So if you want to know what the internet would look like if it took human
179220	185260	form, it looks like this. I'll give you the truth. I'll give you the facts without spin.
185260	190100	Now Bloke Inbini looks like the kind of guy I'd love to have a beer with, but I wouldn't
190100	196420	necessarily trust him to give me the facts and the truth about polymerase chain reactions.
