start	end	text
0	4000	I'm just wondering what the heck is in our water supply.
4000	9000	What the heck is in our oxygen supply of the metallic
9000	15000	oxide salts that create a rainbow effect in a sprinkler?
15000	20000	What is oozing out of our ground that allows this
20000	23000	type of effect to happen?
23000	26000	Not just around our sun and our moon anymore.
26000	35000	Everywhere we look, the visible spectrum is rainbows.
35000	37000	This cannot be natural.
37000	40000	If proof was ever needed of a government conspiracy,
40000	43000	then this rainbow in a sprinkler is surely it.
43000	46000	After all, the authorities claim they're spending money
46000	49000	on science education in schools, but this video shows
49000	52000	that in fact the government is conspiring to suck
52000	55000	the intelligence out of people who should have at least
55000	58000	got a basic understanding of science in elementary school.
58000	61000	The title at the opening of this creepy sprinkler video
61000	64000	gives an alternative explanation.
64000	67000	Rainbows are caused by something called HAARP.
67000	70000	It's basically a phased array radar that sends up to
70000	74000	3.6 megawatts of electromagnetic radiation into the ionosphere,
74000	77000	which heats it up over a narrow range.
77000	80000	What makes this a godsend for conspiracy theorists
80000	83000	is that the research may have a military application.
83000	86000	The theory is that by sending radio waves through the ionosphere,
86000	90000	what gets bounced back will be longer wavelength radiation
90000	93000	that can act like ground-penetrating radar.
93000	97000	But the fact that it's a secret installation run by the military
97000	100000	sending invisible beams into space and then into the Earth,
100000	104000	well, that's enough to excite any conspiracy theorist.
104000	109000	Now, the top secret government project that can destroy the world.
109000	113000	So every pet conspiracy theory from hurricanes to mind control,
113000	116000	and of course rainbow after rainbow after rainbow,
116000	119000	has now been attacked to HAARP.
119000	122000	Back at his war room, the governor meets with his elite team
122000	125000	of investigators, researchers and operatives,
125000	127000	all of them itching to get on the case.
127000	130000	Here's Jesse Ventura investigating HAARP's triggering
130000	135000	of the 2010 Boxing Day tsunami that hit large parts of South East Asia.
135000	138000	This photo was actually taken just before the big tsunami
138000	140000	hit the coast of Indonesia.
140000	143000	What we're seeing is the aurora borealis or the northern lights.
143000	146000	They occur anytime there's any sort of electromagnetic occurrence
146000	149000	in the ionosphere, and they say that when they turn HAARP on,
149000	151000	the colours get really wild up there.
151000	156000	There's no need for dramatic music or speculation about secret conspiracies.
156000	159000	Researchers working at HAARP are quite open about the fact that HAARP
159000	162000	does excite charged particles in the upper atmosphere,
162000	164000	and that produces colours in the sky.
164000	167000	You can even read about these experiments in published papers,
167000	170000	where the physics is explained.
170000	174000	But portraying this as some kind of discovery allows Jesse Ventura
174000	177000	to enter the wild world of speculation,
177000	180000	and wonder what else HAARP might be secretly doing.
180000	185000	His elite investigator, Rahim, tells us this photo of the aurora borealis
185000	190000	is evidence of a link between HAARP and the tsunami of Boxing Day 2010,
190000	193000	because the photo was taken just before the tsunami struck.
193000	198000	This photo was actually taken just before the big tsunami hit the coast of Indonesia.
198000	202000	When exactly? We don't know. Who took it? Don't know that either.
202000	206000	So how do we know it was taken just before the tsunami?
206000	210000	Of course, conspiracy theorists will tell me I'm naive to be so sceptical.
210000	214000	Why am I so resistant to the idea that this aurora happened
214000	217000	when Jesse Ventura's investigation says it happened,
217000	220000	and that it has some connection to the tsunami?
220000	222000	Well, I'll tell you why.
222000	227000	Because before I'm gullible enough to believe some spectacular claim I hear on TV,
227000	229000	I have the sense to check it,
229000	234000	and in this case it meant taking the conspiracy show logo off the bottom of the photo
234000	237000	and doing a search for it on Google Images.
237000	242000	And presto, I discovered exactly the same photo on sale for $24
242000	245000	at Dave Miller's Posters Wanted website.
245000	249000	Not only is there no indication that this commercial picture was taken before,
249000	254000	or even in the same decade as the tsunami, it's not even in the same hemisphere.
254000	259000	Rahim says this is the Aurora Borealis, the Northern Lights.
259000	264000	In fact, it's advertised as the Aurora Australis, the Southern Lights.
264000	268000	So the photo that's supposed to show how a military death machine was activated
268000	273000	just before a major earthquake has in fact been lifted off the internet for $24
273000	277000	by Jesse Ventura's team of elite investigators.
277000	280000	The other thing that's interesting before the tsunami
280000	284000	was that there were no pre-tremors or any warning. It just happened.
284000	286000	Now, I'm not an elite investigator,
286000	291000	and I don't have the resources of Jesse Ventura's elite investigation team,
291000	295000	but it took me just a few minutes to check this claim that the tsunami just happened
295000	298000	and wasn't preceded by an earthquake.
298000	303000	Here, for example, is a seismological record of the supposedly non-existent earthquake,
303000	307000	and here are some scientific papers detailing the mechanism of the earthquake.
307000	311000	So where did elite investigator June Sarpong go wrong,
311000	315000	apart from not checking publicly available records?
315000	318000	I think she probably heard interviews with survivors who said
318000	321000	they hadn't felt an earthquake before the tsunami hit,
321000	324000	so she simply assumed there wasn't one.
324000	327000	A shame she didn't talk to a seismologist who could have told her
327000	330000	that tsunami are often experienced over a much wider area
330000	333000	than the earthquake that causes them.
333000	336000	In 1960, for example, there was a devastating tsunami
336000	341000	that destroyed downtown Hilo in Hawaii and killed 61 people,
341000	343000	but no one felt any tremor.
343000	346000	The same tsunami killed 138 people in Japan,
346000	349000	and again there was no warning tremor.
349000	354000	That's because the earthquake happened in Chile, on the other side of the Pacific.
