start	end	text
0	4160	To those who don't know this channel, I'm a former geologist who's been a science journalist for
4160	10640	25 years. My YouTube channel debunks all kinds of scientific urban myths. So here's a summary
10640	14960	of the most common misrepresentations of science I've come across over the years
14960	19680	regarding climate change, and the real science they're misrepresenting or omitting.
20480	24320	Let's start with a famous myth about the name of the subject we're talking about.
24320	33760	No, first of all, they started with global warming because they wanted to focus on CO2,
33760	36080	and they started talking about climate change.
37120	39520	That's why they call it climate change now and not global warming.
39520	44560	No, it goes back a lot further than that. The conclusion that CO2 concentration affects
44560	50560	global temperature was made 120 years ago and confirmed in the 1930s and 40s.
51040	56320	In the 1950s, it became known as the carbon dioxide theory of climatic change,
56320	60560	or climate change for short. This paper was written in 1955.
61200	65440	That's why back in the 1980s, we saw the formation of something called
65440	68400	the Intergovernmental Panel on Climate Change.
69360	74320	The term global warming describes the global warming that causes this climate change.
76240	79760	Climate changes all the time. It's a very natural thing.
79760	82640	Climate change is a natural phenomenon that always will be.
83600	85600	The climate change has always been occurring.
86160	91120	How do you explain climate change that occurred 10,000 years ago before man had a carbon footprint?
92080	96000	Because of course it's not the mere presence of humans that's changing the climate,
96000	101280	it's carbon dioxide. We know why carbon dioxide concentration is rising now,
101280	103680	and geologists know why it rose in the past.
104400	109680	First of all, let's get one thing clear. The main active drivers of global temperature now
109680	113680	are exactly the same as in the past, long before humans came along.
114320	118720	Which shouldn't really be a surprise, because the laws of physics haven't changed.
118720	121760	They're threefold. Changes in solar irradiance,
121760	124000	which is the amount of heat we receive from the sun,
124560	128560	changes in carbon dioxide concentration, which traps that heat,
128560	132320	and changes in aerosol concentration, which reflects that heat.
133520	136480	Just to anticipate a few other myths that I'll cover later,
136480	140320	things like water vapour content, cloud cover and ice albedo
140320	144320	respond to these changes in temperature, but they aren't the primary causes.
145200	148080	And although winds and oceans move the heat around,
148080	152960	they don't significantly change the temperature of the earth, so they aren't active forcings either.
154000	158720	So how did carbon dioxide levels change before factories and SUVs came along?
159840	164000	Well, let's start at the beginning of the Phanerozoic, about 500 million years ago,
164000	167280	when CO2 levels were nearly 20 times higher than today.
167840	172800	Over hundreds of millions of years they got taken out of the atmosphere by chemical weathering,
172800	177520	which turns the carbon dioxide into calcium carbonates and deposits it as sediment in the
177520	183280	oceans. So trillions of tonnes of CO2 that were once in the atmosphere are now locked up in
183280	189600	limestone. The other way CO2 got taken out was when living matter got buried as coal and oil.
190320	197200	But this gradual decline in CO2 concentration is punctuated by sporadic increases in CO2 during
197200	202400	flood basalt events – occasional weaknesses in the earth's crust that spill thousands of
202400	207760	square miles of thick lava and release billions of tonnes of CO2 back into the atmosphere.
209200	214000	So that brings us to the next myth. Since CO2 is a powerful greenhouse gas
214000	219200	and CO2 levels were much higher in the past, why was the earth sometimes colder?
219600	226400	Here there was an ice age when CO2 was at least 10 times higher than it is today.
226400	232800	The reason is very simple. The sun was much weaker back then. Over the last 500 million years there's
232800	239040	been a slow and steady increase in solar output. So during the late Ordovician, the time period
239040	245360	Patrick Moore is talking about, solar output was about 4% lower than today. So it's no surprise
245360	251360	that the earth was in an ice age. The question the critics need to answer is why was that the
251360	257520	exception? Why was it much hotter than today for hundreds of millions of years either side of this
257520	268080	brief ice age? And here we had almost 7,000 parts per million of CO2 compared with 385 or thereby
268080	275200	today. 7,000 then. Temperature managed to get up to about 22 Celsius. That's the point. How did it
275200	281280	manage to get up to 22 Celsius, which is 6 degrees hotter than today, even though the sun was about
281280	288240	4% cooler? There's never been an answer from the critics, but scientists explain it quite easily.
288240	294880	Since CO2 has a strong warming effect, it was this insulating blanket of CO2 that kept the earth
294880	300320	warm. And researchers have found that the reason it cooled during the Ordovician was because a
300320	306480	series of tectonic collisions led to a period of mountain building that sped up chemical weathering
306480	313520	and took a lot of CO2 out of the atmosphere. As CO2 levels fell, the earth cooled and triggered
313520	319920	an ice age. Since the increase in solar irradiance has been very slow and steady over the last 500
319920	325360	million years, researchers have found that it's these sporadic increases and decreases in CO2
325360	331680	levels that have largely driven global temperature. By the way, the graph Christopher Mungton is using
331680	337440	is the same graph Patrick Moore was using, just in different colours. It comes from a blog.
337440	342880	CO2 levels compiled by a researcher called Robert Berner, shown in black, have been put alongside
342880	348240	global temperatures compiled by Christopher Scottese, shown in blue. Scottese drew the
348240	354800	temperature sketch nearly 20 years ago based on a book that's now 26 years old, so he's recently
354800	359920	updated it. This is Scottese's more accurate and more recent reconstruction.
363840	367680	And look at how little correlation there is in that graph between
367680	373600	temperature in blue there and CO2 concentration in black. And it shows very clearly that there's
373600	380720	no lockstep correlation between CO2 and global temperature. But there's no lockstep correlation
380720	386400	between solar irradiation and global temperature either. But surely we can't conclude from that
386400	392560	that the Sun has no effect on global temperature. Since there are three main active drivers of
392560	397600	global temperature, you can't just ignore the other two, you have to look at all three.
397600	402960	And when you do that, you get a very good correlation. Correlation doesn't necessarily mean
402960	407600	causation, of course, so in this video I'm not going to try to show you the evidence for the
407600	413440	strong link between CO2 and global temperature. That's in another video I made. In this video,
413440	418160	I'm just debunking the most widespread myths about climate science and the claim that there's
418160	424960	no correlation is one of them. Now let's move forward in time to the present. And to do that,
424960	430160	I want to give you an idea of the difference in time scale that represents. Let's take a walk up
430160	437520	the Mississippi River from New Orleans to Memphis. That's 485 miles, so that represents about a mile
437520	443280	for every million years of the Phanerozoic. It's a long walk that Google Maps reckons would take
443280	450720	about a week non-stop. Only the last two miles represents our ice age and the last 40 years of
450720	456480	strong warming is just a couple of inches. That's the period of time we're going to be looking at in
456480	462960	the next couple of myths. So what do you think is causing global warming? The Sun. There's
462960	469200	definitely no question. They virtually ignore the Sun as a factor of climate change. The Sun is
469200	475840	driving climate change. CO2 is irrelevant. It's the Sun's stupid. So why do climate researchers
475840	481920	say it's not the Sun? Because solar irradiance, shown here in blue, has been decreasing over the
481920	488480	last 40 years, so it can't possibly have caused temperatures, shown in red, to go higher. The
488480	493440	claim that the role of the Sun has been ignored by scientists is also wrong. Scientists have devoted
493440	498800	a huge amount of effort into monitoring the output of the Sun and studying its effects on global
498800	504640	temperature, both now and in the past. When I mentioned this before, people have been confused
504640	509280	by the fact that the Sun has been getting cooler over the last 40 years, when I've also said that
509280	514160	for the last 500 million years it's been getting hotter. That's because of the difference in
514160	520000	magnitude and time scale. Here's where the time illustration will help. Because the growing output
520000	526960	of the Sun represents our uphill climb from New Orleans to Memphis. We're climbing 308 feet, which
526960	532880	is quite a lot. It's the height of the Statue of Liberty. That represents the 4% increase in
532880	540640	solar output. But over 485 miles you wouldn't even notice it. The road looks pretty flat. What you
540640	546800	would notice are the very small dips and inclines over short periods. Even this wheelchair ramp down
546800	552800	from a sidewalk onto the road represents a decrease in solar activity over hundreds of years, similar
